42:*******************************************,
Transient Analysis,
Thu Nov 10 09:47:08 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
0,0,1.69553e-08,
1e-17,0,2.92079e-07,
2e-17,0,2.91086e-07,
4e-17,0,2.8911e-07,
8e-17,0,3.02669e-07,
1.6e-16,0,3.28924e-07,
3.2e-16,0,3.78187e-07,
6.4e-16,0,4.65236e-07,
1.28e-15,0,6.08408e-07,
2.56e-15,0,8.09624e-07,
5.12e-15,0,1.10725e-06,
1.024e-14,0,1.42372e-06,
2.048e-14,0,1.71458e-06,
4.096e-14,0,2.01592e-06,
8.192e-14,0,2.28865e-06,
1.6384e-13,0,3.41944e-06,
3.2768e-13,0,4.60612e-06,
6.5536e-13,0,4.91209e-06,
1e-12,0,5.21501e-06,
1.06554e-12,0.065536,0.00230713,
1.19661e-12,0.196608,0.00597078,
1.45875e-12,0.458752,0.0136897,
1.98304e-12,0.98304,0.0369037,
2e-12,1,0.0379248,
2.03392e-12,1,0.0372536,
2.10176e-12,1,0.0369147,
2.23744e-12,1,0.0365047,
2.5088e-12,1,0.035515,
3.05152e-12,1,0.0337999,
4.13696e-12,1,0.0305141,
6.30784e-12,1,0.0251994,
1.06496e-11,1,0.017603,
1.93331e-11,1,0.0097476,
3.67002e-11,1,0.00420135,
5.87002e-11,1,0.00218547,
8.07002e-11,1,0.00109392,
1.027e-10,1,0.0007143,
1.247e-10,1,0.000364966,
1.467e-10,1,6.44789e-05,
1.687e-10,1,-0.00105628,
1.907e-10,1,-0.00109297,
2.127e-10,1,0.00552801,
2.347e-10,1,0.0180377,
2.567e-10,1,0.0176906,
2.787e-10,1,0.00762543,
3.007e-10,1,0.00206191,
3.227e-10,1,0.000584328,
3.447e-10,1,0.000120461,
3.667e-10,1,6.35259e-05,
3.887e-10,1,-1.3159e-05,
4.02e-10,1,3.02093e-05,
4.021e-10,0.9,-0.0094857,
4.023e-10,0.7,-0.028284,
4.027e-10,0.3,-0.0666374,
4.03e-10,0,-0.0940567,
4.0308e-10,0,-0.0924596,
4.0324e-10,0,-0.0905989,
4.0356e-10,0,-0.0870764,
4.042e-10,0,-0.0799289,
4.0548e-10,0,-0.0660244,
4.0804e-10,0,-0.0388451,
4.1316e-10,0,0.0129727,
4.234e-10,0,0.111755,
4.4388e-10,0,0.299104,
4.6588e-10,0,0.48775,
4.8788e-10,0,0.648222,
5.0988e-10,0,0.768054,
5.3188e-10,0,0.851547,
5.5388e-10,0,0.907001,
5.7588e-10,0,0.942172,
5.9788e-10,0,0.963902,
6.1988e-10,0,0.976977,
6.4188e-10,0,0.984878,
6.6388e-10,0,0.989493,
6.8588e-10,0,0.992313,
7.0788e-10,0,0.993897,
7.2988e-10,0,0.994918,
7.5188e-10,0,0.995436,
7.7388e-10,0,0.995826,
7.9588e-10,0,0.995972,
8.01e-10,0,0.996057,
8.011e-10,0.1,1.06976,
8.013e-10,0.3,1.07646,
8.01613e-10,0.61274,1.09086,
8.01944e-10,0.944156,1.09761,
8.02e-10,1,1.09959,
8.02066e-10,1,1.09652,
8.02199e-10,1,1.09182,
8.02464e-10,1,1.08296,
8.02994e-10,1,1.06494,
8.04055e-10,1,1.02995,
8.06176e-10,1,0.961899,
8.10418e-10,1,0.834611,
8.18902e-10,1,0.607213,
8.35871e-10,1,0.256388,
8.57871e-10,1,0.0430471,
8.79871e-10,1,0.00505294,
9.01871e-10,1,0.00142378,
9.23871e-10,1,0.000325902,
9.45871e-10,1,-6.08623e-05,
9.67871e-10,1,0.000109948,
9.89871e-10,1,-8.94989e-05,
1.01187e-09,1,9.9727e-05,
1.03387e-09,1,-9.16544e-05,
1.05587e-09,1,9.68352e-05,
1.07787e-09,1,-9.25795e-05,
1.09987e-09,1,9.59244e-05,
1.1e-09,1,-7.68251e-05
