41:*******************************************,
Transient Analysis,
Thu Nov 10 09:46:10 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
0,0,1.08824e-07,
1e-17,0,2.08835e-07,
2e-17,0,1.969e-07,
4e-17,0,1.76473e-07,
8e-17,0,1.46377e-07,
1.6e-16,0,1.31362e-07,
3.2e-16,0,9.35404e-08,
6.4e-16,0,1.38499e-07,
1.28e-15,0,1.86222e-07,
2.56e-15,0,1.77995e-07,
5.12e-15,0,1.81608e-07,
1.024e-14,0,1.41887e-07,
2.048e-14,0,1.37382e-07,
4.096e-14,0,1.73141e-07,
8.192e-14,0,1.6252e-07,
1.6384e-13,0,2.43471e-07,
3.2768e-13,0,2.48456e-07,
6.5536e-13,0,1.48897e-07,
1e-12,0,-1.38522e-08,
1.06554e-12,0.065536,0.0025723,
1.19661e-12,0.196608,0.00659393,
1.45875e-12,0.458752,0.0148991,
1.98304e-12,0.98304,0.0413255,
2e-12,1,0.042506,
2.03392e-12,1,0.0420167,
2.10176e-12,1,0.0420933,
2.23744e-12,1,0.042531,
2.5088e-12,1,0.0431475,
3.05152e-12,1,0.0444117,
4.13696e-12,1,0.0461449,
6.30784e-12,1,0.0478897,
1.06496e-11,1,0.0463215,
1.93331e-11,1,0.0357689,
3.67002e-11,1,0.0151899,
5.87002e-11,1,0.00360949,
8.07002e-11,1,0.000953703,
1.027e-10,1,0.000391693,
1.247e-10,1,0.000140041,
1.467e-10,1,0.000140574,
1.687e-10,1,7.76512e-07,
1.907e-10,1,-0.000166984,
2.127e-10,1,-0.00110438,
2.347e-10,1,-0.00200959,
2.567e-10,1,0.000765875,
2.787e-10,1,0.0133173,
3.007e-10,1,0.0334133,
3.227e-10,1,0.0343846,
3.447e-10,1,0.0176976,
3.667e-10,1,0.0063897,
3.887e-10,1,0.00222256,
4.02e-10,1,0.00121936,
4.021e-10,0.9,-0.00826464,
4.023e-10,0.7,-0.0270709,
4.027e-10,0.3,-0.0643746,
4.03e-10,0,-0.0894393,
4.0308e-10,0,-0.0870063,
4.0324e-10,0,-0.0835336,
4.0356e-10,0,-0.0767785,
4.042e-10,0,-0.063253,
4.0548e-10,0,-0.0369258,
4.0804e-10,0,0.0140666,
4.1316e-10,0,0.111873,
4.234e-10,0,0.298695,
4.4388e-10,0,0.62481,
4.6588e-10,0,0.845594,
4.8788e-10,0,0.945462,
5.0988e-10,0,0.982319,
5.3188e-10,0,0.993905,
5.5388e-10,0,0.997732,
5.7588e-10,0,0.998804,
5.9788e-10,0,0.999271,
6.1988e-10,0,0.999332,
6.4188e-10,0,0.99945,
6.6388e-10,0,0.99941,
6.8588e-10,0,0.999486,
7.0788e-10,0,0.999431,
7.2988e-10,0,0.999496,
7.5188e-10,0,0.999437,
7.7388e-10,0,0.999499,
7.9588e-10,0,0.999439,
8.01e-10,0,0.999502,
8.011e-10,0.1,1.0782,
8.013e-10,0.3,1.08863,
8.01602e-10,0.602126,1.107,
8.01925e-10,0.925131,1.11965,
8.02e-10,1,1.12271,
8.02065e-10,1,1.12039,
8.02194e-10,1,1.11714,
8.02452e-10,1,1.11131,
8.02969e-10,1,1.09932,
8.04003e-10,1,1.07668,
8.0607e-10,1,1.03382,
8.10204e-10,1,0.957232,
8.18473e-10,1,0.824228,
8.35011e-10,1,0.596611,
8.57011e-10,1,0.348192,
8.79011e-10,1,0.175069,
9.01011e-10,1,0.0775634,
9.23011e-10,1,0.0319185,
9.45011e-10,1,0.0122953,
9.67011e-10,1,0.00477357,
9.89011e-10,1,0.00158414,
1.01101e-09,1,0.000698213,
1.03301e-09,1,6.97457e-05,
1.05501e-09,1,0.000157561,
1.07701e-09,1,-0.000104069,
1.09901e-09,1,0.000108314,
1.1e-09,1,-0.000108007
