37:*******************************************,
Transient Analysis,
Thu Nov 10 09:42:51 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
0,0,3.92805e-08,
1e-17,0,2.15786e-07,
2e-17,0,2.04797e-07,
4e-17,0,1.86103e-07,
8e-17,0,1.58114e-07,
1.6e-16,0,1.02432e-07,
3.2e-16,0,9.90028e-08,
6.4e-16,0,1.17705e-07,
1.28e-15,0,1.15662e-07,
2.56e-15,0,8.46788e-08,
5.12e-15,0,1.83773e-08,
1.024e-14,0,-1.08787e-07,
2.048e-14,0,-1.66089e-07,
4.096e-14,0,-2.24516e-08,
8.192e-14,0,1.37318e-07,
1.6384e-13,0,8.54604e-07,
3.2768e-13,0,6.36897e-07,
6.5536e-13,0,3.02036e-07,
1e-12,0,3.8372e-07,
1.06554e-12,0.065536,0.00245359,
1.19661e-12,0.196608,0.00638025,
1.45875e-12,0.458752,0.0145234,
1.98304e-12,0.98304,0.0391099,
2e-12,1,0.0401762,
2.03392e-12,1,0.0396349,
2.10176e-12,1,0.0395515,
2.23744e-12,1,0.0396405,
2.5088e-12,1,0.0396154,
3.05152e-12,1,0.0396975,
4.13696e-12,1,0.0395257,
6.30784e-12,1,0.0388218,
1.06496e-11,1,0.0358828,
1.93331e-11,1,0.0282589,
3.67002e-11,1,0.0151021,
5.87002e-11,1,0.00667234,
8.07002e-11,1,0.00327583,
1.027e-10,1,0.00179929,
1.247e-10,1,0.000964843,
1.467e-10,1,0.000656535,
1.687e-10,1,0.00040178,
1.907e-10,1,0.000321092,
2.127e-10,1,9.67392e-05,
2.347e-10,1,-0.000119634,
2.567e-10,1,-0.000864258,
2.787e-10,1,-0.00178502,
3.007e-10,1,-0.00162207,
3.227e-10,1,0.00240009,
3.447e-10,1,0.0124115,
3.667e-10,1,0.0265307,
3.887e-10,1,0.0310881,
4.02e-10,1,0.0265231,
4.021e-10,0.9,0.0173409,
4.023e-10,0.7,-0.000557916,
4.027e-10,0.3,-0.0388832,
4.03e-10,0,-0.0663377,
4.0308e-10,0,-0.0649049,
4.0324e-10,0,-0.0633537,
4.0356e-10,0,-0.0603745,
4.042e-10,0,-0.0542831,
4.0548e-10,0,-0.0423847,
4.0804e-10,0,-0.0188167,
4.1316e-10,0,0.0270012,
4.234e-10,0,0.11716,
4.4388e-10,0,0.293783,
4.6588e-10,0,0.476755,
4.8788e-10,0,0.636381,
5.0988e-10,0,0.75829,
5.3188e-10,0,0.844735,
5.5388e-10,0,0.903206,
5.7588e-10,0,0.940436,
5.9788e-10,0,0.963648,
6.1988e-10,0,0.977734,
6.4188e-10,0,0.986293,
6.6388e-10,0,0.991339,
6.8588e-10,0,0.994428,
7.0788e-10,0,0.99619,
7.2988e-10,0,0.997317,
7.5188e-10,0,0.997909,
7.7388e-10,0,0.998341,
7.9588e-10,0,0.998519,
8.01e-10,0,0.998606,
8.011e-10,0.1,1.07351,
8.013e-10,0.3,1.08254,
8.01613e-10,0.612698,1.10063,
8.01944e-10,0.944076,1.11191,
8.02e-10,1,1.11463,
8.02066e-10,1,1.11245,
8.02199e-10,1,1.10949,
8.02464e-10,1,1.10413,
8.02994e-10,1,1.09303,
8.04055e-10,1,1.07165,
8.06175e-10,1,1.02989,
8.10417e-10,1,0.951793,
8.189e-10,1,0.810807,
8.35867e-10,1,0.571019,
8.57867e-10,1,0.326845,
8.79867e-10,1,0.163511,
9.01867e-10,1,0.0735743,
9.23867e-10,1,0.0314685,
9.45867e-10,1,0.0129688,
9.67867e-10,1,0.00543257,
9.89867e-10,1,0.00200994,
1.01187e-09,1,0.000893723,
1.03387e-09,1,0.000191476,
1.05587e-09,1,0.000186974,
1.07787e-09,1,-7.2864e-05,
1.09987e-09,1,9.34637e-05,
1.1e-09,1,-7.88451e-05
