38:*******************************************,
Transient Analysis,
Thu Nov 10 09:44:06 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
0,0,4.46462e-08,
1e-17,0,-9.31267e-08,
2e-17,0,-7.39402e-08,
4e-17,0,-4.13774e-08,
8e-17,0,6.49105e-09,
1.6e-16,0,2.91411e-08,
3.2e-16,0,8.78339e-08,
6.4e-16,0,-1.32163e-08,
1.28e-15,0,-1.07812e-07,
2.56e-15,0,-3.12326e-07,
5.12e-15,0,-7.64284e-07,
1.024e-14,0,-1.13489e-06,
2.048e-14,0,-9.63375e-07,
4.096e-14,0,-6.55056e-07,
8.192e-14,0,-2.9352e-08,
1.6384e-13,0,1.4017e-07,
3.2768e-13,0,-2.42877e-08,
6.5536e-13,0,1.56362e-07,
1e-12,0,1.91807e-08,
1.06554e-12,0.065536,0.00243712,
1.19661e-12,0.196608,0.00627905,
1.45875e-12,0.458752,0.0142871,
1.98304e-12,0.98304,0.0390776,
2e-12,1,0.0401762,
2.03392e-12,1,0.039601,
2.10176e-12,1,0.0394773,
2.23744e-12,1,0.0395024,
2.5088e-12,1,0.0393316,
3.05152e-12,1,0.0391076,
4.13696e-12,1,0.0382388,
6.30784e-12,1,0.0360086,
1.06496e-11,1,0.0301781,
1.93331e-11,1,0.0192879,
3.67002e-11,1,0.00687493,
5.87002e-11,1,0.0022834,
8.07002e-11,1,0.000897892,
1.027e-10,1,0.000480771,
1.247e-10,1,0.000243973,
1.467e-10,1,6.81875e-05,
1.687e-10,1,-0.000657756,
1.907e-10,1,-0.00177414,
2.127e-10,1,0.0010293,
2.347e-10,1,0.0142196,
2.567e-10,1,0.0281066,
2.787e-10,1,0.0205302,
3.007e-10,1,0.00635512,
3.227e-10,1,0.001328,
3.447e-10,1,0.00024442,
3.667e-10,1,7.91716e-05,
3.887e-10,1,-1.32359e-05,
4.02e-10,1,3.14807e-05,
4.021e-10,0.9,-0.00947911,
4.023e-10,0.7,-0.0282883,
4.027e-10,0.3,-0.0661221,
4.03e-10,0,-0.0923498,
4.0308e-10,0,-0.0903297,
4.0324e-10,0,-0.0876411,
4.0356e-10,0,-0.0824787,
4.042e-10,0,-0.0720933,
4.0548e-10,0,-0.0518702,
4.0804e-10,0,-0.0125255,
4.1316e-10,0,0.0626438,
4.234e-10,0,0.206171,
4.4388e-10,0,0.474219,
4.6588e-10,0,0.703775,
4.8788e-10,0,0.848617,
5.0988e-10,0,0.927318,
5.3188e-10,0,0.966431,
5.5388e-10,0,0.984221,
5.7588e-10,0,0.992092,
5.9788e-10,0,0.995709,
6.1988e-10,0,0.997246,
6.4188e-10,0,0.998047,
6.6388e-10,0,0.998317,
6.8588e-10,0,0.998517,
7.0788e-10,0,0.998524,
7.2988e-10,0,0.998609,
7.5188e-10,0,0.998565,
7.7388e-10,0,0.998579,
7.9588e-10,0,0.998553,
8.01e-10,0,0.998613,
8.011e-10,0.1,1.07472,
8.013e-10,0.3,1.08329,
8.01608e-10,0.607636,1.09984,
8.01935e-10,0.935008,1.10961,
8.02e-10,1,1.11208,
8.02065e-10,1,1.10937,
8.02196e-10,1,1.10541,
8.02458e-10,1,1.09809,
8.02982e-10,1,1.08313,
8.0403e-10,1,1.05438,
8.06125e-10,1,0.998975,
8.10315e-10,1,0.897076,
8.18696e-10,1,0.716738,
8.35457e-10,1,0.417242,
8.57457e-10,1,0.155649,
8.79457e-10,1,0.041092,
9.01457e-10,1,0.00881286,
9.23457e-10,1,0.00188489,
9.45457e-10,1,0.000151464,
9.67457e-10,1,0.000111496,
9.89457e-10,1,-0.00012305,
1.01146e-09,1,9.1777e-05,
1.03346e-09,1,-0.000105455,
1.05546e-09,1,0.000103042,
1.07746e-09,1,-9.95115e-05,
1.09946e-09,1,0.000104909,
1.1e-09,1,-9.39237e-05
