14:*******************************************,
Transient Analysis,
Mon Nov 14 20:06:34 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.50019e-09,0.45,2.26261e-06,
3.50119e-09,0.45,2.15859e-06,
3.50219e-09,0.45,2.22699e-06,
3.50319e-09,0.45,2.14812e-06,
3.50419e-09,0.45,2.19754e-06,
3.50519e-09,0.45,2.11148e-06,
3.50619e-09,0.45,2.1659e-06,
3.50719e-09,0.45,2.08223e-06,
3.50819e-09,0.45,2.13596e-06,
3.50919e-09,0.45,2.05516e-06,
3.51019e-09,0.45,2.11822e-06,
3.51119e-09,0.45,2.03544e-06,
3.51219e-09,0.45,2.10226e-06,
3.51319e-09,0.45,2.0183e-06,
3.51419e-09,0.45,2.08331e-06,
3.51519e-09,0.45,1.99922e-06,
3.51619e-09,0.45,2.06342e-06,
3.51719e-09,0.45,1.9969e-06,
3.51819e-09,0.45,2.03097e-06,
3.51919e-09,0.45,1.97263e-06,
3.52019e-09,0.45,2.03151e-06,
3.52119e-09,0.45,2.00912e-06,
3.52219e-09,0.45,2.14397e-06,
3.52319e-09,0.45,2.14751e-06,
3.52419e-09,0.45,2.2836e-06,
3.52519e-09,0.45,2.29339e-06,
3.52619e-09,0.45,2.4411e-06,
3.52719e-09,0.45,2.44945e-06,
3.52819e-09,0.45,2.59922e-06,
3.52919e-09,0.45,2.61263e-06,
3.53019e-09,0.45,2.77005e-06,
3.53119e-09,0.45,2.78548e-06,
3.53219e-09,0.45,2.94556e-06,
3.53319e-09,0.45,2.95587e-06,
3.53419e-09,0.45,3.0984e-06,
3.53519e-09,0.45,3.10428e-06,
3.53619e-09,0.45,3.23744e-06,
3.53719e-09,0.45,3.23119e-06,
3.53819e-09,0.45,3.36158e-06,
3.53919e-09,0.45,3.3562e-06,
3.54019e-09,0.45,3.49178e-06,
3.54119e-09,0.45,3.48261e-06,
3.54219e-09,0.45,3.60113e-06,
3.54319e-09,0.45,3.61878e-06,
3.54419e-09,0.45,3.75134e-06,
3.54519e-09,0.45,3.75985e-06,
3.54619e-09,0.45,3.88751e-06,
3.54719e-09,0.45,3.88428e-06,
3.54819e-09,0.45,4.02462e-06,
3.54919e-09,0.45,4.01343e-06,
3.55019e-09,0.45,4.2529e-06,
3.55119e-09,0.45,4.34807e-06,
3.55219e-09,0.45,4.49121e-06,
3.55319e-09,0.45,4.49878e-06,
3.55419e-09,0.45,4.65578e-06,
3.55519e-09,0.45,4.66719e-06,
3.55619e-09,0.45,4.80745e-06,
3.55719e-09,0.45,4.80281e-06,
3.55819e-09,0.45,4.94246e-06,
3.55919e-09,0.45,4.94429e-06,
3.56019e-09,0.45,5.08574e-06,
3.56119e-09,0.45,5.10318e-06,
3.56219e-09,0.45,5.0246e-06,
3.56319e-09,0.45,4.8504e-06,
3.56419e-09,0.45,4.81357e-06,
3.56519e-09,0.45,4.71291e-06,
3.56619e-09,0.45,4.70704e-06,
3.56719e-09,0.45,4.62497e-06,
3.56819e-09,0.45,4.65038e-06,
3.56919e-09,0.45,4.57751e-06,
3.57019e-09,0.45,4.60302e-06,
3.57119e-09,0.45,4.52445e-06,
3.57219e-09,0.45,4.55169e-06,
3.57319e-09,0.45,4.47493e-06,
3.57419e-09,0.45,4.5008e-06,
3.57519e-09,0.45,4.42342e-06,
3.57619e-09,0.45,4.45483e-06,
3.57719e-09,0.45,4.38209e-06,
3.57819e-09,0.45,4.40828e-06,
3.57919e-09,0.45,4.32632e-06,
3.58019e-09,0.45,4.35701e-06,
3.58119e-09,0.45,4.28516e-06,
3.58219e-09,0.45,4.32939e-06,
3.58319e-09,0.45,4.22513e-06,
3.58419e-09,0.45,4.26973e-06,
3.58519e-09,0.45,4.14767e-06,
3.58619e-09,0.45,4.16432e-06,
3.58719e-09,0.45,4.05783e-06,
3.58819e-09,0.45,4.07395e-06,
3.58919e-09,0.45,3.97463e-06,
3.59019e-09,0.45,3.99241e-06,
3.59119e-09,0.45,3.88795e-06,
3.59219e-09,0.45,3.90373e-06,
3.59319e-09,0.45,3.80164e-06,
3.59419e-09,0.45,3.81935e-06,
3.59519e-09,0.45,3.71363e-06,
3.59619e-09,0.45,3.7311e-06,
3.59719e-09,0.45,3.62896e-06,
3.59819e-09,0.45,3.64698e-06,
3.59919e-09,0.45,3.54245e-06,
3.60019e-09,0.45,3.56054e-06,
3.60119e-09,0.45,3.45959e-06,
3.60219e-09,0.45,3.47735e-06,
3.60319e-09,0.45,3.37599e-06,
3.60419e-09,0.45,3.40485e-06,
3.60519e-09,0.45,3.27916e-06,
