19:*******************************************,
Transient Analysis,
Mon Nov 14 20:10:24 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.50019e-09,0.45,1.20635e-06,
3.50119e-09,0.45,1.17821e-06,
3.50219e-09,0.45,1.20636e-06,
3.50319e-09,0.45,1.16864e-06,
3.50419e-09,0.45,1.19902e-06,
3.50519e-09,0.45,1.16681e-06,
3.50619e-09,0.45,1.19616e-06,
3.50719e-09,0.45,1.16255e-06,
3.50819e-09,0.45,1.19242e-06,
3.50919e-09,0.45,1.16026e-06,
3.51019e-09,0.45,1.19082e-06,
3.51119e-09,0.45,1.15734e-06,
3.51219e-09,0.45,1.18682e-06,
3.51319e-09,0.45,1.15487e-06,
3.51419e-09,0.45,1.18605e-06,
3.51519e-09,0.45,1.15185e-06,
3.51619e-09,0.45,1.18032e-06,
3.51719e-09,0.45,1.14822e-06,
3.51819e-09,0.45,1.17476e-06,
3.51919e-09,0.45,1.10812e-06,
3.52019e-09,0.45,1.14283e-06,
3.52119e-09,0.45,1.12719e-06,
3.52219e-09,0.45,1.15378e-06,
3.52319e-09,0.45,1.12911e-06,
3.52419e-09,0.45,1.15528e-06,
3.52519e-09,0.45,1.12868e-06,
3.52619e-09,0.45,1.16011e-06,
3.52719e-09,0.45,1.13495e-06,
3.52819e-09,0.45,1.16749e-06,
3.52919e-09,0.45,1.14329e-06,
3.53019e-09,0.45,1.17653e-06,
3.53119e-09,0.45,1.15197e-06,
3.53219e-09,0.45,1.16735e-06,
3.53319e-09,0.45,1.12186e-06,
3.53419e-09,0.45,1.14209e-06,
3.53519e-09,0.45,1.10444e-06,
3.53619e-09,0.45,1.11892e-06,
3.53719e-09,0.45,1.07985e-06,
3.53819e-09,0.45,1.1006e-06,
3.53919e-09,0.45,1.06302e-06,
3.54019e-09,0.45,1.08592e-06,
3.54119e-09,0.45,1.04751e-06,
3.54219e-09,0.45,1.07052e-06,
3.54319e-09,0.45,1.03299e-06,
3.54419e-09,0.45,1.05641e-06,
3.54519e-09,0.45,1.01894e-06,
3.54619e-09,0.45,1.04367e-06,
3.54719e-09,0.45,1.008e-06,
3.54819e-09,0.45,1.03143e-06,
3.54919e-09,0.45,9.95905e-07,
3.55019e-09,0.45,1.02119e-06,
3.55119e-09,0.45,9.87307e-07,
3.55219e-09,0.45,1.01096e-06,
3.55319e-09,0.45,9.76076e-07,
3.55419e-09,0.45,1.00211e-06,
3.55519e-09,0.45,9.69935e-07,
3.55619e-09,0.45,9.44943e-07,
3.55719e-09,0.45,9.31686e-07,
3.55819e-09,0.45,9.59399e-07,
3.55919e-09,0.45,9.42772e-07,
3.56019e-09,0.45,9.88791e-07,
3.56119e-09,0.45,9.85209e-07,
3.56219e-09,0.45,1.04667e-06,
3.56319e-09,0.45,1.04462e-06,
3.56419e-09,0.45,1.1018e-06,
3.56519e-09,0.45,1.09748e-06,
3.56619e-09,0.45,1.16395e-06,
3.56719e-09,0.45,1.1669e-06,
3.56819e-09,0.45,1.22327e-06,
3.56919e-09,0.45,1.22823e-06,
3.57019e-09,0.45,1.30045e-06,
3.57119e-09,0.45,1.23547e-06,
3.57219e-09,0.45,1.2445e-06,
3.57319e-09,0.45,1.18527e-06,
3.57419e-09,0.45,1.19968e-06,
3.57519e-09,0.45,1.14734e-06,
3.57619e-09,0.45,1.15946e-06,
3.57719e-09,0.45,1.10669e-06,
3.57819e-09,0.45,1.12273e-06,
3.57919e-09,0.45,1.06834e-06,
3.58019e-09,0.45,1.09309e-06,
3.58119e-09,0.45,1.04789e-06,
3.58219e-09,0.45,1.08932e-06,
3.58319e-09,0.45,1.04284e-06,
3.58419e-09,0.45,1.07306e-06,
3.58519e-09,0.45,1.02754e-06,
3.58619e-09,0.45,1.0631e-06,
3.58719e-09,0.45,1.01616e-06,
3.58819e-09,0.45,1.04895e-06,
3.58919e-09,0.45,1.00148e-06,
3.59019e-09,0.45,1.0382e-06,
3.59119e-09,0.45,1.04642e-06,
3.59219e-09,0.45,1.15533e-06,
3.59319e-09,0.45,1.1243e-06,
3.59419e-09,0.45,1.18196e-06,
3.59519e-09,0.45,1.17601e-06,
3.59619e-09,0.45,1.22114e-06,
3.59719e-09,0.45,1.2026e-06,
3.59819e-09,0.45,1.24651e-06,
3.59919e-09,0.45,1.22749e-06,
3.60019e-09,0.45,1.26936e-06,
3.60119e-09,0.45,1.25039e-06,
3.60219e-09,0.45,1.29232e-06,
3.60319e-09,0.45,1.27263e-06,
3.60419e-09,0.45,1.31305e-06,
3.60519e-09,0.45,1.29335e-06,
3.60619e-09,0.45,1.33641e-06,
3.60719e-09,0.45,1.3189e-06,
3.60819e-09,0.45,1.36368e-06,
3.60919e-09,0.45,1.34695e-06,
3.61019e-09,0.45,1.39033e-06,
3.61119e-09,0.45,1.32892e-06,
3.61219e-09,0.45,1.31668e-06,
3.61319e-09,0.45,1.25683e-06,
3.61419e-09,0.45,1.25796e-06,
3.61519e-09,0.45,1.19833e-06,
3.61619e-09,0.45,1.20051e-06,
3.61719e-09,0.45,1.14154e-06,
3.61819e-09,0.45,1.1463e-06,
3.61919e-09,0.45,1.08991e-06,
3.62019e-09,0.45,1.09208e-06,
3.62119e-09,0.45,1.03289e-06,
3.62219e-09,0.45,1.03629e-06,
3.62319e-09,0.45,9.79195e-07,
3.62419e-09,0.45,9.81475e-07,
3.62519e-09,0.45,9.22682e-07,
3.62619e-09,0.45,9.25138e-07,
3.62719e-09,0.45,8.65952e-07,
3.62819e-09,0.45,8.71339e-07,
3.62919e-09,0.45,8.4408e-07,
3.63019e-09,0.45,8.64213e-07,
3.63119e-09,0.45,8.12472e-07,
3.63219e-09,0.45,8.3501e-07,
3.63319e-09,0.45,7.89421e-07,
3.63419e-09,0.45,8.12426e-07,
3.63519e-09,0.45,7.73488e-07,
3.63619e-09,0.45,7.98497e-07,
3.63719e-09,0.45,7.57427e-07,
3.63819e-09,0.45,7.84289e-07,
3.63919e-09,0.45,7.45253e-07,
3.64019e-09,0.45,7.70215e-07,
3.64119e-09,0.45,7.29451e-07,
3.64219e-09,0.45,7.49929e-07,
3.64319e-09,0.45,7.12559e-07,
3.64419e-09,0.45,7.29734e-07,
3.64519e-09,0.45,6.93112e-07,
3.64619e-09,0.45,7.12414e-07,
3.64719e-09,0.45,6.76691e-07,
3.64819e-09,0.45,6.97763e-07,
3.64919e-09,0.45,6.60507e-07,
3.65019e-09,0.45,6.94465e-07,
3.65119e-09,0.45,6.63582e-07,
3.65219e-09,0.45,7.0069e-07,
3.65319e-09,0.45,6.7056e-07,
3.65419e-09,0.45,7.06298e-07,
3.65519e-09,0.45,6.76248e-07,
3.65619e-09,0.45,7.11215e-07,
3.65719e-09,0.45,6.79598e-07,
3.65819e-09,0.45,7.1905e-07,
3.65919e-09,0.45,7.03252e-07,
3.66019e-09,0.45,7.36466e-07,
3.66119e-09,0.45,7.11941e-07,
3.66219e-09,0.45,7.24163e-07,
3.66319e-09,0.45,6.83387e-07,
3.66419e-09,0.45,6.81235e-07,
3.66519e-09,0.45,6.38562e-07,
3.66619e-09,0.45,6.32385e-07,
3.66719e-09,0.45,5.85724e-07,
