17:*******************************************,
Transient Analysis,
Mon Nov 14 20:08:59 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.5002e-09,0.45,-4.97111e-06,
3.5012e-09,0.45,-5.22091e-06,
3.5022e-09,0.45,-5.08093e-06,
3.5032e-09,0.45,-5.28813e-06,
3.5042e-09,0.45,-5.07158e-06,
3.5052e-09,0.45,-5.32129e-06,
3.5062e-09,0.45,-5.12521e-06,
3.5072e-09,0.45,-5.34674e-06,
3.5082e-09,0.45,-5.13958e-06,
3.5092e-09,0.45,-5.36411e-06,
3.5102e-09,0.45,-5.15448e-06,
3.5112e-09,0.45,-5.38363e-06,
3.5122e-09,0.45,-5.18236e-06,
3.5132e-09,0.45,-5.41461e-06,
3.5142e-09,0.45,-5.22871e-06,
3.5152e-09,0.45,-5.46152e-06,
3.5162e-09,0.45,-5.28144e-06,
3.5172e-09,0.45,-5.51435e-06,
3.5182e-09,0.45,-5.31811e-06,
3.5192e-09,0.45,-5.55046e-06,
3.5202e-09,0.45,-5.33763e-06,
3.5212e-09,0.45,-5.56777e-06,
3.5222e-09,0.45,-5.348e-06,
3.5232e-09,0.45,-5.58286e-06,
3.5242e-09,0.45,-5.37468e-06,
3.5252e-09,0.45,-5.59995e-06,
3.5262e-09,0.45,-5.38674e-06,
3.5272e-09,0.45,-5.59818e-06,
3.5282e-09,0.45,-5.3633e-06,
3.5292e-09,0.45,-5.31018e-06,
3.5302e-09,0.45,-4.90976e-06,
3.5312e-09,0.45,-4.84024e-06,
3.5322e-09,0.45,-4.41037e-06,
3.5332e-09,0.45,-4.37774e-06,
3.5342e-09,0.45,-3.94103e-06,
3.5352e-09,0.45,-3.90658e-06,
3.5362e-09,0.45,-3.47363e-06,
3.5372e-09,0.45,-3.45788e-06,
3.5382e-09,0.45,-3.02451e-06,
3.5392e-09,0.45,-3.0097e-06,
3.5402e-09,0.45,-2.57445e-06,
3.5412e-09,0.45,-2.55575e-06,
3.5422e-09,0.45,-2.12069e-06,
3.5432e-09,0.45,-2.10663e-06,
3.5442e-09,0.45,-1.71434e-06,
3.5452e-09,0.45,-1.72194e-06,
3.5462e-09,0.45,-1.35414e-06,
3.5472e-09,0.45,-1.38541e-06,
3.5482e-09,0.45,-1.01247e-06,
3.5492e-09,0.45,-1.05273e-06,
3.5502e-09,0.45,-6.80581e-07,
3.5512e-09,0.45,-7.29467e-07,
3.5522e-09,0.45,-3.5953e-07,
3.5532e-09,0.45,-4.08483e-07,
3.5542e-09,0.45,-5.22718e-08,
3.5552e-09,0.45,-1.96723e-07,
3.5562e-09,0.45,1.35861e-07,
3.5572e-09,0.45,4.84386e-08,
3.5582e-09,0.45,3.74014e-07,
3.5592e-09,0.45,2.77815e-07,
3.5602e-09,0.45,6.00489e-07,
3.5612e-09,0.45,4.8865e-07,
3.5622e-09,0.45,7.98053e-07,
3.5632e-09,0.45,6.85598e-07,
3.5642e-09,0.45,9.9498e-07,
3.5652e-09,0.45,8.78807e-07,
3.5662e-09,0.45,1.17554e-06,
3.5672e-09,0.45,1.05815e-06,
3.5682e-09,0.45,1.34653e-06,
3.5692e-09,0.45,1.23363e-06,
3.5702e-09,0.45,1.51897e-06,
3.5712e-09,0.45,1.40699e-06,
3.5722e-09,0.45,1.69388e-06,
3.5732e-09,0.45,1.57335e-06,
3.5742e-09,0.45,1.85764e-06,
3.5752e-09,0.45,1.7404e-06,
3.5762e-09,0.45,2.03858e-06,
3.5772e-09,0.45,1.91999e-06,
3.5782e-09,0.45,2.19866e-06,
3.5792e-09,0.45,2.07398e-06,
3.5802e-09,0.45,2.38715e-06,
3.5812e-09,0.45,2.27772e-06,
3.5822e-09,0.45,2.55249e-06,
3.5832e-09,0.45,2.4172e-06,
3.5842e-09,0.45,2.67423e-06,
3.5852e-09,0.45,2.51027e-06,
3.5862e-09,0.45,2.76886e-06,
3.5872e-09,0.45,2.63245e-06,
3.5882e-09,0.45,2.89973e-06,
3.5892e-09,0.45,2.73948e-06,
3.5902e-09,0.45,2.99665e-06,
3.5912e-09,0.45,2.82486e-06,
3.5922e-09,0.45,3.08175e-06,
3.5932e-09,0.45,2.91264e-06,
3.5942e-09,0.45,3.16092e-06,
3.5952e-09,0.45,2.98295e-06,
3.5962e-09,0.45,3.22863e-06,
3.5972e-09,0.45,3.05587e-06,
3.5982e-09,0.45,3.29838e-06,
3.5992e-09,0.45,3.14088e-06,
3.6002e-09,0.45,3.38126e-06,
3.6012e-09,0.45,3.22322e-06,
3.6022e-09,0.45,3.50783e-06,
3.6032e-09,0.45,3.40594e-06,
3.6042e-09,0.45,3.70255e-06,
3.6052e-09,0.45,3.63151e-06,
3.6062e-09,0.45,3.94572e-06,
3.6072e-09,0.45,3.88357e-06,
3.6082e-09,0.45,4.21231e-06,
3.6092e-09,0.45,4.15107e-06,
3.6102e-09,0.45,4.48749e-06,
3.6112e-09,0.45,4.42836e-06,
3.6122e-09,0.45,4.76585e-06,
3.6132e-09,0.45,4.70165e-06,
3.6142e-09,0.45,5.04028e-06,
3.6152e-09,0.45,4.977e-06,
3.6162e-09,0.45,5.31562e-06,
3.6172e-09,0.45,5.24931e-06,
3.6182e-09,0.45,5.58803e-06,
3.6192e-09,0.45,5.52423e-06,
3.6202e-09,0.45,5.86282e-06,
3.6212e-09,0.45,5.79527e-06,
3.6222e-09,0.45,6.01981e-06,
3.6232e-09,0.45,5.78494e-06,
3.6242e-09,0.45,6.0726e-06,
3.6252e-09,0.45,5.9137e-06,
3.6262e-09,0.45,6.1321e-06,
3.6272e-09,0.45,5.955e-06,
3.6282e-09,0.45,6.18308e-06,
3.6292e-09,0.45,6.02841e-06,
3.6302e-09,0.45,6.20752e-06,
3.6312e-09,0.45,6.00066e-06,
3.6322e-09,0.45,6.19037e-06,
3.6332e-09,0.45,5.98734e-06,
3.6342e-09,0.45,6.17786e-06,
3.6352e-09,0.45,5.97795e-06,
3.6362e-09,0.45,6.17066e-06,
3.6372e-09,0.45,5.96867e-06,
3.6382e-09,0.45,6.16654e-06,
3.6392e-09,0.45,5.96235e-06,
3.6402e-09,0.45,6.16398e-06,
3.6412e-09,0.45,5.95807e-06,
3.6422e-09,0.45,6.15819e-06,
3.6432e-09,0.45,5.95477e-06,
3.6442e-09,0.45,6.15974e-06,
3.6452e-09,0.45,5.95389e-06,
3.6462e-09,0.45,6.15973e-06,
3.6472e-09,0.45,5.95342e-06,
3.6482e-09,0.45,6.15901e-06,
3.6492e-09,0.45,5.94858e-06,
3.6502e-09,0.45,6.15174e-06,
3.6512e-09,0.45,5.94146e-06,
3.6522e-09,0.45,6.14363e-06,
3.6532e-09,0.45,5.93409e-06,
3.6542e-09,0.45,6.13623e-06,
3.6552e-09,0.45,5.9311e-06,
3.6562e-09,0.45,6.13652e-06,
