22:*******************************************,
Transient Analysis,
Mon Nov 14 20:13:09 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.5002e-09,0.45,-6.37043e-07,
3.5012e-09,0.45,-6.83312e-07,
3.5022e-09,0.45,-5.98491e-07,
3.5032e-09,0.45,-6.4825e-07,
3.5042e-09,0.45,-5.53016e-07,
3.5052e-09,0.45,-5.99354e-07,
3.5062e-09,0.45,-5.06872e-07,
3.5072e-09,0.45,-5.61304e-07,
3.5082e-09,0.45,-4.61212e-07,
3.5092e-09,0.45,-5.10865e-07,
3.5102e-09,0.45,-4.13597e-07,
3.5112e-09,0.45,-4.67805e-07,
3.5122e-09,0.45,-3.62921e-07,
3.5132e-09,0.45,-4.20556e-07,
3.5142e-09,0.45,-3.29697e-07,
3.5152e-09,0.45,-3.96426e-07,
3.5162e-09,0.45,-3.08326e-07,
3.5172e-09,0.45,-3.6149e-07,
3.5182e-09,0.45,1.68927e-07,
3.5192e-09,0.45,1.27938e-07,
3.5202e-09,0.45,4.65499e-07,
3.5212e-09,0.45,3.79925e-07,
3.5222e-09,0.45,5.89916e-07,
3.5232e-09,0.45,4.97034e-07,
3.5242e-09,0.45,4.71156e-07,
3.5252e-09,0.45,6.63372e-07,
3.5262e-09,0.45,6.66518e-07,
3.5272e-09,0.45,4.61615e-07,
3.5282e-09,0.45,5.69664e-07,
3.5292e-09,0.45,4.66583e-07,
3.5302e-09,0.45,5.05538e-07,
3.5312e-09,0.45,3.83307e-07,
3.5322e-09,0.45,4.77731e-07,
3.5332e-09,0.45,4.2533e-07,
3.5342e-09,0.45,5.26343e-07,
3.5352e-09,0.45,4.50379e-07,
3.5362e-09,0.45,5.51376e-07,
3.5372e-09,0.45,4.78976e-07,
3.5382e-09,0.45,5.77388e-07,
3.5392e-09,0.45,5.0506e-07,
3.5402e-09,0.45,6.01529e-07,
3.5412e-09,0.45,5.29819e-07,
3.5422e-09,0.45,6.26734e-07,
3.5432e-09,0.45,5.54847e-07,
3.5442e-09,0.45,6.48657e-07,
3.5452e-09,0.45,5.79807e-07,
3.5462e-09,0.45,6.91089e-07,
3.5472e-09,0.45,6.16603e-07,
3.5482e-09,0.45,7.19191e-07,
3.5492e-09,0.45,6.41526e-07,
3.5502e-09,0.45,7.39057e-07,
3.5512e-09,0.45,6.66937e-07,
3.5522e-09,0.45,7.66286e-07,
3.5532e-09,0.45,6.90806e-07,
3.5542e-09,0.45,7.99416e-07,
3.5552e-09,0.45,7.31551e-07,
3.5562e-09,0.45,8.28501e-07,
3.5572e-09,0.45,7.53937e-07,
3.5582e-09,0.45,8.56145e-07,
3.5592e-09,0.45,7.806e-07,
3.5602e-09,0.45,8.82366e-07,
3.5612e-09,0.45,8.0648e-07,
3.5622e-09,0.45,9.07376e-07,
3.5632e-09,0.45,8.30131e-07,
3.5642e-09,0.45,9.30143e-07,
3.5652e-09,0.45,8.52194e-07,
3.5662e-09,0.45,9.52919e-07,
3.5672e-09,0.45,8.46156e-07,
3.5682e-09,0.45,9.23476e-07,
3.5692e-09,0.45,8.12158e-07,
3.5702e-09,0.45,8.90486e-07,
3.5712e-09,0.45,7.84378e-07,
3.5722e-09,0.45,8.57386e-07,
3.5732e-09,0.45,7.52739e-07,
3.5742e-09,0.45,8.27819e-07,
