16:*******************************************,
Transient Analysis,
Mon Nov 14 20:08:11 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.50019e-09,0.45,-0.000386244,
3.50119e-09,0.45,-0.000388139,
3.50219e-09,0.45,-0.000389646,
3.50319e-09,0.45,-0.000390676,
3.50419e-09,0.45,-0.000392059,
3.50519e-09,0.45,-0.000393622,
3.50619e-09,0.45,-0.000394905,
3.50719e-09,0.45,-0.000397273,
3.50819e-09,0.45,-0.000398814,
3.50919e-09,0.45,-0.000400692,
3.51019e-09,0.45,-0.000401664,
3.51119e-09,0.45,-0.000403201,
3.51219e-09,0.45,-0.00040421,
3.51319e-09,0.45,-0.000405773,
3.51419e-09,0.45,-0.000407671,
3.51519e-09,0.45,-0.000409483,
3.51619e-09,0.45,-0.000411274,
3.51719e-09,0.45,-0.000413065,
3.51819e-09,0.45,-0.000414304,
3.51919e-09,0.45,-0.000416072,
3.52019e-09,0.45,-0.000417994,
3.52119e-09,0.45,-0.000419778,
3.52219e-09,0.45,-0.000421096,
3.52319e-09,0.45,-0.000422399,
3.52419e-09,0.45,-0.000423492,
3.52519e-09,0.45,-0.000425094,
3.52619e-09,0.45,-0.000426759,
3.52719e-09,0.45,-0.000428478,
3.52819e-09,0.45,-0.000429802,
3.52919e-09,0.45,-0.000431557,
3.53019e-09,0.45,-0.000433038,
3.53119e-09,0.45,-0.000434784,
3.53219e-09,0.45,-0.000436315,
3.53319e-09,0.45,-0.000438098,
3.53419e-09,0.45,-0.000440282,
3.53519e-09,0.45,-0.000442379,
3.53619e-09,0.45,-0.000443753,
3.53719e-09,0.45,-0.000445783,
3.53819e-09,0.45,-0.000447096,
3.53919e-09,0.45,-0.000448936,
3.54019e-09,0.45,-0.000450198,
3.54119e-09,0.45,-0.000452073,
3.54219e-09,0.45,-0.000453818,
3.54319e-09,0.45,-0.000456089,
3.54419e-09,0.45,-0.000457804,
3.54519e-09,0.45,-0.00045972,
3.54619e-09,0.45,-0.000460763,
3.54719e-09,0.45,-0.00046267,
3.54819e-09,0.45,-0.000463878,
3.54919e-09,0.45,-0.000465484,
3.55019e-09,0.45,-0.000466238,
3.55119e-09,0.45,-0.000468116,
3.55219e-09,0.45,-0.000469713,
3.55319e-09,0.45,-0.000471403,
3.55419e-09,0.45,-0.000472789,
3.55519e-09,0.45,-0.000474488,
3.55619e-09,0.45,-0.000475561,
3.55719e-09,0.45,-0.000476624,
3.55819e-09,0.45,-0.000478448,
3.55919e-09,0.45,-0.00048011,
3.56019e-09,0.45,-0.000482163,
3.56119e-09,0.45,-0.000483848,
3.56219e-09,0.45,-0.000485726,
3.56319e-09,0.45,-0.00048741,
3.56419e-09,0.45,-0.000489511,
3.56519e-09,0.45,-0.000491208,
3.56619e-09,0.45,-0.000491993,
3.56719e-09,0.45,-0.000493829,
3.56819e-09,0.45,-0.000495293,
3.56919e-09,0.45,-0.000496901,
3.57019e-09,0.45,-0.000498225,
3.57119e-09,0.45,-0.000500032,
3.57219e-09,0.45,-0.00050092,
3.57319e-09,0.45,-0.000503107,
3.57419e-09,0.45,-0.000504551,
3.57519e-09,0.45,-0.000506717,
3.57619e-09,0.45,-0.00050825,
3.57719e-09,0.45,-0.000509983,
3.57819e-09,0.45,-0.000511109,
3.57919e-09,0.45,-0.000512598,
3.58019e-09,0.45,-0.000514212,
3.58119e-09,0.45,-0.000516763,
3.58219e-09,0.45,-0.000515551,
3.58319e-09,0.45,-0.000515301,
3.58419e-09,0.45,-0.000514646,
3.58519e-09,0.45,-0.000517837,
3.58619e-09,0.45,-0.000520793,
3.58719e-09,0.45,-0.00052402,
3.58819e-09,0.45,-0.000526985,
3.58919e-09,0.45,-0.00053,
3.59019e-09,0.45,-0.000532917,
3.59119e-09,0.45,-0.000532292,
3.59219e-09,0.45,-0.000531356,
3.59319e-09,0.45,-0.000530661,
3.59419e-09,0.45,-0.000529209,
3.59519e-09,0.45,-0.000528126,
3.59619e-09,0.45,-0.000530409,
3.59719e-09,0.45,-0.000534788,
3.59819e-09,0.45,-0.000537584,
3.59919e-09,0.45,-0.000540154,
3.60019e-09,0.45,-0.000541866,
3.60119e-09,0.45,-0.000545656,
3.60219e-09,0.45,-0.000548837,
3.60319e-09,0.45,-0.000550661,
3.60419e-09,0.45,-0.000551447,
3.60519e-09,0.45,-0.000550973,
3.60619e-09,0.45,-0.000551475,
3.60719e-09,0.45,-0.000552158,
3.60819e-09,0.45,-0.000552654,
3.60919e-09,0.45,-0.000554444,
3.61019e-09,0.45,-0.000555824,
3.61119e-09,0.45,-0.000557386,
3.61219e-09,0.45,-0.000559097,
3.61319e-09,0.45,-0.000560723,
3.61419e-09,0.45,-0.000562239,
3.61519e-09,0.45,-0.000563684,
3.61619e-09,0.45,-0.000564429,
