21:*******************************************,
Transient Analysis,
Mon Nov 14 20:12:08 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.50019e-09,0.45,-0.000828577,
3.50119e-09,0.45,-0.000830352,
3.50219e-09,0.45,-0.000831933,
3.50319e-09,0.45,-0.000833719,
3.50419e-09,0.45,-0.000834734,
3.50519e-09,0.45,-0.000836212,
3.50619e-09,0.45,-0.000836275,
3.50719e-09,0.45,-0.00083861,
3.50819e-09,0.45,-0.000839508,
3.50919e-09,0.45,-0.000841347,
3.51019e-09,0.45,-0.000841775,
3.51119e-09,0.45,-0.000842403,
3.51219e-09,0.45,-0.000842499,
3.51319e-09,0.45,-0.000843948,
3.51419e-09,0.45,-0.000845036,
3.51519e-09,0.45,-0.0008464,
3.51619e-09,0.45,-0.000847158,
3.51719e-09,0.45,-0.000847681,
3.51819e-09,0.45,-0.000848281,
3.51919e-09,0.45,-0.000849304,
3.52019e-09,0.45,-0.00085028,
3.52119e-09,0.45,-0.000851501,
3.52219e-09,0.45,-0.00085346,
3.52319e-09,0.45,-0.000854437,
3.52419e-09,0.45,-0.000855667,
3.52519e-09,0.45,-0.000856029,
3.52619e-09,0.45,-0.000856792,
3.52719e-09,0.45,-0.000857474,
3.52819e-09,0.45,-0.000858807,
3.52919e-09,0.45,-0.000859513,
3.53019e-09,0.45,-0.000860796,
3.53119e-09,0.45,-0.000861464,
3.53219e-09,0.45,-0.000862641,
3.53319e-09,0.45,-0.000863369,
3.53419e-09,0.45,-0.000864545,
3.53519e-09,0.45,-0.000865303,
3.53619e-09,0.45,-0.000866571,
3.53719e-09,0.45,-0.000867282,
3.53819e-09,0.45,-0.000868426,
3.53919e-09,0.45,-0.000869149,
3.54019e-09,0.45,-0.000870219,
3.54119e-09,0.45,-0.000870967,
3.54219e-09,0.45,-0.000871854,
3.54319e-09,0.45,-0.000872942,
3.54419e-09,0.45,-0.00087399,
3.54519e-09,0.45,-0.000875103,
3.54619e-09,0.45,-0.000876106,
3.54719e-09,0.45,-0.000877233,
3.54819e-09,0.45,-0.00087826,
3.54919e-09,0.45,-0.000879406,
3.55019e-09,0.45,-0.000880367,
3.55119e-09,0.45,-0.000881529,
3.55219e-09,0.45,-0.000882323,
3.55319e-09,0.45,-0.000883587,
3.55419e-09,0.45,-0.000884307,
3.55519e-09,0.45,-0.000885637,
3.55619e-09,0.45,-0.000886437,
3.55719e-09,0.45,-0.000887784,
3.55819e-09,0.45,-0.000888559,
3.55919e-09,0.45,-0.000889911,
