15:*******************************************,
Transient Analysis,
Mon Nov 14 20:07:32 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.5002e-09,0.45,0.000716206,
3.5012e-09,0.45,0.000719953,
3.5022e-09,0.45,0.000723004,
3.5032e-09,0.45,0.000726104,
3.5042e-09,0.45,0.000729159,
3.5052e-09,0.45,0.000731922,
3.5062e-09,0.45,0.000734894,
3.5072e-09,0.45,0.000738692,
3.5082e-09,0.45,0.000742092,
3.5092e-09,0.45,0.000745438,
3.5102e-09,0.45,0.000748419,
3.5112e-09,0.45,0.000751964,
3.5122e-09,0.45,0.000755485,
3.5132e-09,0.45,0.000759107,
3.5142e-09,0.45,0.000762323,
3.5152e-09,0.45,0.000765525,
3.5162e-09,0.45,0.000768059,
3.5172e-09,0.45,0.000770775,
3.5182e-09,0.45,0.000773707,
3.5192e-09,0.45,0.000776114,
3.5202e-09,0.45,0.000779346,
3.5212e-09,0.45,0.000781947,
3.5222e-09,0.45,0.000784693,
3.5232e-09,0.45,0.000787284,
3.5242e-09,0.45,0.000790505,
3.5252e-09,0.45,0.000793603,
3.5262e-09,0.45,0.000796826,
3.5272e-09,0.45,0.000799872,
3.5282e-09,0.45,0.000802986,
3.5292e-09,0.45,0.00080596,
3.5302e-09,0.45,0.000810325,
3.5312e-09,0.45,0.000812903,
3.5322e-09,0.45,0.000815952,
3.5332e-09,0.45,0.000818972,
3.5342e-09,0.45,0.000822487,
3.5352e-09,0.45,0.000825871,
3.5362e-09,0.45,0.000828085,
3.5372e-09,0.45,0.00083012,
3.5382e-09,0.45,0.000833348,
3.5392e-09,0.45,0.000835371,
3.5402e-09,0.45,0.000839076,
3.5412e-09,0.45,0.000843506,
3.5422e-09,0.45,0.000847345,
3.5432e-09,0.45,0.000850316,
3.5442e-09,0.45,0.000852709,
3.5452e-09,0.45,0.000856231,
3.5462e-09,0.45,0.000858668,
3.5472e-09,0.45,0.000862396,
3.5482e-09,0.45,0.000867178,
3.5492e-09,0.45,0.000870035,
3.5502e-09,0.45,0.000871718,
3.5512e-09,0.45,0.000872615,
3.5522e-09,0.45,0.000874385,
3.5532e-09,0.45,0.000877885,
3.5542e-09,0.45,0.000881269,
3.5552e-09,0.45,0.00088563,
3.5562e-09,0.45,0.000890055,
3.5572e-09,0.45,0.000892697,
3.5582e-09,0.45,0.000896468,
3.5592e-09,0.45,0.000899472,
3.5602e-09,0.45,0.00090396,
3.5612e-09,0.45,0.000905883,
3.5622e-09,0.45,0.000908615,
3.5632e-09,0.45,0.000910506,
3.5642e-09,0.45,0.000913118,
3.5652e-09,0.45,0.000915543,
3.5662e-09,0.45,0.000918933,
3.5672e-09,0.45,0.000923089,
3.5682e-09,0.45,0.000926598,
3.5692e-09,0.45,0.000929287,
3.5702e-09,0.45,0.000932389,
3.5712e-09,0.45,0.0009337,
3.5722e-09,0.45,0.000936184,
3.5732e-09,0.45,0.000939364,
3.5742e-09,0.45,0.000943335,
3.5752e-09,0.45,0.000947788,
3.5762e-09,0.45,0.000952804,
3.5772e-09,0.45,0.000957159,
3.5782e-09,0.45,0.000962188,
3.5792e-09,0.45,0.000966475,
3.5802e-09,0.45,0.000971236,
3.5812e-09,0.45,0.000975926,
3.5822e-09,0.45,0.000980713,
3.5832e-09,0.45,0.000984166,
3.5842e-09,0.45,0.000990322,
3.5852e-09,0.45,0.000993309,
3.5862e-09,0.45,0.00099892,
3.5872e-09,0.45,0.00100267,
3.5882e-09,0.45,0.00100828,
3.5892e-09,0.45,0.00101213,
3.5902e-09,0.45,0.00101763,
3.5912e-09,0.45,0.00102153,
3.5922e-09,0.45,0.00102717,
3.5932e-09,0.45,0.00103105,
3.5942e-09,0.45,0.00103698,
3.5952e-09,0.45,0.00104084,
3.5962e-09,0.45,0.00104682,
3.5972e-09,0.45,0.00105073,
3.5982e-09,0.45,0.00105608,
3.5992e-09,0.45,0.00105921,
3.6002e-09,0.45,0.00106365,
3.6012e-09,0.45,0.00106678,
3.6022e-09,0.45,0.00107213,
3.6032e-09,0.45,0.00107504,
3.6042e-09,0.45,0.00107988,
3.6052e-09,0.45,0.00108278,
3.6062e-09,0.45,0.00108738,
3.6072e-09,0.45,0.0010907,
3.6082e-09,0.45,0.00109585,
3.6092e-09,0.45,0.00109981,
3.6102e-09,0.45,0.00110454,
3.6112e-09,0.45,0.00110858,
3.6122e-09,0.45,0.00111375,
3.6132e-09,0.45,0.00111795,
3.6142e-09,0.45,0.00112301,
3.6152e-09,0.45,0.0011276,
3.6162e-09,0.45,0.00113233,
3.6172e-09,0.45,0.00113699,
3.6182e-09,0.45,0.00114215,
3.6192e-09,0.45,0.00114657,
3.6202e-09,0.45,0.00115192,
3.6212e-09,0.45,0.00115647,
3.6222e-09,0.45,0.00116188,
3.6232e-09,0.45,0.0011665,
3.6242e-09,0.45,0.00117197,
3.6252e-09,0.45,0.00117661,
3.6262e-09,0.45,0.00118205,
3.6272e-09,0.45,0.00118674,
3.6282e-09,0.45,0.00119232,
3.6292e-09,0.45,0.00119717,
3.6302e-09,0.45,0.00120237,
3.6312e-09,0.45,0.00120714,
3.6322e-09,0.45,0.00121289,
3.6332e-09,0.45,0.00121779,
3.6342e-09,0.45,0.00122349,
3.6352e-09,0.45,0.00122857,
3.6362e-09,0.45,0.00123388,
3.6372e-09,0.45,0.0012388,
3.6382e-09,0.45,0.00124458,
3.6392e-09,0.45,0.00124974,
3.6402e-09,0.45,0.00125554,
3.6412e-09,0.45,0.00126049,
3.6422e-09,0.45,0.00126581,
3.6432e-09,0.45,0.00127115,
3.6442e-09,0.45,0.0012769,
3.6452e-09,0.45,0.00128194,
3.6462e-09,0.45,0.00128775,
3.6472e-09,0.45,0.00129316,
3.6482e-09,0.45,0.00129861,
3.6492e-09,0.45,0.00130401,
3.6502e-09,0.45,0.00130985,
3.6512e-09,0.45,0.00131514,
3.6522e-09,0.45,0.00132093,
3.6532e-09,0.45,0.00132618,
3.6542e-09,0.45,0.00133149,
3.6552e-09,0.45,0.00133694,
3.6562e-09,0.45,0.00134265,
3.6572e-09,0.45,0.00134876,
3.6582e-09,0.45,0.00135525,
3.6592e-09,0.45,0.00136132,
3.6602e-09,0.45,0.00136702,
3.6612e-09,0.45,0.00137213,
3.6622e-09,0.45,0.00137798,
3.6632e-09,0.45,0.00138288,
3.6642e-09,0.45,0.00138908,
3.6652e-09,0.45,0.00139382,
3.6662e-09,0.45,0.00139943,
3.6672e-09,0.45,0.00140347,
3.6682e-09,0.45,0.00140893,
3.6692e-09,0.45,0.00141292,
3.6702e-09,0.45,0.00141854,
3.6712e-09,0.45,0.00142364,
3.6722e-09,0.45,0.00142839,
3.6732e-09,0.45,0.00143422,
3.6742e-09,0.45,0.00143959,
3.6752e-09,0.45,0.00144577,
3.6762e-09,0.45,0.00145251,
3.6772e-09,0.45,0.00145987,
3.6782e-09,0.45,0.00146575,
3.6792e-09,0.45,0.00147278,
3.6802e-09,0.45,0.00148045,
3.6812e-09,0.45,0.00148754,
3.6822e-09,0.45,0.00149456,
3.6832e-09,0.45,0.00150038,
3.6842e-09,0.45,0.00150775,
3.6852e-09,0.45,0.00151321,
3.6862e-09,0.45,0.00151975,
3.6872e-09,0.45,0.00152565,
3.6882e-09,0.45,0.00153206,
3.6892e-09,0.45,0.00153769,
3.6902e-09,0.45,0.00154377,
3.6912e-09,0.45,0.00154954,
3.6922e-09,0.45,0.00155574,
3.6932e-09,0.45,0.00156182,
3.6942e-09,0.45,0.00156843,
3.6952e-09,0.45,0.0015747,
3.6962e-09,0.45,0.00158152,
3.6972e-09,0.45,0.00158804,
3.6982e-09,0.45,0.00159485,
3.6992e-09,0.45,0.00160128,
3.7002e-09,0.45,0.0016077,
3.7012e-09,0.45,0.00161418,
3.7022e-09,0.45,0.00162085,
3.7032e-09,0.45,0.00162718,
3.7042e-09,0.45,0.00163436,
3.7052e-09,0.45,0.00164079,
3.7062e-09,0.45,0.00164839,
3.7072e-09,0.45,0.00165488,
3.7082e-09,0.45,0.00166259,
3.7092e-09,0.45,0.0016691,
3.7102e-09,0.45,0.00167627,
3.7112e-09,0.45,0.00168325,
3.7122e-09,0.45,0.00169002,
3.7132e-09,0.45,0.00169724,
3.7142e-09,0.45,0.00170354,
3.7152e-09,0.45,0.00171043,
3.7162e-09,0.45,0.00171678,
3.7172e-09,0.45,0.00172234,
3.7182e-09,0.45,0.00172833,
3.7192e-09,0.45,0.00173382,
3.7202e-09,0.45,0.00174105,
3.7212e-09,0.45,0.00174792,
3.7222e-09,0.45,0.00175493,
3.7232e-09,0.45,0.00176122,
3.7242e-09,0.45,0.00176853,
3.7252e-09,0.45,0.00177491,
3.7262e-09,0.45,0.00178216,
3.7272e-09,0.45,0.00178922,
3.7282e-09,0.45,0.00179663,
3.7292e-09,0.45,0.00180429,
3.7302e-09,0.45,0.00181126,
3.7312e-09,0.45,0.00181844,
3.7322e-09,0.45,0.00182513,
3.7332e-09,0.45,0.00183191,
3.7342e-09,0.45,0.00183877,
3.7352e-09,0.45,0.0018456,
3.7362e-09,0.45,0.00185256,
3.7372e-09,0.45,0.00185961,
3.7382e-09,0.45,0.00186711,
3.7392e-09,0.45,0.00187466,
3.7402e-09,0.45,0.00188245,
3.7412e-09,0.45,0.00189013,
