10:*******************************************,
Transient Analysis,
Mon Nov 14 19:55:24 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.5002e-09,0.45,0.00100998,
3.5012e-09,0.45,0.00100912,
3.5022e-09,0.45,0.00100846,
3.5032e-09,0.45,0.00100763,
3.5042e-09,0.45,0.00100687,
3.5052e-09,0.45,0.00100604,
3.5062e-09,0.45,0.00100919,
3.5072e-09,0.45,0.00101062,
3.5082e-09,0.45,0.00101391,
3.5092e-09,0.45,0.00101523,
3.5102e-09,0.45,0.00101562,
3.5112e-09,0.45,0.00101558,
3.5122e-09,0.45,0.00101523,
3.5132e-09,0.45,0.00101616,
3.5142e-09,0.45,0.0010164,
3.5152e-09,0.45,0.00101736,
3.5162e-09,0.45,0.00101847,
3.5172e-09,0.45,0.00101931,
3.5182e-09,0.45,0.00102048,
3.5192e-09,0.45,0.00102091,
3.5202e-09,0.45,0.00102179,
3.5212e-09,0.45,0.00102274,
3.5222e-09,0.45,0.00102309,
3.5232e-09,0.45,0.00102296,
3.5242e-09,0.45,0.00102372,
3.5252e-09,0.45,0.00102418,
3.5262e-09,0.45,0.00102478,
3.5272e-09,0.45,0.00102454,
3.5282e-09,0.45,0.0010247,
3.5292e-09,0.45,0.00102436,
3.5302e-09,0.45,0.00102314,
3.5312e-09,0.45,0.00102104,
3.5322e-09,0.45,0.00101959,
3.5332e-09,0.45,0.0010186,
3.5342e-09,0.45,0.00101742,
3.5352e-09,0.45,0.00101699,
3.5362e-09,0.45,0.00101574,
3.5372e-09,0.45,0.00101468,
3.5382e-09,0.45,0.00101374,
3.5392e-09,0.45,0.00101206,
3.5402e-09,0.45,0.00100995,
3.5412e-09,0.45,0.00100871,
3.5422e-09,0.45,0.00100846,
3.5432e-09,0.45,0.00100655,
3.5442e-09,0.45,0.00100511,
3.5452e-09,0.45,0.00100272,
3.5462e-09,0.45,0.00100277,
3.5472e-09,0.45,0.00100136,
3.5482e-09,0.45,0.00100146,
3.5492e-09,0.45,0.00100041,
3.5502e-09,0.45,0.000998027,
3.5512e-09,0.45,0.000995555,
3.5522e-09,0.45,0.000993263,
3.5532e-09,0.45,0.000990815,
3.5542e-09,0.45,0.000987914,
3.5552e-09,0.45,0.000986876,
3.5562e-09,0.45,0.000985663,
3.5572e-09,0.45,0.00098464,
3.5582e-09,0.45,0.000984028,
3.5592e-09,0.45,0.000982925,
3.5602e-09,0.45,0.000981995,
3.5612e-09,0.45,0.000981015,
3.5622e-09,0.45,0.000980356,
3.5632e-09,0.45,0.00097934,
3.5642e-09,0.45,0.000978314,
3.5652e-09,0.45,0.00097841,
3.5662e-09,0.45,0.000977354,
3.5672e-09,0.45,0.000980433,
3.5682e-09,0.45,0.000979568,
3.5692e-09,0.45,0.000973001,
3.5702e-09,0.45,0.000973224,
3.5712e-09,0.45,0.000975767,
3.5722e-09,0.45,0.000976101,
3.5732e-09,0.45,0.000975198,
3.5742e-09,0.45,0.000973309,
3.5752e-09,0.45,0.000973839,
3.5762e-09,0.45,0.00097731,
3.5772e-09,0.45,0.000976868,
3.5782e-09,0.45,0.000975204,
3.5792e-09,0.45,0.000976014,
3.5802e-09,0.45,0.000974757,
3.5812e-09,0.45,0.000973668,
3.5822e-09,0.45,0.000971101,
3.5832e-09,0.45,0.000970353,
3.5842e-09,0.45,0.000968691,
3.5852e-09,0.45,0.000968052,
3.5862e-09,0.45,0.000966526,
3.5872e-09,0.45,0.000965544,
3.5882e-09,0.45,0.000964006,
3.5892e-09,0.45,0.000961227,
3.5902e-09,0.45,0.000958985,
3.5912e-09,0.45,0.000956691,
3.5922e-09,0.45,0.000954244,
3.5932e-09,0.45,0.000953212,
3.5942e-09,0.45,0.000950229,
3.5952e-09,0.45,0.00094939,
3.5962e-09,0.45,0.000947907,
3.5972e-09,0.45,0.000946721,
3.5982e-09,0.45,0.000946186,
3.5992e-09,0.45,0.000946372,
3.6002e-09,0.45,0.000944871,
3.6012e-09,0.45,0.000944501,
3.6022e-09,0.45,0.000942839,
3.6032e-09,0.45,0.000942486,
3.6042e-09,0.45,0.000941371,
3.6052e-09,0.45,0.000941231,
3.6062e-09,0.45,0.000940213,
3.6072e-09,0.45,0.000938538,
3.6082e-09,0.45,0.000937976,
3.6092e-09,0.45,0.00093719,
3.6102e-09,0.45,0.000936676,
3.6112e-09,0.45,0.000936583,
3.6122e-09,0.45,0.000936251,
3.6132e-09,0.45,0.000934941,
3.6142e-09,0.45,0.000934298,
3.6152e-09,0.45,0.000933988,
3.6162e-09,0.45,0.000932894,
