13:*******************************************,
Transient Analysis,
Mon Nov 14 20:05:30 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.5002e-09,0.45,0.00644874,
3.5012e-09,0.45,0.00641055,
3.5022e-09,0.45,0.00636877,
3.5032e-09,0.45,0.00633012,
3.5042e-09,0.45,0.00628823,
3.5052e-09,0.45,0.00624619,
3.5062e-09,0.45,0.00620607,
3.5072e-09,0.45,0.00616966,
3.5082e-09,0.45,0.00613016,
3.5092e-09,0.45,0.00609029,
3.5102e-09,0.45,0.0060432,
3.5112e-09,0.45,0.00599909,
3.5122e-09,0.45,0.00594967,
3.5132e-09,0.45,0.00590112,
3.5142e-09,0.45,0.00584791,
3.5152e-09,0.45,0.00579508,
3.5162e-09,0.45,0.00574167,
3.5172e-09,0.45,0.0056899,
3.5182e-09,0.45,0.00563846,
3.5192e-09,0.45,0.00559006,
3.5202e-09,0.45,0.00553788,
3.5212e-09,0.45,0.00549963,
3.5222e-09,0.45,0.00546169,
3.5232e-09,0.45,0.00542383,
3.5242e-09,0.45,0.00538574,
3.5252e-09,0.45,0.005347,
3.5262e-09,0.45,0.00530856,
3.5272e-09,0.45,0.00527043,
3.5282e-09,0.45,0.00523478,
3.5292e-09,0.45,0.00519558,
3.5302e-09,0.45,0.00515703,
3.5312e-09,0.45,0.00511771,
3.5322e-09,0.45,0.00507918,
3.5332e-09,0.45,0.00504212,
3.5342e-09,0.45,0.00500458,
3.5352e-09,0.45,0.00496733,
3.5362e-09,0.45,0.00492911,
3.5372e-09,0.45,0.0048906,
3.5382e-09,0.45,0.00485182,
3.5392e-09,0.45,0.00481349,
3.5402e-09,0.45,0.00477739,
3.5412e-09,0.45,0.00474022,
3.5422e-09,0.45,0.00470351,
3.5432e-09,0.45,0.00466543,
3.5442e-09,0.45,0.0046241,
3.5452e-09,0.45,0.0045906,
3.5462e-09,0.45,0.00455601,
3.5472e-09,0.45,0.0045223,
3.5482e-09,0.45,0.00448949,
3.5492e-09,0.45,0.00445438,
3.5502e-09,0.45,0.00441993,
3.5512e-09,0.45,0.0043855,
3.5522e-09,0.45,0.00435095,
3.5532e-09,0.45,0.00431758,
3.5542e-09,0.45,0.00428282,
3.5552e-09,0.45,0.00425039,
3.5562e-09,0.45,0.00421525,
