7:*******************************************,
Transient Analysis,
Mon Nov 14 19:53:23 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.5002e-09,0.45,-0.000612205,
3.5012e-09,0.45,-0.000608624,
3.5022e-09,0.45,-0.000604492,
3.5032e-09,0.45,-0.00060169,
3.5042e-09,0.45,-0.000598185,
3.5052e-09,0.45,-0.000595051,
3.5062e-09,0.45,-0.000591549,
3.5072e-09,0.45,-0.000588001,
3.5082e-09,0.45,-0.000583898,
3.5092e-09,0.45,-0.000580774,
3.5102e-09,0.45,-0.000577295,
3.5112e-09,0.45,-0.000573569,
3.5122e-09,0.45,-0.000569637,
3.5132e-09,0.45,-0.000565906,
3.5142e-09,0.45,-0.000562109,
3.5152e-09,0.45,-0.000559046,
3.5162e-09,0.45,-0.000555829,
3.5172e-09,0.45,-0.000552656,
3.5182e-09,0.45,-0.000548411,
3.5192e-09,0.45,-0.000544376,
3.5202e-09,0.45,-0.000539603,
3.5212e-09,0.45,-0.000536248,
3.5222e-09,0.45,-0.000531326,
3.5232e-09,0.45,-0.000525869,
3.5242e-09,0.45,-0.000519991,
3.5252e-09,0.45,-0.000513897,
3.5262e-09,0.45,-0.000509004,
3.5272e-09,0.45,-0.000502795,
3.5282e-09,0.45,-0.000497349,
3.5292e-09,0.45,-0.000491339,
3.5302e-09,0.45,-0.000486318,
3.5312e-09,0.45,-0.000480241,
3.5322e-09,0.45,-0.000474608,
3.5332e-09,0.45,-0.00046878,
3.5342e-09,0.45,-0.000463641,
3.5352e-09,0.45,-0.000457835,
3.5362e-09,0.45,-0.000452775,
3.5372e-09,0.45,-0.000446524,
3.5382e-09,0.45,-0.000441327,
3.5392e-09,0.45,-0.000435299,
3.5402e-09,0.45,-0.000429599,
3.5412e-09,0.45,-0.000423577,
3.5422e-09,0.45,-0.000417588,
3.5432e-09,0.45,-0.000411364,
3.5442e-09,0.45,-0.000404721,
3.5452e-09,0.45,-0.00039855,
3.5462e-09,0.45,-0.00039303,
3.5472e-09,0.45,-0.000387393,
3.5482e-09,0.45,-0.000381925,
3.5492e-09,0.45,-0.00037605,
3.5502e-09,0.45,-0.000369994,
3.5512e-09,0.45,-0.000363901,
3.5522e-09,0.45,-0.000357333,
3.5532e-09,0.45,-0.000351295,
3.5542e-09,0.45,-0.000345004,
3.5552e-09,0.45,-0.000338801,
3.5562e-09,0.45,-0.000332068,
3.5572e-09,0.45,-0.000326651,
3.5582e-09,0.45,-0.000320819,
3.5592e-09,0.45,-0.000315909,
3.5602e-09,0.45,-0.000311068,
3.5612e-09,0.45,-0.000305443,
3.5622e-09,0.45,-0.000299843,
3.5632e-09,0.45,-0.000294239,
3.5642e-09,0.45,-0.000287539,
3.5652e-09,0.45,-0.000281359,
3.5662e-09,0.45,-0.00027436,
3.5672e-09,0.45,-0.000268552,
3.5682e-09,0.45,-0.000263272,
3.5692e-09,0.45,-0.000257549,
3.5702e-09,0.45,-0.000251912,
3.5712e-09,0.45,-0.00024567,
3.5722e-09,0.45,-0.000239226,
3.5732e-09,0.45,-0.000233231,
3.5742e-09,0.45,-0.000227261,
3.5752e-09,0.45,-0.000221033,
3.5762e-09,0.45,-0.000215077,
3.5772e-09,0.45,-0.000209496,
3.5782e-09,0.45,-0.000203794,
3.5792e-09,0.45,-0.000198193,
3.5802e-09,0.45,-0.000192482,
3.5812e-09,0.45,-0.000185392,
3.5822e-09,0.45,-0.000177537,
3.5832e-09,0.45,-0.00017149,
3.5842e-09,0.45,-0.000164241,
3.5852e-09,0.45,-0.000158059,
3.5862e-09,0.45,-0.00015227,
3.5872e-09,0.45,-0.000145815,
3.5882e-09,0.45,-0.000139345,
3.5892e-09,0.45,-0.000133307,
3.5902e-09,0.45,-0.000127219,
3.5912e-09,0.45,-0.000120819,
3.5922e-09,0.45,-0.000114068,
3.5932e-09,0.45,-0.000107358,
3.5942e-09,0.45,-0.000100272,
3.5952e-09,0.45,-9.31292e-05,
3.5962e-09,0.45,-8.57921e-05,
3.5972e-09,0.45,-7.86789e-05,
3.5982e-09,0.45,-7.13197e-05,
3.5992e-09,0.45,-6.45936e-05,
3.6002e-09,0.45,-5.7622e-05,
3.6012e-09,0.45,-5.13359e-05,
3.6022e-09,0.45,-4.37698e-05,
3.6032e-09,0.45,-3.69867e-05,
3.6042e-09,0.45,-2.975e-05,
3.6052e-09,0.45,-2.30224e-05,
3.6062e-09,0.45,-1.59163e-05,
3.6072e-09,0.45,-9.34295e-06,
3.6082e-09,0.45,-2.32409e-06,
3.6092e-09,0.45,3.51883e-06,
3.6102e-09,0.45,1.04276e-05,
3.6112e-09,0.45,1.68063e-05,
3.6122e-09,0.45,2.36353e-05,
3.6132e-09,0.45,3.00514e-05,
3.6142e-09,0.45,3.72437e-05,
3.6152e-09,0.45,4.38032e-05,
3.6162e-09,0.45,5.07609e-05,
3.6172e-09,0.45,5.73966e-05,
3.6182e-09,0.45,6.40904e-05,
3.6192e-09,0.45,7.01665e-05,
3.6202e-09,0.45,7.69113e-05,
3.6212e-09,0.45,8.35669e-05,
3.6222e-09,0.45,9.06605e-05,
3.6232e-09,0.45,9.66946e-05,
3.6242e-09,0.45,0.000103296,
3.6252e-09,0.45,0.000110001,
3.6262e-09,0.45,0.000116666,
3.6272e-09,0.45,0.000122899,
3.6282e-09,0.45,0.00013014,
3.6292e-09,0.45,0.000136897,
3.6302e-09,0.45,0.000143944,
3.6312e-09,0.45,0.000150667,
3.6322e-09,0.45,0.000157388,
3.6332e-09,0.45,0.000163839,
3.6342e-09,0.45,0.000171046,
3.6352e-09,0.45,0.000177884,
