56:*******************************************,
Transient Analysis,
Thu Nov 10 11:55:46 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
0,1,-3.25973e-07,
1e-18,1,0.00150117,
2e-18,1,0.00109525,
4e-18,1,0.000283417,
8e-18,1,7.16083e-05,
1.6e-17,1,3.20125e-05,
3.2e-17,1,1.59947e-05,
6.4e-17,1,4.20496e-06,
1.28e-16,1,2.04564e-06,
2.56e-16,1,-2.76341e-06,
5.12e-16,1,-1.55667e-06,
1.024e-15,1,6.74458e-07,
2.048e-15,1,-1.37336e-06,
4.096e-15,1,-2.07148e-06,
8.192e-15,1,-1.30871e-06,
1.6384e-14,1,-8.28047e-07,
3.2768e-14,1,-2.85568e-07,
6.5536e-14,1,-2.97103e-07,
1.31072e-13,1,-3.40801e-07,
2.62144e-13,1,-2.36143e-07,
5.24288e-13,1,-1.69674e-07,
1.04858e-12,1,-4.35942e-07,
2.09715e-12,1,-1.8256e-07,
4.1943e-12,1,-5.49494e-07,
8.38861e-12,1,-1.07264e-07,
1.67772e-11,1,-5.43989e-07,
3.35544e-11,1,-1.07711e-07,
6.71089e-11,1,-5.43853e-07,
1.34218e-10,1,-1.08444e-07,
2.34218e-10,1,-5.43773e-07,
3.34218e-10,1,-1.08197e-07,
4.34218e-10,1,-5.4415e-07,
5.34218e-10,1,-1.08348e-07,
6.34218e-10,1,-5.43963e-07,
7.34218e-10,1,-1.08564e-07,
8.34218e-10,1,-5.44156e-07,
9.34218e-10,1,-1.08929e-07,
1.03422e-09,1,-5.44545e-07,
1.13422e-09,1,-1.08751e-07,
1.23422e-09,1,-5.44464e-07,
1.33422e-09,1,-1.08121e-07,
1.43422e-09,1,-5.43944e-07,
1.53422e-09,1,-1.07989e-07,
1.63422e-09,1,-5.43906e-07,
1.73422e-09,1,-1.0879e-07,
1.83422e-09,1,-5.44135e-07,
1.93422e-09,1,-1.09022e-07,
2.03422e-09,1,-5.44366e-07,
2.13422e-09,1,-1.09063e-07,
2.23422e-09,1,-5.44409e-07,
2.33422e-09,1,-1.09218e-07,
2.43422e-09,1,-5.44513e-07,
2.53422e-09,1,-1.094e-07,
2.63422e-09,1,-5.44658e-07,
2.73422e-09,1,-1.07549e-07,
2.83422e-09,1,-5.4448e-07,
2.93422e-09,1,-1.07707e-07,
3.03422e-09,1,-5.44329e-07,
3.13422e-09,1,-1.07806e-07,
3.23422e-09,1,-5.44215e-07,
3.33422e-09,1,-1.07771e-07,
3.43422e-09,1,-5.44111e-07,
3.53422e-09,1,-1.0785e-07,
3.63422e-09,1,-5.44114e-07,
3.73422e-09,1,-1.07948e-07,
3.83422e-09,1,-5.44111e-07,
3.93422e-09,1,-1.07992e-07,
4.03422e-09,1,-5.44089e-07,
4.13422e-09,1,-1.08014e-07,
4.23422e-09,1,-5.44089e-07,
4.33422e-09,1,-1.07999e-07,
4.43422e-09,1,-5.4405e-07,
4.53422e-09,1,-1.08009e-07,
4.63422e-09,1,-5.44017e-07,
4.73422e-09,1,-1.08027e-07,
4.83422e-09,1,-5.43972e-07,
4.93422e-09,1,-1.08066e-07,
5e-09,1,-5.43954e-07
