31:*******************************************,
Transient Analysis,
Mon Nov 14 20:28:07 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.00003e-08,0.45,-1.04737e-07,
1.00013e-08,0.45,9.10592e-08,
1.00023e-08,0.45,-1.05458e-07,
1.00033e-08,0.45,8.72904e-08,
1.00043e-08,0.45,-1.05657e-07,
1.00053e-08,0.45,9.24151e-08,
1.00063e-08,0.45,-1.05529e-07,
1.00073e-08,0.45,8.86564e-08,
1.00083e-08,0.45,-1.02424e-07,
1.00093e-08,0.45,9.3536e-08,
1.00103e-08,0.45,-1.04445e-07,
1.00113e-08,0.45,8.91675e-08,
1.00123e-08,0.45,-1.03252e-07,
1.00133e-08,0.45,9.15721e-08,
1.00143e-08,0.45,-1.05213e-07,
1.00153e-08,0.45,9.31256e-08,
1.00163e-08,0.45,-1.08385e-07,
1.00173e-08,0.45,9.36902e-08,
1.00183e-08,0.45,-1.08364e-07,
1.00193e-08,0.45,9.41087e-08,
1.00203e-08,0.45,-1.07835e-07,
1.00213e-08,0.45,9.2133e-08,
1.00223e-08,0.45,-1.10893e-07,
1.00233e-08,0.45,9.24117e-08,
1.00243e-08,0.45,-1.09904e-07,
1.00253e-08,0.45,9.23385e-08,
1.00263e-08,0.45,-1.11072e-07,
1.00273e-08,0.45,9.06466e-08,
1.00283e-08,0.45,-1.11104e-07,
1.00293e-08,0.45,8.97227e-08,
1.00303e-08,0.45,-1.11408e-07,
1.00313e-08,0.45,9.24065e-08,
1.00323e-08,0.45,-1.1177e-07,
1.00333e-08,0.45,9.45159e-08,
1.00343e-08,0.45,-1.10205e-07,
1.00353e-08,0.45,9.25781e-08,
1.00363e-08,0.45,-1.11323e-07,
1.00373e-08,0.45,9.43591e-08,
1.00383e-08,0.45,-1.10473e-07,
1.00393e-08,0.45,9.37454e-08,
1.00403e-08,0.45,-1.11416e-07,
1.00413e-08,0.45,9.55194e-08,
1.00423e-08,0.45,-1.0948e-07,
1.00433e-08,0.45,9.37908e-08,
1.00443e-08,0.45,-1.10986e-07,
1.00453e-08,0.45,9.61423e-08,
1.00463e-08,0.45,-1.09122e-07,
1.00473e-08,0.45,9.41917e-08,
1.00483e-08,0.45,-1.10073e-07,
1.00493e-08,0.45,9.41737e-08,
1.00503e-08,0.45,-1.07161e-07,
1.00513e-08,0.45,9.49531e-08,
1.00523e-08,0.45,-1.08484e-07,
1.00533e-08,0.45,9.65131e-08,
1.00543e-08,0.45,-1.07084e-07,
1.00553e-08,0.45,9.27788e-08,
1.00563e-08,0.45,-1.06335e-07,
1.00573e-08,0.45,9.31375e-08,
1.00583e-08,0.45,-1.05717e-07,
1.00593e-08,0.45,9.23333e-08,
1.00603e-08,0.45,-1.07245e-07,
1.00613e-08,0.45,9.35695e-08,
1.00623e-08,0.45,-1.0709e-07,
1.00633e-08,0.45,9.18788e-08,
1.00643e-08,0.45,-1.04663e-07,
1.00653e-08,0.45,9.26485e-08,
1.00663e-08,0.45,-1.05762e-07,
1.00673e-08,0.45,9.15141e-08,
1.00683e-08,0.45,-1.06522e-07,
1.00693e-08,0.45,9.10457e-08,
1.00703e-08,0.45,-1.06998e-07,
1.00713e-08,0.45,9.12685e-08,
1.00723e-08,0.45,-1.05789e-07,
1.00733e-08,0.45,8.90839e-08,
1.00743e-08,0.45,-1.06136e-07,
1.00753e-08,0.45,9.1447e-08,
1.00763e-08,0.45,-1.05611e-07,
1.00773e-08,0.45,8.88242e-08,
1.00783e-08,0.45,-1.06042e-07,
1.00793e-08,0.45,9.02976e-08,
1.00803e-08,0.45,-1.07361e-07,
1.00813e-08,0.45,9.22225e-08,
1.00823e-08,0.45,-1.0662e-07,
1.00833e-08,0.45,9.04817e-08,
1.00843e-08,0.45,-1.08312e-07,
1.00853e-08,0.45,9.22646e-08,
1.00863e-08,0.45,-1.06673e-07,
1.00873e-08,0.45,9.0135e-08,
1.00883e-08,0.45,-1.0896e-07,
1.00893e-08,0.45,9.20457e-08,
1.00903e-08,0.45,-1.06325e-07,
1.00913e-08,0.45,9.03505e-08,
1.00923e-08,0.45,-1.10412e-07,
1.00933e-08,0.45,8.86853e-08,
1.00943e-08,0.45,-1.06966e-07,
1.00953e-08,0.45,9.25251e-08,
1.00963e-08,0.45,-1.11022e-07,
1.00973e-08,0.45,9.03284e-08,
1.00983e-08,0.45,-1.0833e-07,
1.00993e-08,0.45,9.52038e-08,
1.01003e-08,0.45,-1.11742e-07,
1.01013e-08,0.45,9.08664e-08,
1.01023e-08,0.45,-1.0915e-07,
1.01033e-08,0.45,9.5199e-08,
1.01043e-08,0.45,-1.12395e-07,
1.01053e-08,0.45,9.41155e-08,
1.01063e-08,0.45,-1.10377e-07,
1.01073e-08,0.45,9.48568e-08,
1.01083e-08,0.45,-1.12616e-07,
1.01093e-08,0.45,9.42334e-08,
1.01103e-08,0.45,-1.12707e-07,
1.01113e-08,0.45,9.59958e-08,
1.01123e-08,0.45,-1.13209e-07,
1.01133e-08,0.45,9.53286e-08,
1.01143e-08,0.45,-1.14177e-07,
1.01153e-08,0.45,9.384e-08,
1.01163e-08,0.45,-1.14354e-07,
1.01173e-08,0.45,9.50392e-08,
1.01183e-08,0.45,-1.11114e-07,
1.01193e-08,0.45,8.9489e-08,
1.01203e-08,0.45,-1.13278e-07,
1.01213e-08,0.45,9.38311e-08,
1.01223e-08,0.45,-1.08682e-07,
1.01233e-08,0.45,9.08019e-08,
1.01243e-08,0.45,-1.10941e-07,
1.01253e-08,0.45,9.52607e-08,
1.01263e-08,0.45,-1.08608e-07,
1.01273e-08,0.45,9.46167e-08,
1.01283e-08,0.45,-1.0862e-07,
1.01293e-08,0.45,9.46849e-08,
1.01303e-08,0.45,-1.06859e-07,
1.01313e-08,0.45,9.56948e-08,
1.01323e-08,0.45,-1.04146e-07,
1.01333e-08,0.45,9.27316e-08,
1.01343e-08,0.45,-1.05791e-07,
1.01353e-08,0.45,9.30241e-08,
1.01363e-08,0.45,-1.07459e-07,
1.01373e-08,0.45,9.2777e-08,
1.01383e-08,0.45,-1.08723e-07,
1.01393e-08,0.45,9.25428e-08,
1.01403e-08,0.45,-1.13392e-07,
1.01413e-08,0.45,9.17019e-08,
