34:*******************************************,
Transient Analysis,
Mon Nov 14 20:38:27 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.00003e-08,0.45,-1.65185e-07,
1.00013e-08,0.45,8.92669e-08,
1.00023e-08,0.45,-1.63112e-07,
1.00033e-08,0.45,9.0976e-08,
1.00043e-08,0.45,-1.65135e-07,
1.00053e-08,0.45,8.92321e-08,
1.00063e-08,0.45,-1.63091e-07,
1.00073e-08,0.45,9.10759e-08,
1.00083e-08,0.45,-1.65024e-07,
1.00093e-08,0.45,8.89472e-08,
1.00103e-08,0.45,-1.63011e-07,
1.00113e-08,0.45,9.08328e-08,
1.00123e-08,0.45,-1.64943e-07,
1.00133e-08,0.45,8.88467e-08,
1.00143e-08,0.45,-1.62518e-07,
1.00153e-08,0.45,9.10437e-08,
1.00163e-08,0.45,-1.65123e-07,
1.00173e-08,0.45,8.86823e-08,
1.00183e-08,0.45,-1.63015e-07,
1.00193e-08,0.45,9.08592e-08,
1.00203e-08,0.45,-1.65196e-07,
1.00213e-08,0.45,8.84774e-08,
1.00223e-08,0.45,-1.63218e-07,
1.00233e-08,0.45,9.10114e-08,
1.00243e-08,0.45,-1.65449e-07,
1.00253e-08,0.45,8.89977e-08,
1.00263e-08,0.45,-1.63228e-07,
1.00273e-08,0.45,9.12934e-08,
1.00283e-08,0.45,-1.6536e-07,
1.00293e-08,0.45,8.93147e-08,
1.00303e-08,0.45,-1.63343e-07,
1.00313e-08,0.45,9.12641e-08,
1.00323e-08,0.45,-1.65509e-07,
1.00333e-08,0.45,8.94039e-08,
1.00343e-08,0.45,-1.63402e-07,
1.00353e-08,0.45,9.10427e-08,
1.00363e-08,0.45,-1.65735e-07,
1.00373e-08,0.45,8.8918e-08,
1.00383e-08,0.45,-1.63922e-07,
1.00393e-08,0.45,9.14565e-08,
1.00403e-08,0.45,-1.65927e-07,
1.00413e-08,0.45,9.03884e-08,
1.00423e-08,0.45,-1.63993e-07,
1.00433e-08,0.45,9.18612e-08,
1.00443e-08,0.45,-1.66183e-07,
1.00453e-08,0.45,9.01357e-08,
1.00463e-08,0.45,-1.64125e-07,
1.00473e-08,0.45,9.18403e-08,
1.00483e-08,0.45,-1.6605e-07,
1.00493e-08,0.45,9.04736e-08,
1.00503e-08,0.45,-1.64243e-07,
1.00513e-08,0.45,9.17439e-08,
1.00523e-08,0.45,-1.66042e-07,
1.00533e-08,0.45,9.13964e-08,
1.00543e-08,0.45,-1.64115e-07,
1.00553e-08,0.45,9.19488e-08,
1.00563e-08,0.45,-1.66273e-07,
1.00573e-08,0.45,9.13754e-08,
1.00583e-08,0.45,-1.63407e-07,
1.00593e-08,0.45,9.1851e-08,
1.00603e-08,0.45,-1.66258e-07,
1.00613e-08,0.45,9.16283e-08,
1.00623e-08,0.45,-1.63356e-07,
1.00633e-08,0.45,9.17579e-08,
1.00643e-08,0.45,-1.66237e-07,
1.00653e-08,0.45,9.13466e-08,
1.00663e-08,0.45,-1.64046e-07,
1.00673e-08,0.45,9.27978e-08,
1.00683e-08,0.45,-1.66257e-07,
1.00693e-08,0.45,9.10298e-08,
1.00703e-08,0.45,-1.64187e-07,
1.00713e-08,0.45,9.30328e-08,
1.00723e-08,0.45,-1.66465e-07,
1.00733e-08,0.45,9.15972e-08,
1.00743e-08,0.45,-1.64162e-07,
1.00753e-08,0.45,9.30272e-08,
1.00763e-08,0.45,-1.66047e-07,
1.00773e-08,0.45,9.14093e-08,
1.00783e-08,0.45,-1.66994e-07,
1.00793e-08,0.45,9.37981e-08,
1.00803e-08,0.45,-1.64948e-07,
1.00813e-08,0.45,9.10344e-08,
1.00823e-08,0.45,-1.66863e-07,
1.00833e-08,0.45,9.3665e-08,
1.00843e-08,0.45,-1.64363e-07,
1.00853e-08,0.45,9.08077e-08,
1.00863e-08,0.45,-1.66966e-07,
1.00873e-08,0.45,9.3632e-08,
1.00883e-08,0.45,-1.64016e-07,
1.00893e-08,0.45,9.20404e-08,
1.00903e-08,0.45,-1.6574e-07,
1.00913e-08,0.45,9.28172e-08,
1.00923e-08,0.45,-1.65849e-07,
1.00933e-08,0.45,8.90917e-08,
1.00943e-08,0.45,-1.69535e-07,
1.00953e-08,0.45,9.58035e-08,
1.00963e-08,0.45,-1.63111e-07,
1.00973e-08,0.45,8.92348e-08,
1.00983e-08,0.45,-1.6961e-07,
1.00993e-08,0.45,9.59034e-08,
1.01003e-08,0.45,-1.63192e-07,
1.01013e-08,0.45,9.00634e-08,
1.01023e-08,0.45,-1.69046e-07,
1.01033e-08,0.45,9.52244e-08,
1.01043e-08,0.45,-1.68021e-07,
1.01053e-08,0.45,9.40012e-08,
1.01063e-08,0.45,-1.69239e-07,
1.01073e-08,0.45,9.68096e-08,
1.01083e-08,0.45,-1.66896e-07,
1.01093e-08,0.45,9.25129e-08,
1.01103e-08,0.45,-1.70456e-07,
1.01113e-08,0.45,9.66778e-08,
1.01123e-08,0.45,-1.67067e-07,
1.01133e-08,0.45,9.55685e-08,
1.01143e-08,0.45,-1.68163e-07,
1.01153e-08,0.45,9.36444e-08,
1.01163e-08,0.45,-1.65421e-07,
1.01173e-08,0.45,9.215e-08,
1.01183e-08,0.45,-1.66563e-07,
1.01193e-08,0.45,9.46844e-08,
1.01203e-08,0.45,-1.64295e-07,
1.01213e-08,0.45,9.3417e-08,
1.01223e-08,0.45,-1.70069e-07,
1.01233e-08,0.45,9.25714e-08,
1.01243e-08,0.45,-1.6404e-07,
1.01253e-08,0.45,9.37629e-08,
1.01263e-08,0.45,-1.69451e-07,
1.01273e-08,0.45,9.1785e-08,
1.01283e-08,0.45,-1.68854e-07,
1.01293e-08,0.45,9.52405e-08,
1.01303e-08,0.45,-1.70125e-07,
1.01313e-08,0.45,9.56976e-08,
1.01323e-08,0.45,-1.68687e-07,
1.01333e-08,0.45,9.39095e-08,
1.01343e-08,0.45,-1.69821e-07,
1.01353e-08,0.45,9.58293e-08,
1.01363e-08,0.45,-1.68042e-07,
1.01373e-08,0.45,9.36969e-08,
1.01383e-08,0.45,-1.70423e-07,
1.01393e-08,0.45,9.57872e-08,
1.01403e-08,0.45,-1.68097e-07,
1.01413e-08,0.45,9.4182e-08,
1.01423e-08,0.45,-1.70361e-07,
1.01433e-08,0.45,9.55807e-08,
1.01443e-08,0.45,-1.66573e-07,
1.01453e-08,0.45,9.39363e-08,
1.01463e-08,0.45,-1.68441e-07,
1.01473e-08,0.45,9.47556e-08,
1.01483e-08,0.45,-1.64621e-07,
1.01493e-08,0.45,9.37984e-08,
1.01503e-08,0.45,-1.6686e-07,
1.01513e-08,0.45,9.50699e-08,
1.01523e-08,0.45,-1.63976e-07,
1.01533e-08,0.45,9.32613e-08,
1.01543e-08,0.45,-1.66601e-07,
1.01553e-08,0.45,9.49575e-08,
1.01563e-08,0.45,-1.64115e-07,
1.01573e-08,0.45,9.33673e-08,
1.01583e-08,0.45,-1.66609e-07,
1.01593e-08,0.45,9.45618e-08,
1.01603e-08,0.45,-1.64133e-07,
1.01613e-08,0.45,9.31342e-08,
1.01623e-08,0.45,-1.65904e-07,
1.01633e-08,0.45,9.48512e-08,
1.01643e-08,0.45,-1.63703e-07,
1.01653e-08,0.45,9.26685e-08,
1.01663e-08,0.45,-1.65571e-07,
1.01673e-08,0.45,9.41971e-08,
1.01683e-08,0.45,-1.63458e-07,
1.01693e-08,0.45,9.24905e-08,
1.01703e-08,0.45,-1.65055e-07,
1.01713e-08,0.45,9.4109e-08,
1.01723e-08,0.45,-1.63694e-07,
1.01733e-08,0.45,9.22373e-08,
1.01743e-08,0.45,-1.65125e-07,
1.01753e-08,0.45,9.39509e-08,
1.01763e-08,0.45,-1.63908e-07,
1.01773e-08,0.45,9.19869e-08,
1.01783e-08,0.45,-1.65406e-07,
1.01793e-08,0.45,9.36257e-08,
1.01803e-08,0.45,-1.63664e-07,
1.01813e-08,0.45,9.15259e-08,
1.01823e-08,0.45,-1.64631e-07,
1.01833e-08,0.45,9.23764e-08,
1.01843e-08,0.45,-1.63545e-07,
1.01853e-08,0.45,9.2114e-08,
1.01863e-08,0.45,-1.65777e-07,
1.01873e-08,0.45,9.35052e-08,
1.01883e-08,0.45,-1.64289e-07,
1.01893e-08,0.45,9.26529e-08,
1.01903e-08,0.45,-1.65194e-07,
1.01913e-08,0.45,9.42683e-08,
1.01923e-08,0.45,-1.63777e-07,
1.01933e-08,0.45,9.2103e-08,
1.01943e-08,0.45,-1.65134e-07,
1.01953e-08,0.45,9.0308e-08,
1.01963e-08,0.45,-1.62067e-07,
1.01973e-08,0.45,8.98845e-08,
1.01983e-08,0.45,-1.6212e-07,
1.01993e-08,0.45,9.02425e-08,
1.02003e-08,0.45,-1.61299e-07,
1.02013e-08,0.45,9.05855e-08,
1.02023e-08,0.45,-1.61179e-07,
1.02033e-08,0.45,9.095e-08,
1.02043e-08,0.45,-1.60917e-07,
1.02053e-08,0.45,9.12887e-08,
1.02063e-08,0.45,-1.60759e-07,
1.02073e-08,0.45,9.16164e-08,
1.02083e-08,0.45,-1.619e-07,
1.02093e-08,0.45,8.93488e-08,
1.02103e-08,0.45,-1.60322e-07,
1.02113e-08,0.45,9.01337e-08,
1.02123e-08,0.45,-1.59055e-07,
1.02133e-08,0.45,8.95486e-08,
1.02143e-08,0.45,-1.59421e-07,
1.02153e-08,0.45,8.98483e-08,
1.02163e-08,0.45,-1.58813e-07,
1.02173e-08,0.45,8.97362e-08,
1.02183e-08,0.45,-1.59174e-07,
1.02193e-08,0.45,8.99738e-08,
1.02203e-08,0.45,-1.58641e-07,
1.02213e-08,0.45,9.00303e-08,
1.02223e-08,0.45,-1.58927e-07,
1.02233e-08,0.45,9.00313e-08,
1.02243e-08,0.45,-1.58665e-07,
1.02253e-08,0.45,8.94874e-08,
1.02263e-08,0.45,-1.58954e-07,
1.02273e-08,0.45,8.98412e-08,
1.02283e-08,0.45,-1.59864e-07,
1.02293e-08,0.45,8.80679e-08,
1.02303e-08,0.45,-1.60675e-07,
1.02313e-08,0.45,8.79928e-08,
1.02323e-08,0.45,-1.60419e-07,
1.02333e-08,0.45,8.85285e-08,
1.02343e-08,0.45,-1.60511e-07,
1.02353e-08,0.45,8.91176e-08,
1.02363e-08,0.45,-1.60076e-07,
1.02373e-08,0.45,8.75878e-08,
1.02383e-08,0.45,-1.60909e-07,
1.02393e-08,0.45,8.75665e-08,
1.02403e-08,0.45,-1.61242e-07,
1.02413e-08,0.45,8.73593e-08,
1.02423e-08,0.45,-1.61684e-07,
1.02433e-08,0.45,8.63197e-08,
1.02443e-08,0.45,-1.61535e-07,
1.02453e-08,0.45,8.63448e-08,
1.02463e-08,0.45,-1.61855e-07,
1.02473e-08,0.45,8.60042e-08,
1.02483e-08,0.45,-1.63164e-07,
1.02493e-08,0.45,8.58209e-08,
1.02503e-08,0.45,-1.63361e-07,
1.02513e-08,0.45,8.57311e-08,
1.02523e-08,0.45,-1.62897e-07,
1.02533e-08,0.45,8.61727e-08,
1.02543e-08,0.45,-1.65642e-07,
1.02553e-08,0.45,8.33833e-08,
1.02563e-08,0.45,-1.644e-07,
1.02573e-08,0.45,8.62811e-08,
1.02583e-08,0.45,-1.67911e-07,
1.02593e-08,0.45,8.26646e-08,
1.02603e-08,0.45,-1.64967e-07,
1.02613e-08,0.45,8.58567e-08,
1.02623e-08,0.45,-1.59812e-07,
1.02633e-08,0.45,8.94813e-08,
1.02643e-08,0.45,-1.59424e-07,
1.02653e-08,0.45,8.79229e-08,
1.02663e-08,0.45,-1.57135e-07,
1.02673e-08,0.45,8.62081e-08,
1.02683e-08,0.45,-1.59886e-07,
1.02693e-08,0.45,8.80165e-08,
1.02703e-08,0.45,-1.57444e-07,
1.02713e-08,0.45,8.59114e-08,
1.02723e-08,0.45,-1.61766e-07,
1.02733e-08,0.45,8.81515e-08,
1.02743e-08,0.45,-1.6006e-07,
1.02753e-08,0.45,8.60452e-08,
1.02763e-08,0.45,-1.63531e-07,
1.02773e-08,0.45,8.98102e-08,
1.02783e-08,0.45,-1.60808e-07,
1.02793e-08,0.45,8.59691e-08,
1.02803e-08,0.45,-1.62833e-07,
1.02813e-08,0.45,9.03572e-08,
1.02823e-08,0.45,-1.60239e-07,
1.02833e-08,0.45,8.58456e-08,
1.02843e-08,0.45,-1.62849e-07,
1.02853e-08,0.45,8.98367e-08,
1.02863e-08,0.45,-1.60269e-07,
1.02873e-08,0.45,8.56076e-08,
1.02883e-08,0.45,-1.62924e-07,
1.02893e-08,0.45,8.95131e-08,
1.02903e-08,0.45,-1.60571e-07,
1.02913e-08,0.45,8.59518e-08,
1.02923e-08,0.45,-1.63481e-07,
1.02933e-08,0.45,9.00893e-08,
1.02943e-08,0.45,-1.60143e-07,
1.02953e-08,0.45,8.58903e-08,
1.02963e-08,0.45,-1.63716e-07,
1.02973e-08,0.45,8.98623e-08,
1.02983e-08,0.45,-1.60473e-07,
1.02993e-08,0.45,8.58718e-08,
1.03003e-08,0.45,-1.6385e-07,
1.03013e-08,0.45,8.88108e-08,
1.03023e-08,0.45,-1.60485e-07,
1.03033e-08,0.45,8.61053e-08,
1.03043e-08,0.45,-1.63774e-07,
1.03053e-08,0.45,8.88276e-08,
1.03063e-08,0.45,-1.61406e-07,
1.03073e-08,0.45,8.66063e-08,
1.03083e-08,0.45,-1.64357e-07,
1.03093e-08,0.45,8.93568e-08,
1.03103e-08,0.45,-1.60968e-07,
1.03113e-08,0.45,8.62266e-08,
1.03123e-08,0.45,-1.64387e-07,
1.03133e-08,0.45,8.79967e-08,
1.03143e-08,0.45,-1.60765e-07,
1.03153e-08,0.45,8.62384e-08,
1.03163e-08,0.45,-1.62008e-07,
1.03173e-08,0.45,8.73642e-08,
1.03183e-08,0.45,-1.60924e-07,
1.03193e-08,0.45,8.35043e-08,
1.03203e-08,0.45,-1.61094e-07,
1.03213e-08,0.45,8.82411e-08,
1.03223e-08,0.45,-1.60879e-07,
1.03233e-08,0.45,8.34171e-08,
1.03243e-08,0.45,-1.6194e-07,
1.03253e-08,0.45,8.69337e-08,
1.03263e-08,0.45,-1.60087e-07,
1.03273e-08,0.45,8.33433e-08,
1.03283e-08,0.45,-1.6204e-07,
1.03293e-08,0.45,8.6588e-08,
1.03303e-08,0.45,-1.59419e-07,
1.03313e-08,0.45,8.32083e-08,
1.03323e-08,0.45,-1.62912e-07,
1.03333e-08,0.45,8.51039e-08,
1.03343e-08,0.45,-1.61558e-07,
1.03353e-08,0.45,8.19388e-08,
1.03363e-08,0.45,-1.61078e-07,
1.03373e-08,0.45,8.59503e-08,
1.03383e-08,0.45,-1.57851e-07,
1.03393e-08,0.45,8.10638e-08,
1.03403e-08,0.45,-1.61883e-07,
1.03413e-08,0.45,8.50972e-08,
1.03423e-08,0.45,-1.6014e-07,
1.03433e-08,0.45,8.28779e-08,
1.03443e-08,0.45,-1.6142e-07,
1.03453e-08,0.45,8.52904e-08,
1.03463e-08,0.45,-1.59754e-07,
1.03473e-08,0.45,8.31264e-08,
1.03483e-08,0.45,-1.61187e-07,
1.03493e-08,0.45,8.5529e-08,
1.03503e-08,0.45,-1.59994e-07,
1.03513e-08,0.45,8.31192e-08,
1.03523e-08,0.45,-1.60979e-07,
1.03533e-08,0.45,8.56777e-08,
1.03543e-08,0.45,-1.59673e-07,
1.03553e-08,0.45,8.35229e-08,
1.03563e-08,0.45,-1.60702e-07,
1.03573e-08,0.45,8.56748e-08,
1.03583e-08,0.45,-1.59595e-07,
1.03593e-08,0.45,8.33633e-08,
1.03603e-08,0.45,-1.64482e-07,
1.03613e-08,0.45,8.2884e-08,
1.03623e-08,0.45,-1.57398e-07,
1.03633e-08,0.45,8.50762e-08,
1.03643e-08,0.45,-1.67179e-07,
1.03653e-08,0.45,8.78427e-08,
1.03663e-08,0.45,-1.64129e-07,
1.03673e-08,0.45,9.08262e-08,
1.03683e-08,0.45,-1.65639e-07,
1.03693e-08,0.45,9.46393e-08,
1.03703e-08,0.45,-1.60795e-07,
1.03713e-08,0.45,9.79474e-08,
1.03723e-08,0.45,-1.61176e-07,
1.03733e-08,0.45,9.81756e-08,
1.03743e-08,0.45,-1.58984e-07,
1.03753e-08,0.45,9.88561e-08,
1.03763e-08,0.45,-1.5764e-07,
1.03773e-08,0.45,9.79243e-08,
1.03783e-08,0.45,-1.56821e-07,
1.03793e-08,0.45,8.88947e-08,
1.03803e-08,0.45,-1.66924e-07,
1.03813e-08,0.45,9.0898e-08,
1.03823e-08,0.45,-1.65924e-07,
1.03833e-08,0.45,8.7198e-08,
1.03843e-08,0.45,-1.67143e-07,
1.03853e-08,0.45,8.48788e-08,
1.03863e-08,0.45,-1.54353e-07,
1.03873e-08,0.45,9.27866e-08,
1.03883e-08,0.45,-1.59421e-07,
1.03893e-08,0.45,8.92177e-08,
1.03903e-08,0.45,-1.57122e-07,
1.03913e-08,0.45,9.26377e-08,
1.03923e-08,0.45,-1.52935e-07,
1.03933e-08,0.45,8.23347e-08,
1.03943e-08,0.45,-1.57304e-07,
1.03953e-08,0.45,8.48098e-08,
1.03963e-08,0.45,-1.55884e-07,
1.03973e-08,0.45,8.06759e-08,
1.03983e-08,0.45,-1.57659e-07,
1.03993e-08,0.45,8.31861e-08,
1.04003e-08,0.45,-1.56548e-07,
1.04013e-08,0.45,7.81349e-08,
1.04023e-08,0.45,-1.60664e-07,
1.04033e-08,0.45,8.81735e-08,
1.04043e-08,0.45,-1.57109e-07,
1.04053e-08,0.45,8.70246e-08,
1.04063e-08,0.45,-1.56324e-07,
1.04073e-08,0.45,9.0502e-08,
1.04083e-08,0.45,-1.5434e-07,
1.04093e-08,0.45,8.89259e-08,
1.04103e-08,0.45,-1.54208e-07,
1.04113e-08,0.45,9.20724e-08,
1.04123e-08,0.45,-1.50858e-07,
1.04133e-08,0.45,8.73338e-08,
1.04143e-08,0.45,-1.55012e-07,
1.04153e-08,0.45,9.14381e-08,
1.04163e-08,0.45,-1.50836e-07,
1.04173e-08,0.45,8.67424e-08,
1.04183e-08,0.45,-1.5465e-07,
1.04193e-08,0.45,9.15706e-08,
1.04203e-08,0.45,-1.50159e-07,
1.04213e-08,0.45,8.65518e-08,
1.04223e-08,0.45,-1.54683e-07,
1.04233e-08,0.45,9.14952e-08,
1.04243e-08,0.45,-1.50083e-07,
1.04253e-08,0.45,8.6851e-08,
1.04263e-08,0.45,-1.54247e-07,
1.04273e-08,0.45,9.18782e-08,
1.04283e-08,0.45,-1.5004e-07,
1.04293e-08,0.45,8.71499e-08,
1.04303e-08,0.45,-1.54551e-07,
1.04313e-08,0.45,9.14448e-08,
1.04323e-08,0.45,-1.50097e-07,
1.04333e-08,0.45,8.68334e-08,
1.04343e-08,0.45,-1.54596e-07,
1.04353e-08,0.45,9.0982e-08,
1.04363e-08,0.45,-1.5019e-07,
1.04373e-08,0.45,8.75969e-08,
1.04383e-08,0.45,-1.54216e-07,
1.04393e-08,0.45,9.19905e-08,
1.04403e-08,0.45,-1.50206e-07,
1.04413e-08,0.45,8.76291e-08,
1.04423e-08,0.45,-1.60952e-07,
1.04433e-08,0.45,8.48577e-08,
1.04443e-08,0.45,-1.58143e-07,
1.04453e-08,0.45,7.96415e-08,
1.04463e-08,0.45,-1.61678e-07,
1.04473e-08,0.45,8.09493e-08,
1.04483e-08,0.45,-1.60346e-07,
1.04493e-08,0.45,7.94717e-08,
1.04503e-08,0.45,-1.62029e-07,
1.04513e-08,0.45,8.317e-08,
1.04523e-08,0.45,-1.61247e-07,
1.04533e-08,0.45,7.89728e-08,
1.04543e-08,0.45,-1.65715e-07,
1.04553e-08,0.45,8.27929e-08,
1.04563e-08,0.45,-1.61891e-07,
1.04573e-08,0.45,7.87505e-08,
1.04583e-08,0.45,-1.64155e-07,
1.04593e-08,0.45,8.34249e-08,
1.04603e-08,0.45,-1.59511e-07,
1.04613e-08,0.45,7.60363e-08,
1.04623e-08,0.45,-1.64551e-07,
1.04633e-08,0.45,8.01724e-08,
1.04643e-08,0.45,-1.57761e-07,
1.04653e-08,0.45,7.68088e-08,
1.04663e-08,0.45,-1.63182e-07,
1.04673e-08,0.45,8.12169e-08,
1.04683e-08,0.45,-1.58764e-07,
1.04693e-08,0.45,7.65198e-08,
1.04703e-08,0.45,-1.64165e-07,
1.04713e-08,0.45,8.08637e-08,
1.04723e-08,0.45,-1.59697e-07,
1.04733e-08,0.45,7.63264e-08,
1.04743e-08,0.45,-1.64255e-07,
1.04753e-08,0.45,8.05387e-08,
1.04763e-08,0.45,-1.6032e-07,
1.04773e-08,0.45,7.55698e-08,
1.04783e-08,0.45,-1.64589e-07,
1.04793e-08,0.45,7.94861e-08,
1.04803e-08,0.45,-1.55201e-07,
1.04813e-08,0.45,8.43495e-08,
1.04823e-08,0.45,-1.54621e-07,
1.04833e-08,0.45,8.74825e-08,
1.04843e-08,0.45,-1.51286e-07,
1.04853e-08,0.45,8.3811e-08,
1.04863e-08,0.45,-1.51344e-07,
1.04873e-08,0.45,8.7354e-08,
1.04883e-08,0.45,-1.48368e-07,
1.04893e-08,0.45,8.36526e-08,
1.04903e-08,0.45,-1.52101e-07,
1.04913e-08,0.45,8.72884e-08,
1.04923e-08,0.45,-1.48588e-07,
1.04933e-08,0.45,8.32992e-08,
1.04943e-08,0.45,-1.51713e-07,
1.04953e-08,0.45,8.7582e-08,
1.04963e-08,0.45,-1.48271e-07,
1.04973e-08,0.45,8.36264e-08,
1.04983e-08,0.45,-1.5192e-07,
1.04993e-08,0.45,8.79938e-08,
1.05003e-08,0.45,-1.48037e-07,
1.05013e-08,0.45,8.40303e-08,
1.05023e-08,0.45,-1.5169e-07,
1.05033e-08,0.45,8.80047e-08,
1.05043e-08,0.45,-1.4786e-07,
1.05053e-08,0.45,8.43965e-08,
1.05063e-08,0.45,-1.51249e-07,
1.05073e-08,0.45,8.8339e-08,
1.05083e-08,0.45,-1.47424e-07,
1.05093e-08,0.45,8.50258e-08,
1.05103e-08,0.45,-1.51512e-07,
1.05113e-08,0.45,8.77781e-08,
1.05123e-08,0.45,-1.47453e-07,
1.05133e-08,0.45,8.01804e-08,
1.05143e-08,0.45,-1.53472e-07,
1.05153e-08,0.45,8.49862e-08,
1.05163e-08,0.45,-1.48372e-07,
1.05173e-08,0.45,7.97833e-08,
1.05183e-08,0.45,-1.5271e-07,
1.05193e-08,0.45,8.36572e-08,
1.05203e-08,0.45,-1.47842e-07,
1.05213e-08,0.45,7.94846e-08,
1.05223e-08,0.45,-1.54902e-07,
1.05233e-08,0.45,8.51263e-08,
1.05243e-08,0.45,-1.49348e-07,
1.05253e-08,0.45,8.17704e-08,
1.05263e-08,0.45,-1.52865e-07,
1.05273e-08,0.45,8.56209e-08,
1.05283e-08,0.45,-1.48757e-07,
1.05293e-08,0.45,8.19562e-08,
1.05303e-08,0.45,-1.52425e-07,
1.05313e-08,0.45,8.57768e-08,
1.05323e-08,0.45,-1.48037e-07,
1.05333e-08,0.45,8.21556e-08,
1.05343e-08,0.45,-1.51339e-07,
1.05353e-08,0.45,8.62499e-08,
1.05363e-08,0.45,-1.53946e-07,
1.05373e-08,0.45,7.76326e-08,
1.05383e-08,0.45,-1.56689e-07,
1.05393e-08,0.45,8.29086e-08,
1.05403e-08,0.45,-1.55315e-07,
1.05413e-08,0.45,7.73914e-08,
1.05423e-08,0.45,-1.59133e-07,
1.05433e-08,0.45,8.03272e-08,
1.05443e-08,0.45,-1.55956e-07,
1.05453e-08,0.45,7.68006e-08,
1.05463e-08,0.45,-1.59908e-07,
1.05473e-08,0.45,7.86584e-08,
1.05483e-08,0.45,-1.57378e-07,
1.05493e-08,0.45,7.52482e-08,
1.05503e-08,0.45,-1.60327e-07,
1.05513e-08,0.45,7.6676e-08,
1.05523e-08,0.45,-1.5913e-07,
1.05533e-08,0.45,7.45221e-08,
1.05543e-08,0.45,-1.6199e-07,
1.05553e-08,0.45,7.57983e-08,
1.05563e-08,0.45,-1.60157e-07,
1.05573e-08,0.45,7.27052e-08,
1.05583e-08,0.45,-1.65059e-07,
1.05593e-08,0.45,7.04156e-08,
1.05603e-08,0.45,-1.58976e-07,
1.05613e-08,0.45,8.52312e-08,
1.05623e-08,0.45,-1.52765e-07,
1.05633e-08,0.45,7.7359e-08,
1.05643e-08,0.45,-1.5579e-07,
1.05653e-08,0.45,8.19819e-08,
1.05663e-08,0.45,-1.55182e-07,
1.05673e-08,0.45,8.54632e-08,
1.05683e-08,0.45,-1.57012e-07,
1.05693e-08,0.45,8.14855e-08,
1.05703e-08,0.45,-1.56399e-07,
1.05713e-08,0.45,8.53142e-08,
1.05723e-08,0.45,-1.46539e-07,
1.05733e-08,0.45,7.67609e-08,
1.05743e-08,0.45,-1.6328e-07,
1.05753e-08,0.45,8.44985e-08,
1.05763e-08,0.45,-1.53981e-07,
1.05773e-08,0.45,7.99873e-08,
1.05783e-08,0.45,-1.6053e-07,
1.05793e-08,0.45,7.49378e-08,
1.05803e-08,0.45,-1.50762e-07,
1.05813e-08,0.45,8.25067e-08,
1.05823e-08,0.45,-1.55341e-07,
1.05833e-08,0.45,7.47784e-08,
1.05843e-08,0.45,-1.52622e-07,
1.05853e-08,0.45,8.01907e-08,
1.05863e-08,0.45,-1.46737e-07,
1.05873e-08,0.45,7.44024e-08,
1.05883e-08,0.45,-1.53014e-07,
1.05893e-08,0.45,7.90922e-08,
1.05903e-08,0.45,-1.45668e-07,
1.05913e-08,0.45,8.20737e-08,
1.05923e-08,0.45,-1.565e-07,
1.05933e-08,0.45,7.46615e-08,
1.05943e-08,0.45,-1.50879e-07,
1.05953e-08,0.45,8.21173e-08,
1.05963e-08,0.45,-1.55225e-07,
1.05973e-08,0.45,7.52619e-08,
1.05983e-08,0.45,-1.49885e-07,
1.05993e-08,0.45,7.98612e-08,
1.06003e-08,0.45,-1.5306e-07,
1.06013e-08,0.45,7.56419e-08,
1.06023e-08,0.45,-1.48168e-07,
1.06033e-08,0.45,7.88318e-08,
1.06043e-08,0.45,-1.51163e-07,
1.06053e-08,0.45,7.69923e-08,
1.06063e-08,0.45,-1.47992e-07,
1.06073e-08,0.45,7.90799e-08,
1.06083e-08,0.45,-1.50172e-07,
1.06093e-08,0.45,7.80483e-08,
1.06103e-08,0.45,-1.47443e-07,
1.06113e-08,0.45,7.82679e-08,
1.06123e-08,0.45,-1.49191e-07,
1.06133e-08,0.45,7.77651e-08,
1.06143e-08,0.45,-1.47427e-07,
1.06153e-08,0.45,7.6901e-08,
1.06163e-08,0.45,-1.49882e-07,
1.06173e-08,0.45,7.75255e-08,
1.06183e-08,0.45,-1.47352e-07,
1.06193e-08,0.45,7.84155e-08,
1.06203e-08,0.45,-1.47612e-07,
1.06213e-08,0.45,7.65167e-08,
1.06223e-08,0.45,-1.47765e-07,
1.06233e-08,0.45,7.61566e-08,
1.06243e-08,0.45,-1.45868e-07,
