36:*******************************************,
Transient Analysis,
Mon Nov 14 20:40:53 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.00003e-08,0.45,4.39918e-08,
1.00013e-08,0.45,-1.14215e-07,
1.00023e-08,0.45,4.06745e-08,
1.00033e-08,0.45,-1.16337e-07,
1.00043e-08,0.45,4.72999e-08,
1.00053e-08,0.45,-1.15134e-07,
1.00063e-08,0.45,4.25939e-08,
1.00073e-08,0.45,-1.19599e-07,
1.00083e-08,0.45,4.73442e-08,
1.00093e-08,0.45,-1.14345e-07,
1.00103e-08,0.45,4.31065e-08,
1.00113e-08,0.45,-1.19508e-07,
1.00123e-08,0.45,4.78337e-08,
1.00133e-08,0.45,-1.13953e-07,
1.00143e-08,0.45,4.35824e-08,
1.00153e-08,0.45,-1.19146e-07,
1.00163e-08,0.45,4.82072e-08,
1.00173e-08,0.45,-1.12792e-07,
1.00183e-08,0.45,4.24077e-08,
1.00193e-08,0.45,-1.18953e-07,
1.00203e-08,0.45,4.64696e-08,
1.00213e-08,0.45,-1.1435e-07,
1.00223e-08,0.45,3.89336e-08,
1.00233e-08,0.45,-1.19376e-07,
1.00243e-08,0.45,4.5359e-08,
1.00253e-08,0.45,-1.15321e-07,
1.00263e-08,0.45,4.00069e-08,
1.00273e-08,0.45,-1.19468e-07,
1.00283e-08,0.45,4.52883e-08,
1.00293e-08,0.45,-1.13961e-07,
1.00303e-08,0.45,4.06547e-08,
1.00313e-08,0.45,-1.18529e-07,
1.00323e-08,0.45,4.5995e-08,
1.00333e-08,0.45,-1.14116e-07,
1.00343e-08,0.45,4.14198e-08,
1.00353e-08,0.45,-1.1997e-07,
1.00363e-08,0.45,4.7307e-08,
1.00373e-08,0.45,-1.18611e-07,
1.00383e-08,0.45,4.35247e-08,
1.00393e-08,0.45,-1.21314e-07,
1.00403e-08,0.45,5.03071e-08,
1.00413e-08,0.45,-1.1682e-07,
1.00423e-08,0.45,4.39286e-08,
1.00433e-08,0.45,-1.2104e-07,
1.00443e-08,0.45,4.92216e-08,
1.00453e-08,0.45,-1.19156e-07,
1.00463e-08,0.45,4.73188e-08,
1.00473e-08,0.45,-1.21641e-07,
1.00483e-08,0.45,5.03057e-08,
1.00493e-08,0.45,-1.16125e-07,
1.00503e-08,0.45,4.66147e-08,
1.00513e-08,0.45,-1.19618e-07,
1.00523e-08,0.45,4.97511e-08,
1.00533e-08,0.45,-1.15098e-07,
1.00543e-08,0.45,4.79585e-08,
1.00553e-08,0.45,-1.19908e-07,
1.00563e-08,0.45,5.14963e-08,
1.00573e-08,0.45,-1.16054e-07,
1.00583e-08,0.45,4.67323e-08,
1.00593e-08,0.45,-1.18477e-07,
1.00603e-08,0.45,5.07346e-08,
1.00613e-08,0.45,-1.14707e-07,
1.00623e-08,0.45,4.78322e-08,
1.00633e-08,0.45,-1.17547e-07,
1.00643e-08,0.45,5.12701e-08,
1.00653e-08,0.45,-1.1325e-07,
1.00663e-08,0.45,4.6234e-08,
1.00673e-08,0.45,-1.15262e-07,
1.00683e-08,0.45,5.2777e-08,
1.00693e-08,0.45,-1.14077e-07,
1.00703e-08,0.45,4.85265e-08,
1.00713e-08,0.45,-1.15666e-07,
1.00723e-08,0.45,5.29523e-08,
1.00733e-08,0.45,-1.12754e-07,
1.00743e-08,0.45,4.91097e-08,
1.00753e-08,0.45,-1.15546e-07,
1.00763e-08,0.45,5.38595e-08,
1.00773e-08,0.45,-1.12504e-07,
1.00783e-08,0.45,4.50019e-08,
1.00793e-08,0.45,-1.19164e-07,
1.00803e-08,0.45,4.58621e-08,
1.00813e-08,0.45,-1.15198e-07,
1.00823e-08,0.45,4.02615e-08,
1.00833e-08,0.45,-1.19854e-07,
1.00843e-08,0.45,4.02457e-08,
1.00853e-08,0.45,-1.10536e-07,
