35:*******************************************,
Transient Analysis,
Mon Nov 14 20:39:55 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],v(out) [V],
1.00003e-08,0.45,-3.5386e-08,
1.00013e-08,0.45,-3.16689e-08,
1.00023e-08,0.45,-3.31825e-08,
1.00033e-08,0.45,-2.98915e-08,
1.00043e-08,0.45,-3.22979e-08,
1.00053e-08,0.45,-7.27157e-09,
1.00063e-08,0.45,-1.0102e-09,
1.00073e-08,0.45,1.18768e-09,
1.00083e-08,0.45,1.04888e-10,
1.00093e-08,0.45,7.41632e-09,
1.00103e-08,0.45,6.95821e-09,
1.00113e-08,0.45,2.78679e-09,
1.00123e-08,0.45,7.91078e-10,
1.00133e-08,0.45,2.0936e-09,
1.00143e-08,0.45,2.1721e-09,
1.00153e-08,0.45,3.51659e-09,
1.00163e-08,0.45,1.72321e-09,
1.00173e-08,0.45,5.31641e-09,
1.00183e-08,0.45,2.90086e-09,
1.00193e-08,0.45,7.06144e-09,
1.00203e-08,0.45,4.07823e-09,
1.00213e-08,0.45,5.7052e-09,
1.00223e-08,0.45,1.37501e-10,
1.00233e-08,0.45,3.93736e-09,
1.00243e-08,0.45,2.25052e-10,
1.00253e-08,0.45,4.04926e-09,
1.00263e-08,0.45,2.15856e-09,
1.00273e-08,0.45,6.48165e-09,
1.00283e-08,0.45,3.44521e-09,
1.00293e-08,0.45,4.26133e-09,
1.00303e-08,0.45,1.65177e-09,
1.00313e-08,0.45,2.23305e-09,
1.00323e-08,0.45,-3.404e-09,
1.00333e-08,0.45,-2.62008e-09,
1.00343e-08,0.45,-1.2285e-10,
1.00353e-08,0.45,2.52664e-09,
1.00363e-08,0.45,1.16082e-09,
1.00373e-08,0.45,3.75151e-09,
1.00383e-08,0.45,1.9908e-09,
1.00393e-08,0.45,2.4294e-09,
1.00403e-08,0.45,2.01653e-10,
1.00413e-08,0.45,-8.27758e-11,
1.00423e-08,0.45,-2.69931e-09,
1.00433e-08,0.45,-1.83588e-09,
1.00443e-08,0.45,-4.19281e-09,
1.00453e-08,0.45,-3.56722e-09,
1.00463e-08,0.45,6.9971e-09,
1.00473e-08,0.45,6.07541e-09,
1.00483e-08,0.45,3.11392e-09,
1.00493e-08,0.45,2.98567e-09,
1.00503e-08,0.45,-8.19326e-10,
1.00513e-08,0.45,1.35892e-09,
1.00523e-08,0.45,-1.90273e-09,
1.00533e-08,0.45,-1.31996e-09,
1.00543e-08,0.45,-3.3327e-09,
1.00553e-08,0.45,-1.1405e-09,
1.00563e-08,0.45,-3.76198e-09,
1.00573e-08,0.45,-1.92685e-09,
1.00583e-08,0.45,-7.60968e-10,
1.00593e-08,0.45,4.88149e-09,
1.00603e-08,0.45,5.83448e-09,
1.00613e-08,0.45,5.04395e-09,
1.00623e-08,0.45,3.65711e-09,
1.00633e-08,0.45,7.84362e-10,
1.00643e-08,0.45,-3.15942e-09,
1.00653e-08,0.45,2.75025e-09,
1.00663e-08,0.45,1.34706e-09,
1.00673e-08,0.45,6.75702e-09,
1.00683e-08,0.45,4.74803e-09,
1.00693e-08,0.45,4.44416e-09,
1.00703e-08,0.45,1.10338e-09,
1.00713e-08,0.45,8.6645e-10,
1.00723e-08,0.45,-4.70319e-10,
1.00733e-08,0.45,1.69927e-09,
1.00743e-08,0.45,1.58174e-10,
1.00753e-08,0.45,1.56384e-09,
1.00763e-08,0.45,2.54455e-09,
1.00773e-08,0.45,3.64088e-09,
1.00783e-08,0.45,3.02561e-09,
1.00793e-08,0.45,5.42622e-09,
1.00803e-08,0.45,3.43846e-09,
1.00813e-08,0.45,4.61868e-09,
1.00823e-08,0.45,2.7118e-09,
1.00833e-08,0.45,7.42495e-09,
1.00843e-08,0.45,5.36552e-09,
1.00853e-08,0.45,1.02825e-08,
1.00863e-08,0.45,7.67553e-09,
1.00873e-08,0.45,3.94392e-09,
1.00883e-08,0.45,7.76309e-10,
1.00893e-08,0.45,8.25044e-11,
1.00903e-08,0.45,7.49597e-10,
1.00913e-08,0.45,1.0739e-08,
1.00923e-08,0.45,1.17895e-08,
1.00933e-08,0.45,8.94546e-09,
1.00943e-08,0.45,6.7505e-09,
1.00953e-08,0.45,5.70063e-09,
1.00963e-08,0.45,1.6184e-10,
1.00973e-08,0.45,-2.5576e-09,
1.00983e-08,0.45,-4.92745e-09,
1.00993e-08,0.45,-4.32791e-09,
1.01003e-08,0.45,-8.69129e-09,
1.01013e-08,0.45,-1.04396e-08,
1.01023e-08,0.45,-1.3034e-08,
1.01033e-08,0.45,-1.21752e-08,
1.01043e-08,0.45,-3.43138e-09,
1.01053e-08,0.45,5.45486e-09,
1.01063e-08,0.45,1.36009e-08,
1.01073e-08,0.45,2.03213e-08,
1.01083e-08,0.45,2.23449e-08,
1.01093e-08,0.45,2.82429e-08,
1.01103e-08,0.45,1.19692e-08,
1.01113e-08,0.45,6.5109e-09,
1.01123e-08,0.45,-4.07702e-09,
1.01133e-08,0.45,3.63607e-09,
1.01143e-08,0.45,1.78113e-09,
1.01153e-08,0.45,6.46388e-09,
1.01163e-08,0.45,1.75274e-09,
1.01173e-08,0.45,4.85332e-09,
1.01183e-08,0.45,-2.26227e-11,
1.01193e-08,0.45,3.07334e-09,
1.01203e-08,0.45,4.46643e-09,
1.01213e-08,0.45,7.53314e-09,
1.01223e-08,0.45,9.163e-09,
1.01233e-08,0.45,7.24582e-09,
1.01243e-08,0.45,1.95425e-10,
1.01253e-08,0.45,-2.42861e-09,
1.01263e-08,0.45,-1.11837e-08,
1.01273e-08,0.45,-1.89558e-08,
1.01283e-08,0.45,-2.8e-08,
1.01293e-08,0.45,-3.73163e-08,
1.01303e-08,0.45,-4.70572e-08,
1.01313e-08,0.45,-1.55738e-08,
1.01323e-08,0.45,-4.8546e-09,
1.01333e-08,0.45,3.51257e-09,
1.01343e-08,0.45,3.13223e-09,
1.01353e-08,0.45,1.10591e-08,
1.01363e-08,0.45,1.02671e-08,
1.01373e-08,0.45,1.24985e-08,
1.01383e-08,0.45,6.50904e-09,
1.01393e-08,0.45,7.87618e-09,
1.01403e-08,0.45,-1.57607e-09,
1.01413e-08,0.45,-5.39426e-10,
1.01423e-08,0.45,-1.06198e-08,
1.01433e-08,0.45,-9.35946e-09,
1.01443e-08,0.45,-1.9774e-08,
1.01453e-08,0.45,-1.90385e-08,
1.01463e-08,0.45,-5.50696e-09,
1.01473e-08,0.45,8.59834e-10,
1.01483e-08,0.45,2.51072e-09,
1.01493e-08,0.45,9.75272e-09,
1.01503e-08,0.45,1.08752e-08,
1.01513e-08,0.45,1.78805e-08,
1.01523e-08,0.45,1.90032e-08,
1.01533e-08,0.45,2.60025e-08,
1.01543e-08,0.45,2.72093e-08,
1.01553e-08,0.45,3.45624e-08,
1.01563e-08,0.45,3.54547e-08,
1.01573e-08,0.45,4.22272e-08,
1.01583e-08,0.45,4.22766e-08,
1.01593e-08,0.45,4.91654e-08,
1.01603e-08,0.45,4.97318e-08,
