26:*******************************************,
Transient Analysis,
Mon Nov 14 20:23:51 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.00003e-08,0.45,-1.22636e-08,
1.00013e-08,0.45,4.8948e-09,
1.00023e-08,0.45,-7.37292e-09,
1.00033e-08,0.45,9.5288e-10,
1.00043e-08,0.45,-1.41997e-08,
1.00053e-08,0.45,5.48806e-10,
1.00063e-08,0.45,-1.11492e-08,
1.00073e-08,0.45,-3.14817e-10,
1.00083e-08,0.45,-1.43339e-08,
1.00093e-08,0.45,6.76428e-09,
1.00103e-08,0.45,-6.00946e-09,
1.00113e-08,0.45,4.78889e-09,
1.00123e-08,0.45,-1.01692e-08,
1.00133e-08,0.45,6.08844e-09,
1.00143e-08,0.45,-7.09993e-09,
1.00153e-08,0.45,3.2598e-09,
1.00163e-08,0.45,-1.09192e-08,
1.00173e-08,0.45,3.8777e-09,
1.00183e-08,0.45,-8.41989e-09,
1.00193e-08,0.45,1.35582e-09,
1.00203e-08,0.45,-6.38965e-09,
1.00213e-08,0.45,5.09801e-09,
1.00223e-08,0.45,-2.45053e-09,
1.00233e-08,0.45,4.35768e-09,
1.00243e-08,0.45,-5.50947e-09,
1.00253e-08,0.45,5.63748e-09,
1.00263e-08,0.45,-1.92455e-09,
1.00273e-08,0.45,4.64616e-09,
1.00283e-08,0.45,-5.3455e-09,
1.00293e-08,0.45,5.98776e-09,
1.00303e-08,0.45,-5.00385e-09,
1.00313e-08,0.45,1.02873e-09,
1.00323e-08,0.45,-5.06502e-09,
1.00333e-08,0.45,4.96762e-09,
1.00343e-08,0.45,-3.7199e-09,
1.00353e-08,0.45,1.06817e-09,
1.00363e-08,0.45,-4.52304e-09,
1.00373e-08,0.45,5.05786e-09,
1.00383e-08,0.45,-2.776e-09,
1.00393e-08,0.45,2.21111e-09,
1.00403e-08,0.45,-4.37236e-09,
1.00413e-08,0.45,5.03288e-09,
1.00423e-08,0.45,-2.21993e-09,
1.00433e-08,0.45,2.8772e-09,
1.00443e-08,0.45,-4.05377e-09,
1.00453e-08,0.45,5.09151e-09,
1.00463e-08,0.45,-1.71296e-09,
1.00473e-08,0.45,3.33134e-09,
1.00483e-08,0.45,-3.83947e-09,
1.00493e-08,0.45,5.51778e-09,
1.00503e-08,0.45,-1.06579e-09,
1.00513e-08,0.45,4.08555e-09,
1.00523e-08,0.45,-4.0779e-09,
1.00533e-08,0.45,5.8268e-09,
1.00543e-08,0.45,-4.47914e-09,
1.00553e-08,0.45,1.17554e-09,
1.00563e-08,0.45,-5.89584e-09,
1.00573e-08,0.45,1.89929e-09,
1.00583e-08,0.45,-5.55314e-09,
1.00593e-08,0.45,7.15888e-10,
1.00603e-08,0.45,-6.46074e-09,
1.00613e-08,0.45,1.67725e-09,
1.00623e-08,0.45,-5.44125e-09,
1.00633e-08,0.45,3.63882e-10,
1.00643e-08,0.45,-6.3579e-09,
1.00653e-08,0.45,1.36642e-09,
1.00663e-08,0.45,-5.32084e-09,
1.00673e-08,0.45,2.85769e-09,
1.00683e-08,0.45,-5.57586e-09,
1.00693e-08,0.45,4.29537e-09,
1.00703e-08,0.45,-4.14165e-09,
1.00713e-08,0.45,2.74235e-09,
1.00723e-08,0.45,-5.22508e-09,
1.00733e-08,0.45,4.05486e-09,
1.00743e-08,0.45,-3.0986e-09,
1.00753e-08,0.45,2.47285e-09,
1.00763e-08,0.45,-3.84228e-09,
1.00773e-08,0.45,8.15267e-09,
1.00783e-08,0.45,2.67691e-09,
1.00793e-08,0.45,4.80109e-09,
1.00803e-08,0.45,-6.2997e-09,
1.00813e-08,0.45,6.77474e-09,
1.00823e-08,0.45,-7.75475e-09,
1.00833e-08,0.45,3.27908e-09,
1.00843e-08,0.45,-7.47748e-09,
1.00853e-08,0.45,7.60804e-09,
1.00863e-08,0.45,-7.59902e-09,
1.00873e-08,0.45,4.16773e-09,
1.00883e-08,0.45,-7.27325e-09,
1.00893e-08,0.45,3.80193e-09,
1.00903e-08,0.45,-5.86651e-09,
1.00913e-08,0.45,7.6572e-09,
1.00923e-08,0.45,-9.24431e-09,
1.00933e-08,0.45,4.52972e-09,
1.00943e-08,0.45,-4.56912e-09,
1.00953e-08,0.45,8.31241e-09,
1.00963e-08,0.45,-8.30382e-09,
1.00973e-08,0.45,5.15239e-09,
1.00983e-08,0.45,-5.07064e-09,
1.00993e-08,0.45,8.12863e-09,
1.01003e-08,0.45,-7.74603e-09,
1.01013e-08,0.45,1.94038e-09,
1.01023e-08,0.45,-4.07683e-09,
1.01033e-08,0.45,6.33456e-09,
1.01043e-08,0.45,-7.16427e-09,
1.01053e-08,0.45,2.18442e-09,
1.01063e-08,0.45,-3.69621e-09,
1.01073e-08,0.45,6.70246e-09,
1.01083e-08,0.45,-6.84417e-09,
1.01093e-08,0.45,3.10305e-09,
1.01103e-08,0.45,-5.23045e-09,
1.01113e-08,0.45,5.15834e-09,
1.01123e-08,0.45,-7.11059e-09,
1.01133e-08,0.45,2.9305e-09,
1.01143e-08,0.45,-5.19776e-09,
1.01153e-08,0.45,5.48799e-09,
1.01163e-08,0.45,-7.48108e-09,
1.01173e-08,0.45,2.74988e-09,
1.01183e-08,0.45,-4.82693e-09,
1.01193e-08,0.45,5.80136e-09,
1.01203e-08,0.45,-7.44214e-09,
1.01213e-08,0.45,2.78567e-09,
1.01223e-08,0.45,-4.20477e-09,
1.01233e-08,0.45,6.16184e-09,
1.01243e-08,0.45,-7.10528e-09,
1.01253e-08,0.45,2.74123e-09,
1.01263e-08,0.45,-4.43314e-09,
1.01273e-08,0.45,5.75986e-09,
1.01283e-08,0.45,-4.50926e-09,
1.01293e-08,0.45,1.85768e-09,
1.01303e-08,0.45,-3.44583e-09,
1.01313e-08,0.45,2.87791e-09,
1.01323e-08,0.45,-4.61553e-09,
1.01333e-08,0.45,-4.4222e-10,
1.01343e-08,0.45,-1.89713e-09,
1.01353e-08,0.45,2.85923e-09,
1.01363e-08,0.45,-4.74407e-09,
1.01373e-08,0.45,-2.37441e-10,
1.01383e-08,0.45,-3.03032e-09,
1.01393e-08,0.45,2.6223e-09,
1.01403e-08,0.45,-4.42977e-09,
1.01413e-08,0.45,1.12084e-10,
1.01423e-08,0.45,-2.5933e-09,
1.01433e-08,0.45,2.86093e-09,
1.01443e-08,0.45,-4.31907e-09,
1.01453e-08,0.45,9.58229e-11,
1.01463e-08,0.45,-2.62743e-09,
1.01473e-08,0.45,2.93516e-09,
1.01483e-08,0.45,-4.04339e-09,
1.01493e-08,0.45,5.77697e-11,
1.01503e-08,0.45,-2.49895e-09,
1.01513e-08,0.45,3.16069e-09,
1.01523e-08,0.45,-3.91074e-09,
1.01533e-08,0.45,4.75833e-10,
1.01543e-08,0.45,-2.44496e-09,
1.01553e-08,0.45,3.94484e-09,
1.01563e-08,0.45,-3.84685e-09,
1.01573e-08,0.45,1.50465e-09,
1.01583e-08,0.45,-2.62156e-09,
1.01593e-08,0.45,4.16418e-09,
1.01603e-08,0.45,-3.97423e-09,
1.01613e-08,0.45,1.68305e-09,
1.01623e-08,0.45,-2.73632e-09,
1.01633e-08,0.45,3.64352e-09,
1.01643e-08,0.45,-4.05182e-09,
1.01653e-08,0.45,1.47701e-09,
1.01663e-08,0.45,-2.72237e-09,
1.01673e-08,0.45,3.54872e-09,
1.01683e-08,0.45,-4.01586e-09,
1.01693e-08,0.45,1.75662e-09,
1.01703e-08,0.45,-1.84279e-09,
1.01713e-08,0.45,3.53462e-09,
1.01723e-08,0.45,-3.43952e-09,
1.01733e-08,0.45,2.65324e-09,
1.01743e-08,0.45,-1.31854e-09,
1.01753e-08,0.45,3.43908e-09,
1.01763e-08,0.45,-3.4553e-09,
1.01773e-08,0.45,2.83952e-09,
1.01783e-08,0.45,-1.61689e-09,
1.01793e-08,0.45,3.76344e-09,
1.01803e-08,0.45,-3.50844e-09,
1.01813e-08,0.45,2.73122e-09,
1.01823e-08,0.45,-1.54096e-09,
1.01833e-08,0.45,3.96561e-09,
1.01843e-08,0.45,-4.15364e-09,
1.01853e-08,0.45,3.41976e-09,
1.01863e-08,0.45,-1.79291e-09,
1.01873e-08,0.45,4.24805e-09,
1.01883e-08,0.45,-3.7349e-09,
1.01893e-08,0.45,3.66874e-09,
1.01903e-08,0.45,-1.56274e-09,
1.01913e-08,0.45,4.18998e-09,
1.01923e-08,0.45,-3.83156e-09,
1.01933e-08,0.45,3.46198e-09,
1.01943e-08,0.45,-1.49175e-09,
1.01953e-08,0.45,5.1795e-09,
1.01963e-08,0.45,-3.66626e-09,
1.01973e-08,0.45,4.68233e-09,
1.01983e-08,0.45,-2.71783e-09,
1.01993e-08,0.45,6.49573e-09,
1.02003e-08,0.45,-4.14883e-09,
1.02013e-08,0.45,5.04692e-09,
1.02023e-08,0.45,-2.99403e-09,
1.02033e-08,0.45,7.10235e-09,
1.02043e-08,0.45,-3.77564e-09,
1.02053e-08,0.45,4.80355e-09,
1.02063e-08,0.45,-2.91689e-09,
1.02073e-08,0.45,6.79329e-09,
1.02083e-08,0.45,-3.79996e-09,
1.02093e-08,0.45,4.83032e-09,
1.02103e-08,0.45,-2.69577e-09,
1.02113e-08,0.45,6.5854e-09,
1.02123e-08,0.45,-3.66284e-09,
1.02133e-08,0.45,4.74899e-09,
1.02143e-08,0.45,-2.89547e-09,
1.02153e-08,0.45,6.15405e-09,
1.02163e-08,0.45,-4.35147e-09,
1.02173e-08,0.45,4.91484e-09,
1.02183e-08,0.45,-2.90575e-09,
1.02193e-08,0.45,7.11434e-09,
