5:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:13:32 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0,1.51344e-09,
0.001,1.5633e-09,
0.002,1.61635e-09,
0.003,1.67036e-09,
0.004,1.72614e-09,
0.005,1.78374e-09,
0.006,1.84323e-09,
0.007,1.90467e-09,
0.008,1.96811e-09,
0.009,2.03362e-09,
0.01,2.10128e-09,
0.011,2.17113e-09,
0.012,2.24326e-09,
0.013,2.31773e-09,
0.014,2.39463e-09,
0.015,2.47401e-09,
0.016,2.55598e-09,
0.017,2.64059e-09,
0.018,2.72795e-09,
0.019,2.81812e-09,
0.02,2.91122e-09,
0.021,3.00731e-09,
0.022,3.1065e-09,
0.023,3.20887e-09,
0.024,3.31455e-09,
0.025,3.42361e-09,
0.026,3.53618e-09,
0.027,3.65234e-09,
0.028,3.77224e-09,
0.029,3.89595e-09,
0.03,4.02362e-09,
0.031,4.15536e-09,
0.032,4.2913e-09,
0.033,4.43155e-09,
0.034,4.57628e-09,
0.035,4.72558e-09,
0.036,4.87962e-09,
0.037,5.03853e-09,
0.038,5.20248e-09,
0.039,5.37159e-09,
0.04,5.54604e-09,
0.041,5.72597e-09,
0.042,5.91157e-09,
0.043,6.10299e-09,
0.044,6.30043e-09,
0.045,6.50403e-09,
0.046,6.71401e-09,
0.047,6.93054e-09,
0.048,7.15383e-09,
0.049,7.38406e-09,
0.05,7.62147e-09,
0.051,7.86622e-09,
0.052,8.11859e-09,
0.053,8.37875e-09,
0.054,8.64696e-09,
0.055,8.92344e-09,
0.056,9.20846e-09,
0.057,9.50222e-09,
0.058,9.80503e-09,
0.059,1.01171e-08,
0.06,1.04388e-08,
0.061,1.07702e-08,
0.062,1.11118e-08,
0.063,1.14638e-08,
0.064,1.18266e-08,
0.065,1.22003e-08,
0.066,1.25854e-08,
0.067,1.29821e-08,
0.068,1.33908e-08,
0.069,1.38118e-08,
0.07,1.42456e-08,
0.071,1.46923e-08,
0.072,1.51525e-08,
0.073,1.56265e-08,
0.074,1.61147e-08,
0.075,1.66174e-08,
0.076,1.71351e-08,
0.077,1.76682e-08,
0.078,1.82172e-08,
0.079,1.87824e-08,
0.08,1.93643e-08,
0.081,1.99635e-08,
0.082,2.05803e-08,
0.083,2.12152e-08,
0.084,2.18689e-08,
0.085,2.25416e-08,
0.086,2.32341e-08,
0.087,2.39467e-08,
0.088,2.46802e-08,
0.089,2.5435e-08,
0.09,2.62117e-08,
0.091,2.70109e-08,
0.092,2.78333e-08,
0.093,2.86794e-08,
0.094,2.95499e-08,
0.095,3.04453e-08,
0.096,3.13666e-08,
0.097,3.23141e-08,
0.098,3.32888e-08,
0.099,3.42912e-08,
0.1,3.53222e-08,
0.101,3.63825e-08,
0.102,3.74728e-08,
0.103,3.8594e-08,
0.104,3.97468e-08,
0.105,4.09321e-08,
0.106,4.21507e-08,
0.107,4.34034e-08,
0.108,4.46913e-08,
0.109,4.6015e-08,
0.11,4.73758e-08,
0.111,4.87742e-08,
0.112,5.02116e-08,
0.113,5.16886e-08,
0.114,5.32065e-08,
0.115,5.47661e-08,
0.116,5.63687e-08,
0.117,5.80152e-08,
0.118,5.97068e-08,
0.119,6.14444e-08,
0.12,6.32295e-08,
0.121,6.50629e-08,
0.122,6.69462e-08,
0.123,6.88801e-08,
0.124,7.08664e-08,
0.125,7.29059e-08,
0.126,7.50003e-08,
0.127,7.71506e-08,
0.128,7.93584e-08,
0.129,8.16247e-08,
0.13,8.39514e-08,
0.131,8.63394e-08,
0.132,8.87907e-08,
0.133,9.13062e-08,
0.134,9.38879e-08,
0.135,9.6537e-08,
0.136,9.92553e-08,
0.137,1.02044e-07,
0.138,1.04905e-07,
0.139,1.0784e-07,
0.14,1.10851e-07,
0.141,1.13939e-07,
0.142,1.17106e-07,
0.143,1.20354e-07,
0.144,1.23684e-07,
0.145,1.27098e-07,
0.146,1.30599e-07,
0.147,1.34187e-07,
0.148,1.37866e-07,
0.149,1.41636e-07,
0.15,1.45499e-07,
0.151,1.49458e-07,
0.152,1.53515e-07,
0.153,1.57671e-07,
0.154,1.61928e-07,
0.155,1.66289e-07,
0.156,1.70755e-07,
0.157,1.75328e-07,
0.158,1.80011e-07,
0.159,1.84805e-07,
0.16,1.89712e-07,
0.161,1.94735e-07,
0.162,1.99876e-07,
0.163,2.05135e-07,
0.164,2.10517e-07,
0.165,2.16022e-07,
0.166,2.21652e-07,
0.167,2.2741e-07,
0.168,2.33297e-07,
0.169,2.39316e-07,
0.17,2.45467e-07,
0.171,2.51753e-07,
0.172,2.58177e-07,
0.173,2.64738e-07,
0.174,2.71439e-07,
0.175,2.78281e-07,
0.176,2.85267e-07,
0.177,2.92396e-07,
0.178,2.99671e-07,
0.179,3.07091e-07,
0.18,3.1466e-07,
0.181,3.22375e-07,
0.182,3.3024e-07,
0.183,3.38252e-07,
0.184,3.46413e-07,
0.185,3.54722e-07,
0.186,3.63178e-07,
0.187,3.7178e-07,
0.188,3.80527e-07,
0.189,3.89415e-07,
0.19,3.98443e-07,
0.191,4.07606e-07,
0.192,4.16901e-07,
0.193,4.2632e-07,
0.194,4.35859e-07,
0.195,4.45507e-07,
0.196,4.55254e-07,
0.197,4.65088e-07,
0.198,4.74993e-07,
0.199,4.84949e-07,
0.2,4.94931e-07,
0.201,5.0491e-07,
0.202,5.14845e-07,
0.203,5.24687e-07,
0.204,5.3437e-07,
0.205,5.43809e-07,
0.206,5.52886e-07,
0.207,5.61452e-07,
0.208,5.69302e-07,
0.209,5.76193e-07,
0.21,5.81841e-07,
0.211,5.86015e-07,
0.212,5.88626e-07,
0.213,5.89797e-07,
0.214,5.89806e-07,
0.215,5.88958e-07,
0.216,5.8751e-07,
0.217,5.85643e-07,
0.218,5.83483e-07,
0.219,5.8111e-07,
0.22,5.78575e-07,
0.221,5.75914e-07,
0.222,5.73149e-07,
0.223,5.70292e-07,
0.224,5.67351e-07,
0.225,5.64328e-07,
0.226,5.61221e-07,
0.227,5.58023e-07,
0.228,5.5472e-07,
0.229,5.51293e-07,
0.23,5.47711e-07,
0.231,5.43926e-07,
0.232,5.39866e-07,
0.233,5.35425e-07,
0.234,5.3045e-07,
0.235,5.24752e-07,
0.236,5.18153e-07,
0.237,5.10568e-07,
0.238,5.02057e-07,
0.239,4.92785e-07,
0.24,4.82953e-07,
0.241,4.72742e-07,
0.242,4.62291e-07,
0.243,4.51709e-07,
0.244,4.41075e-07,
0.245,4.30447e-07,
0.246,4.19872e-07,
0.247,4.09381e-07,
0.248,3.99e-07,
0.249,3.8875e-07,
0.25,3.78646e-07,
0.251,3.68699e-07,
0.252,3.58919e-07,
0.253,3.49311e-07,
0.254,3.39882e-07,
0.255,3.30636e-07,
0.256,3.21574e-07,
0.257,3.12698e-07,
0.258,3.0401e-07,
0.259,2.95509e-07,
0.26,2.87196e-07,
0.261,2.79069e-07,
0.262,2.71127e-07,
0.263,2.6337e-07,
0.264,2.55794e-07,
0.265,2.48399e-07,
0.266,2.41182e-07,
0.267,2.34141e-07,
0.268,2.27273e-07,
0.269,2.20576e-07,
0.27,2.14047e-07,
0.271,2.07683e-07,
0.272,2.01482e-07,
0.273,1.9544e-07,
0.274,1.89556e-07,
0.275,1.83825e-07,
0.276,1.78246e-07,
0.277,1.72814e-07,
0.278,1.67528e-07,
0.279,1.62383e-07,
0.28,1.57378e-07,
0.281,1.5251e-07,
0.282,1.47774e-07,
0.283,1.4317e-07,
0.284,1.38693e-07,
0.285,1.3434e-07,
0.286,1.3011e-07,
0.287,1.25999e-07,
0.288,1.22004e-07,
0.289,1.18123e-07,
0.29,1.14353e-07,
0.291,1.10692e-07,
0.292,1.07136e-07,
0.293,1.03684e-07,
0.294,1.00332e-07,
0.295,9.70786e-08,
0.296,9.3921e-08,
0.297,9.08568e-08,
0.298,8.78836e-08,
0.299,8.49992e-08,
0.3,8.22012e-08,
0.301,7.94874e-08,
0.302,7.68557e-08,
0.303,7.43038e-08,
0.304,7.18297e-08,
0.305,6.94313e-08,
0.306,6.71066e-08,
0.307,6.48535e-08,
0.308,6.26703e-08,
0.309,6.05549e-08,
0.31,5.85055e-08,
0.311,5.65202e-08,
0.312,5.45974e-08,
0.313,5.27352e-08,
0.314,5.09321e-08,
0.315,4.91862e-08,
0.316,4.7496e-08,
0.317,4.58598e-08,
0.318,4.42763e-08,
0.319,4.27437e-08,
0.32,4.12607e-08,
0.321,3.98258e-08,
0.322,3.84376e-08,
0.323,3.70947e-08,
0.324,3.57959e-08,
0.325,3.45397e-08,
0.326,3.33249e-08,
0.327,3.21503e-08,
0.328,3.10147e-08,
0.329,2.99168e-08,
0.33,2.88557e-08,
0.331,2.783e-08,
0.332,2.68387e-08,
0.333,2.58808e-08,
0.334,2.49553e-08,
0.335,2.40611e-08,
0.336,2.31973e-08,
0.337,2.23628e-08,
0.338,2.15569e-08,
0.339,2.07786e-08,
0.34,2.0027e-08,
0.341,1.93012e-08,
0.342,1.86005e-08,
0.343,1.7924e-08,
