7:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:14:49 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0,1.51341e-09,
0.001,1.56322e-09,
0.002,1.61632e-09,
0.003,1.67033e-09,
0.004,1.7261e-09,
0.005,1.78371e-09,
0.006,1.84319e-09,
0.007,1.90463e-09,
0.008,1.96807e-09,
0.009,2.03358e-09,
0.01,2.10122e-09,
0.011,2.17107e-09,
0.012,2.2432e-09,
0.013,2.31767e-09,
0.014,2.39456e-09,
0.015,2.47394e-09,
0.016,2.5559e-09,
0.017,2.64051e-09,
0.018,2.72785e-09,
0.019,2.81803e-09,
0.02,2.91111e-09,
0.021,3.00719e-09,
0.022,3.10637e-09,
0.023,3.20874e-09,
0.024,3.3144e-09,
0.025,3.42346e-09,
0.026,3.53601e-09,
0.027,3.65216e-09,
0.028,3.77204e-09,
0.029,3.89574e-09,
0.03,4.02339e-09,
0.031,4.15512e-09,
0.032,4.29103e-09,
0.033,4.43127e-09,
0.034,4.57597e-09,
0.035,4.72525e-09,
0.036,4.87927e-09,
0.037,5.03816e-09,
0.038,5.20207e-09,
0.039,5.37116e-09,
0.04,5.54557e-09,
0.041,5.72547e-09,
0.042,5.91103e-09,
0.043,6.10241e-09,
0.044,6.2998e-09,
0.045,6.50336e-09,
0.046,6.71328e-09,
0.047,6.92976e-09,
0.048,7.15299e-09,
0.049,7.38316e-09,
0.05,7.62049e-09,
0.051,7.86519e-09,
0.052,8.11746e-09,
0.053,8.37755e-09,
0.054,8.64566e-09,
0.055,8.92205e-09,
0.056,9.20695e-09,
0.057,9.50061e-09,
0.058,9.80329e-09,
0.059,1.01152e-08,
0.06,1.04367e-08,
0.061,1.07681e-08,
0.062,1.11095e-08,
0.063,1.14613e-08,
0.064,1.18239e-08,
0.065,1.21974e-08,
0.066,1.25822e-08,
0.067,1.29787e-08,
0.068,1.33872e-08,
0.069,1.3808e-08,
0.07,1.42414e-08,
0.071,1.46879e-08,
0.072,1.51477e-08,
0.073,1.56213e-08,
0.074,1.61091e-08,
0.075,1.66114e-08,
0.076,1.71287e-08,
0.077,1.76613e-08,
0.078,1.82097e-08,
0.079,1.87744e-08,
0.08,1.93558e-08,
0.081,1.99542e-08,
0.082,2.05704e-08,
0.083,2.12046e-08,
0.084,2.18574e-08,
0.085,2.25293e-08,
0.086,2.32208e-08,
0.087,2.39325e-08,
0.088,2.46649e-08,
0.089,2.54185e-08,
0.09,2.6194e-08,
0.091,2.69919e-08,
0.092,2.78128e-08,
0.093,2.86574e-08,
0.094,2.95262e-08,
0.095,3.04199e-08,
0.096,3.13392e-08,
0.097,3.22847e-08,
0.098,3.32571e-08,
0.099,3.42571e-08,
0.1,3.52856e-08,
0.101,3.63431e-08,
0.102,3.74305e-08,
0.103,3.85484e-08,
0.104,3.96979e-08,
0.105,4.08794e-08,
0.106,4.20941e-08,
0.107,4.33426e-08,
0.108,4.46259e-08,
0.109,4.59447e-08,
0.11,4.73002e-08,
0.111,4.86929e-08,
0.112,5.01241e-08,
0.113,5.15946e-08,
0.114,5.31054e-08,
0.115,5.46574e-08,
0.116,5.62518e-08,
0.117,5.78894e-08,
0.118,5.95716e-08,
0.119,6.1299e-08,
0.12,6.30731e-08,
0.121,6.48947e-08,
0.122,6.67653e-08,
0.123,6.86856e-08,
0.124,7.06572e-08,
0.125,7.26809e-08,
0.126,7.47583e-08,
0.127,7.68903e-08,
0.128,7.90784e-08,
0.129,8.13235e-08,
0.13,8.36274e-08,
0.131,8.59908e-08,
0.132,8.84156e-08,
0.133,9.09027e-08,
0.134,9.34538e-08,
0.135,9.60699e-08,
0.136,9.87527e-08,
0.137,1.01503e-07,
0.138,1.04323e-07,
0.139,1.07214e-07,
0.14,1.10177e-07,
0.141,1.13213e-07,
0.142,1.16325e-07,
0.143,1.19513e-07,
0.144,1.22778e-07,
0.145,1.26123e-07,
0.146,1.29549e-07,
0.147,1.33056e-07,
0.148,1.36647e-07,
0.149,1.40323e-07,
0.15,1.44085e-07,
0.151,1.47934e-07,
0.152,1.51872e-07,
0.153,1.559e-07,
0.154,1.60019e-07,
0.155,1.6423e-07,
0.156,1.68534e-07,
0.157,1.72932e-07,
0.158,1.77425e-07,
0.159,1.82014e-07,
0.16,1.86699e-07,
0.161,1.9148e-07,
0.162,1.96358e-07,
0.163,2.01333e-07,
0.164,2.06405e-07,
0.165,2.11573e-07,
0.166,2.16837e-07,
0.167,2.22195e-07,
0.168,2.27645e-07,
0.169,2.33185e-07,
0.17,2.38813e-07,
0.171,2.44525e-07,
0.172,2.50317e-07,
0.173,2.56182e-07,
0.174,2.62113e-07,
0.175,2.68102e-07,
0.176,2.74138e-07,
0.177,2.80207e-07,
0.178,2.86292e-07,
