6:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:14:14 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0,4.42416e-10,
0.001,4.56511e-10,
0.002,4.71484e-10,
0.003,4.86715e-10,
0.004,5.02432e-10,
0.005,5.18648e-10,
0.006,5.35379e-10,
0.007,5.5264e-10,
0.008,5.7045e-10,
0.009,5.88823e-10,
0.01,6.07779e-10,
0.011,6.27333e-10,
0.012,6.47507e-10,
0.013,6.68317e-10,
0.014,6.89784e-10,
0.015,7.11927e-10,
0.016,7.34769e-10,
0.017,7.58329e-10,
0.018,7.82631e-10,
0.019,8.07695e-10,
0.02,8.33548e-10,
0.021,8.6021e-10,
0.022,8.87709e-10,
0.023,9.16067e-10,
0.024,9.45314e-10,
0.025,9.75473e-10,
0.026,1.00658e-09,
0.027,1.03865e-09,
0.028,1.07172e-09,
0.029,1.10582e-09,
0.03,1.14098e-09,
0.031,1.17723e-09,
0.032,1.21461e-09,
0.033,1.25315e-09,
0.034,1.29288e-09,
0.035,1.33384e-09,
0.036,1.37606e-09,
0.037,1.41959e-09,
0.038,1.46447e-09,
0.039,1.51072e-09,
0.04,1.5584e-09,
0.041,1.60754e-09,
0.042,1.65819e-09,
0.043,1.71039e-09,
0.044,1.76419e-09,
0.045,1.81964e-09,
0.046,1.87679e-09,
0.047,1.93567e-09,
0.048,1.99635e-09,
0.049,2.05888e-09,
0.05,2.12332e-09,
0.051,2.1897e-09,
0.052,2.2581e-09,
0.053,2.32858e-09,
0.054,2.40118e-09,
0.055,2.47598e-09,
0.056,2.55304e-09,
0.057,2.63242e-09,
0.058,2.71419e-09,
0.059,2.79841e-09,
0.06,2.88517e-09,
0.061,2.97453e-09,
0.062,3.06656e-09,
0.063,3.16134e-09,
0.064,3.25895e-09,
0.065,3.35947e-09,
0.066,3.46299e-09,
0.067,3.56958e-09,
0.068,3.67934e-09,
0.069,3.79235e-09,
0.07,3.90871e-09,
0.071,4.0285e-09,
0.072,4.15183e-09,
0.073,4.27879e-09,
0.074,4.4095e-09,
0.075,4.54403e-09,
0.076,4.68252e-09,
0.077,4.82506e-09,
0.078,4.97178e-09,
0.079,5.12278e-09,
0.08,5.27818e-09,
0.081,5.4381e-09,
0.082,5.60269e-09,
0.083,5.77203e-09,
0.084,5.94629e-09,
0.085,6.12559e-09,
0.086,6.31007e-09,
0.087,6.49986e-09,
0.088,6.69513e-09,
0.089,6.896e-09,
0.09,7.10265e-09,
0.091,7.3152e-09,
0.092,7.53385e-09,
0.093,7.75872e-09,
0.094,7.99002e-09,
0.095,8.22789e-09,
0.096,8.47253e-09,
0.097,8.7241e-09,
0.098,8.9828e-09,
0.099,9.2488e-09,
0.1,9.52233e-09,
0.101,9.80354e-09,
0.102,1.00927e-08,
0.103,1.03899e-08,
0.104,1.06955e-08,
0.105,1.10096e-08,
0.106,1.13325e-08,
0.107,1.16644e-08,
0.108,1.20056e-08,
0.109,1.23562e-08,
0.11,1.27166e-08,
0.111,1.30869e-08,
0.112,1.34674e-08,
0.113,1.38585e-08,
0.114,1.42603e-08,
0.115,1.46732e-08,
0.116,1.50974e-08,
0.117,1.55332e-08,
0.118,1.59809e-08,
0.119,1.64408e-08,
0.12,1.69133e-08,
0.121,1.73986e-08,
0.122,1.78971e-08,
0.123,1.8409e-08,
0.124,1.89349e-08,
0.125,1.94749e-08,
0.126,2.00294e-08,
0.127,2.05989e-08,
0.128,2.11836e-08,
0.129,2.1784e-08,
0.13,2.24004e-08,
0.131,2.30333e-08,
0.132,2.3683e-08,
0.133,2.435e-08,
0.134,2.50347e-08,
0.135,2.57375e-08,
0.136,2.64588e-08,
0.137,2.71992e-08,
0.138,2.7959e-08,
0.139,2.87388e-08,
0.14,2.9539e-08,
0.141,3.03601e-08,
0.142,3.12026e-08,
0.143,3.2067e-08,
0.144,3.2954e-08,
0.145,3.38638e-08,
0.146,3.47972e-08,
0.147,3.57546e-08,
0.148,3.67368e-08,
0.149,3.7744e-08,
0.15,3.87772e-08,
0.151,3.98366e-08,
0.152,4.09232e-08,
0.153,4.20373e-08,
0.154,4.31797e-08,
0.155,4.43509e-08,
0.156,4.55518e-08,
0.157,4.67828e-08,
0.158,4.80448e-08,
0.159,4.93383e-08,
0.16,5.06641e-08,
0.161,5.20229e-08,
0.162,5.34154e-08,
0.163,5.48424e-08,
0.164,5.63046e-08,
0.165,5.78027e-08,
0.166,5.93375e-08,
0.167,6.09098e-08,
0.168,6.25205e-08,
0.169,6.41702e-08,
0.17,6.58598e-08,
0.171,6.75901e-08,
0.172,6.93621e-08,
0.173,7.11763e-08,
0.174,7.30338e-08,
0.175,7.49353e-08,
0.176,7.68819e-08,
0.177,7.88742e-08,
0.178,8.09133e-08,
0.179,8.29999e-08,
0.18,8.51351e-08,
0.181,8.73195e-08,
0.182,8.95543e-08,
0.183,9.18402e-08,
0.184,9.41782e-08,
0.185,9.65691e-08,
0.186,9.9014e-08,
0.187,1.01514e-07,
0.188,1.04069e-07,
0.189,1.06681e-07,
0.19,1.0935e-07,
0.191,1.12077e-07,
