9:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:35:27 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0,4.42414e-10,
0.001,4.56497e-10,
0.002,4.71482e-10,
0.003,4.86714e-10,
0.004,5.0243e-10,
0.005,5.18646e-10,
0.006,5.35376e-10,
0.007,5.52638e-10,
0.008,5.70447e-10,
0.009,5.8882e-10,
0.01,6.07775e-10,
0.011,6.2733e-10,
0.012,6.47503e-10,
0.013,6.68312e-10,
0.014,6.89779e-10,
0.015,7.11922e-10,
0.016,7.34763e-10,
0.017,7.58323e-10,
0.018,7.82624e-10,
0.019,8.07688e-10,
0.02,8.3354e-10,
0.021,8.60202e-10,
0.022,8.87699e-10,
0.023,9.16058e-10,
0.024,9.45303e-10,
0.025,9.75462e-10,
0.026,1.00656e-09,
0.027,1.03863e-09,
0.028,1.0717e-09,
0.029,1.1058e-09,
0.03,1.14096e-09,
0.031,1.17721e-09,
0.032,1.21459e-09,
0.033,1.25313e-09,
0.034,1.29286e-09,
0.035,1.33381e-09,
0.036,1.37604e-09,
0.037,1.41957e-09,
0.038,1.46443e-09,
0.039,1.51069e-09,
0.04,1.55836e-09,
0.041,1.6075e-09,
0.042,1.65814e-09,
0.043,1.71035e-09,
0.044,1.76414e-09,
0.045,1.81959e-09,
0.046,1.87673e-09,
0.047,1.93561e-09,
0.048,1.99629e-09,
0.049,2.05882e-09,
0.05,2.12324e-09,
0.051,2.18963e-09,
0.052,2.25802e-09,
0.053,2.32849e-09,
0.054,2.40108e-09,
0.055,2.47588e-09,
0.056,2.55293e-09,
0.057,2.6323e-09,
0.058,2.71406e-09,
0.059,2.79828e-09,
0.06,2.88502e-09,
0.061,2.97437e-09,
0.062,3.06639e-09,
0.063,3.16116e-09,
0.064,3.25875e-09,
0.065,3.35927e-09,
0.066,3.46276e-09,
0.067,3.56934e-09,
0.068,3.67908e-09,
0.069,3.79207e-09,
0.07,3.9084e-09,
0.071,4.02818e-09,
0.072,4.15148e-09,
0.073,4.27843e-09,
0.074,4.40909e-09,
0.075,4.54361e-09,
0.076,4.68206e-09,
0.077,4.82458e-09,
0.078,4.97125e-09,
0.079,5.12222e-09,
0.08,5.27757e-09,
0.081,5.43746e-09,
0.082,5.60198e-09,
0.083,5.77129e-09,
0.084,5.94548e-09,
0.085,6.12473e-09,
0.086,6.30914e-09,
0.087,6.49888e-09,
0.088,6.69405e-09,
0.089,6.89486e-09,
0.09,7.1014e-09,
