7:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:06:41 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.5,0.999806,
0.001,0.5,0.999801,
0.002,0.5,0.999797,
0.003,0.5,0.999792,
0.004,0.5,0.999788,
0.005,0.5,0.999783,
0.006,0.5,0.999778,
0.007,0.5,0.999773,
0.008,0.5,0.999768,
0.009,0.5,0.999762,
0.01,0.5,0.999757,
0.011,0.5,0.999751,
0.012,0.5,0.999746,
0.013,0.5,0.99974,
0.014,0.5,0.999734,
0.015,0.5,0.999728,
0.016,0.5,0.999722,
0.017,0.5,0.999716,
0.018,0.5,0.999709,
0.019,0.5,0.999703,
0.02,0.5,0.999696,
0.021,0.5,0.999689,
0.022,0.5,0.999682,
0.023,0.5,0.999675,
0.024,0.5,0.999668,
0.025,0.5,0.99966,
0.026,0.5,0.999653,
0.027,0.5,0.999645,
0.028,0.5,0.999637,
0.029,0.5,0.999629,
0.03,0.5,0.99962,
0.031,0.5,0.999612,
0.032,0.5,0.999603,
0.033,0.5,0.999594,
0.034,0.5,0.999585,
0.035,0.5,0.999576,
0.036,0.5,0.999567,
0.037,0.5,0.999557,
0.038,0.5,0.999547,
0.039,0.5,0.999537,
0.04,0.5,0.999527,
0.041,0.5,0.999516,
0.042,0.5,0.999506,
0.043,0.5,0.999495,
0.044,0.5,0.999484,
0.045,0.5,0.999472,
0.046,0.5,0.99946,
0.047,0.5,0.999449,
0.048,0.5,0.999436,
0.049,0.5,0.999424,
0.05,0.5,0.999411,
0.051,0.5,0.999398,
0.052,0.5,0.999385,
0.053,0.5,0.999372,
0.054,0.5,0.999358,
0.055,0.5,0.999344,
0.056,0.5,0.99933,
0.057,0.5,0.999315,
0.058,0.5,0.9993,
0.059,0.5,0.999285,
0.06,0.5,0.999269,
0.061,0.5,0.999253,
0.062,0.5,0.999237,
0.063,0.5,0.99922,
0.064,0.5,0.999204,
0.065,0.5,0.999186,
0.066,0.5,0.999169,
0.067,0.5,0.999151,
0.068,0.5,0.999132,
0.069,0.5,0.999114,
0.07,0.5,0.999095,
0.071,0.5,0.999075,
0.072,0.5,0.999055,
0.073,0.5,0.999035,
0.074,0.5,0.999014,
0.075,0.5,0.998993,
0.076,0.5,0.998972,
0.077,0.5,0.99895,
0.078,0.5,0.998927,
0.079,0.5,0.998904,
0.08,0.5,0.998881,
0.081,0.5,0.998857,
0.082,0.5,0.998833,
0.083,0.5,0.998808,
0.084,0.5,0.998783,
0.085,0.5,0.998757,
0.086,0.5,0.998731,
0.087,0.5,0.998704,
0.088,0.5,0.998677,
0.089,0.5,0.998649,
0.09,0.5,0.99862,
0.091,0.5,0.998591,
0.092,0.5,0.998562,
0.093,0.5,0.998532,
0.094,0.5,0.998501,
0.095,0.5,0.99847,
0.096,0.5,0.998438,
0.097,0.5,0.998406,
0.098,0.5,0.998373,
0.099,0.5,0.998339,
0.1,0.5,0.998304,
0.101,0.5,0.998269,
0.102,0.5,0.998234,
0.103,0.5,0.998197,
0.104,0.5,0.99816,
0.105,0.5,0.998123,
0.106,0.5,0.998084,
0.107,0.5,0.998045,
0.108,0.5,0.998005,
0.109,0.5,0.997964,
0.11,0.5,0.997923,
0.111,0.5,0.997881,
0.112,0.5,0.997838,
0.113,0.5,0.997794,
0.114,0.5,0.99775,
0.115,0.5,0.997704,
0.116,0.5,0.997658,
0.117,0.5,0.997611,
0.118,0.5,0.997564,
0.119,0.5,0.997515,
0.12,0.5,0.997465,
