10:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:08:57 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.5,0.999584,
0.001,0.5,0.999575,
0.002,0.5,0.999565,
0.003,0.5,0.999555,
0.004,0.5,0.999544,
0.005,0.5,0.999534,
0.006,0.5,0.999523,
0.007,0.5,0.999512,
0.008,0.5,0.999501,
0.009,0.5,0.99949,
0.01,0.5,0.999478,
0.011,0.5,0.999466,
0.012,0.5,0.999454,
0.013,0.5,0.999442,
0.014,0.5,0.999429,
0.015,0.5,0.999416,
0.016,0.5,0.999403,
0.017,0.5,0.999389,
0.018,0.5,0.999375,
0.019,0.5,0.999361,
0.02,0.5,0.999347,
0.021,0.5,0.999332,
0.022,0.5,0.999317,
0.023,0.5,0.999301,
0.024,0.5,0.999286,
0.025,0.5,0.99927,
0.026,0.5,0.999253,
0.027,0.5,0.999236,
0.028,0.5,0.999219,
0.029,0.5,0.999202,
0.03,0.5,0.999184,
0.031,0.5,0.999165,
0.032,0.5,0.999147,
0.033,0.5,0.999127,
0.034,0.5,0.999108,
0.035,0.5,0.999088,
0.036,0.5,0.999067,
0.037,0.5,0.999047,
0.038,0.5,0.999025,
0.039,0.5,0.999004,
0.04,0.5,0.998981,
0.041,0.5,0.998959,
0.042,0.5,0.998935,
0.043,0.5,0.998912,
0.044,0.5,0.998888,
0.045,0.5,0.998863,
0.046,0.5,0.998838,
0.047,0.5,0.998812,
0.048,0.5,0.998786,
0.049,0.5,0.998759,
0.05,0.5,0.998731,
0.051,0.5,0.998703,
0.052,0.5,0.998675,
0.053,0.5,0.998646,
0.054,0.5,0.998616,
0.055,0.5,0.998585,
0.056,0.5,0.998554,
0.057,0.5,0.998523,
0.058,0.5,0.99849,
0.059,0.5,0.998457,
0.06,0.5,0.998423,
0.061,0.5,0.998389,
0.062,0.5,0.998354,
0.063,0.5,0.998318,
0.064,0.5,0.998281,
0.065,0.5,0.998244,
0.066,0.5,0.998206,
0.067,0.5,0.998167,
0.068,0.5,0.998127,
0.069,0.5,0.998086,
0.07,0.5,0.998045,
0.071,0.5,0.998002,
0.072,0.5,0.997959,
0.073,0.5,0.997915,
0.074,0.5,0.99787,
0.075,0.5,0.997825,
0.076,0.5,0.997778,
0.077,0.5,0.99773,
0.078,0.5,0.997681,
0.079,0.5,0.997632,
0.08,0.5,0.997581,
0.081,0.5,0.997529,
0.082,0.5,0.997477,
0.083,0.5,0.997423,
0.084,0.5,0.997368,
0.085,0.5,0.997312,
0.086,0.5,0.997255,
0.087,0.5,0.997197,
0.088,0.5,0.997138,
0.089,0.5,0.997077,
0.09,0.5,0.997016,
0.091,0.5,0.996953,
0.092,0.5,0.996889,
0.093,0.5,0.996823,
0.094,0.5,0.996757,
0.095,0.5,0.996689,
0.096,0.5,0.996619,
0.097,0.5,0.996549,
0.098,0.5,0.996477,
0.099,0.5,0.996404,
0.1,0.5,0.996329,
0.101,0.5,0.996253,
0.102,0.5,0.996175,
0.103,0.5,0.996096,
0.104,0.5,0.996016,
0.105,0.5,0.995934,
0.106,0.5,0.99585,
0.107,0.5,0.995765,
0.108,0.5,0.995678,
0.109,0.5,0.99559,
0.11,0.5,0.9955,
0.111,0.5,0.995408,
0.112,0.5,0.995315,
0.113,0.5,0.99522,
0.114,0.5,0.995123,
0.115,0.5,0.995025,
0.116,0.5,0.994924,
0.117,0.5,0.994822,
0.118,0.5,0.994718,
0.119,0.5,0.994612,
0.12,0.5,0.994505,
0.121,0.5,0.994395,
0.122,0.5,0.994284,
0.123,0.5,0.99417,
0.124,0.5,0.994055,
0.125,0.5,0.993937,
0.126,0.5,0.993817,
0.127,0.5,0.993696,
0.128,0.5,0.993572,
0.129,0.5,0.993446,
0.13,0.5,0.993318,
0.131,0.5,0.993188,
0.132,0.5,0.993055,
0.133,0.5,0.99292,
0.134,0.5,0.992783,
0.135,0.5,0.992644,
0.136,0.5,0.992502,
0.137,0.5,0.992359,
0.138,0.5,0.992212,
0.139,0.5,0.992063,
0.14,0.5,0.991912,
0.141,0.5,0.991758,
0.142,0.5,0.991602,
0.143,0.5,0.991444,
0.144,0.5,0.991282,
0.145,0.5,0.991118,
0.146,0.5,0.990952,
0.147,0.5,0.990783,
0.148,0.5,0.990611,
0.149,0.5,0.990436,
0.15,0.5,0.990259,
0.151,0.5,0.990079,
0.152,0.5,0.989896,
0.153,0.5,0.989711,
0.154,0.5,0.989522,
0.155,0.5,0.989331,
0.156,0.5,0.989137,
0.157,0.5,0.98894,
0.158,0.5,0.98874,
0.159,0.5,0.988536,
0.16,0.5,0.98833,
0.161,0.5,0.988121,
0.162,0.5,0.987909,
0.163,0.5,0.987693,
0.164,0.5,0.987475,
0.165,0.5,0.987253,
0.166,0.5,0.987028,
