9:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:08:19 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.5,0.999942,
0.001,0.5,0.999941,
0.002,0.5,0.999939,
0.003,0.5,0.999938,
0.004,0.5,0.999937,
0.005,0.5,0.999935,
0.006,0.5,0.999934,
0.007,0.5,0.999932,
0.008,0.5,0.999931,
0.009,0.5,0.999929,
0.01,0.5,0.999928,
0.011,0.5,0.999926,
0.012,0.5,0.999924,
0.013,0.5,0.999923,
0.014,0.5,0.999921,
0.015,0.5,0.999919,
0.016,0.5,0.999918,
0.017,0.5,0.999916,
0.018,0.5,0.999914,
0.019,0.5,0.999912,
0.02,0.5,0.99991,
0.021,0.5,0.999908,
0.022,0.5,0.999906,
0.023,0.5,0.999904,
0.024,0.5,0.999902,
0.025,0.5,0.9999,
0.026,0.5,0.999897,
0.027,0.5,0.999895,
0.028,0.5,0.999893,
0.029,0.5,0.999891,
0.03,0.5,0.999888,
0.031,0.5,0.999886,
0.032,0.5,0.999883,
0.033,0.5,0.999881,
0.034,0.5,0.999878,
0.035,0.5,0.999875,
0.036,0.5,0.999873,
0.037,0.5,0.99987,
0.038,0.5,0.999867,
0.039,0.5,0.999864,
0.04,0.5,0.999861,
0.041,0.5,0.999858,
0.042,0.5,0.999855,
0.043,0.5,0.999852,
0.044,0.5,0.999849,
0.045,0.5,0.999845,
0.046,0.5,0.999842,
0.047,0.5,0.999839,
0.048,0.5,0.999835,
0.049,0.5,0.999831,
0.05,0.5,0.999828,
0.051,0.5,0.999824,
0.052,0.5,0.99982,
0.053,0.5,0.999816,
0.054,0.5,0.999812,
0.055,0.5,0.999808,
0.056,0.5,0.999804,
0.057,0.5,0.9998,
0.058,0.5,0.999796,
0.059,0.5,0.999791,
0.06,0.5,0.999787,
0.061,0.5,0.999782,
0.062,0.5,0.999777,
0.063,0.5,0.999773,
0.064,0.5,0.999768,
0.065,0.5,0.999763,
0.066,0.5,0.999758,
0.067,0.5,0.999752,
0.068,0.5,0.999747,
0.069,0.5,0.999742,
0.07,0.5,0.999736,
0.071,0.5,0.99973,
0.072,0.5,0.999725,
0.073,0.5,0.999719,
0.074,0.5,0.999713,
0.075,0.5,0.999706,
0.076,0.5,0.9997,
0.077,0.5,0.999694,
0.078,0.5,0.999687,
0.079,0.5,0.999681,
0.08,0.5,0.999674,
0.081,0.5,0.999667,
0.082,0.5,0.99966,
0.083,0.5,0.999652,
0.084,0.5,0.999645,
0.085,0.5,0.999638,
0.086,0.5,0.99963,
0.087,0.5,0.999622,
0.088,0.5,0.999614,
0.089,0.5,0.999606,
0.09,0.5,0.999597,
0.091,0.5,0.999589,
0.092,0.5,0.99958,
0.093,0.5,0.999571,
0.094,0.5,0.999562,
0.095,0.5,0.999553,
0.096,0.5,0.999544,
0.097,0.5,0.999534,
0.098,0.5,0.999524,
0.099,0.5,0.999514,
0.1,0.5,0.999504,
0.101,0.5,0.999494,
0.102,0.5,0.999483,
0.103,0.5,0.999472,
0.104,0.5,0.999461,
0.105,0.5,0.99945,
0.106,0.5,0.999438,
0.107,0.5,0.999427,
0.108,0.5,0.999415,
0.109,0.5,0.999403,
0.11,0.5,0.99939,
0.111,0.5,0.999377,
0.112,0.5,0.999365,
0.113,0.5,0.999351,
0.114,0.5,0.999338,
0.115,0.5,0.999324,
0.116,0.5,0.99931,
0.117,0.5,0.999296,
0.118,0.5,0.999282,
0.119,0.5,0.999267,
0.12,0.5,0.999252,
0.121,0.5,0.999237,
0.122,0.5,0.999221,
0.123,0.5,0.999205,
0.124,0.5,0.999189,
0.125,0.5,0.999172,
0.126,0.5,0.999156,
0.127,0.5,0.999138,
0.128,0.5,0.999121,
0.129,0.5,0.999103,
0.13,0.5,0.999085,
0.131,0.5,0.999067,
0.132,0.5,0.999048,
0.133,0.5,0.999029,
0.134,0.5,0.999009,
0.135,0.5,0.998989,
0.136,0.5,0.998969,
0.137,0.5,0.998948,
0.138,0.5,0.998927,
0.139,0.5,0.998906,
0.14,0.5,0.998884,
0.141,0.5,0.998862,
0.142,0.5,0.99884,
0.143,0.5,0.998817,
0.144,0.5,0.998793,
0.145,0.5,0.99877,
0.146,0.5,0.998746,
0.147,0.5,0.998721,
0.148,0.5,0.998696,
0.149,0.5,0.998671,
0.15,0.5,0.998645,
0.151,0.5,0.998618,
0.152,0.5,0.998591,
0.153,0.5,0.998564,
0.154,0.5,0.998536,
0.155,0.5,0.998508,
0.156,0.5,0.99848,
0.157,0.5,0.99845,
0.158,0.5,0.998421,
0.159,0.5,0.998391,
0.16,0.5,0.99836,
0.161,0.5,0.998329,
0.162,0.5,0.998297,
0.163,0.5,0.998265,
0.164,0.5,0.998232,
0.165,0.5,0.998199,
0.166,0.5,0.998165,
0.167,0.5,0.998131,
0.168,0.5,0.998096,
0.169,0.5,0.99806,
0.17,0.5,0.998024,
0.171,0.5,0.997988,
0.172,0.5,0.99795,
0.173,0.5,0.997913,
0.174,0.5,0.997874,
0.175,0.5,0.997835,
0.176,0.5,0.997796,
0.177,0.5,0.997755,
0.178,0.5,0.997715,
0.179,0.5,0.997673,
0.18,0.5,0.997631,
0.181,0.5,0.997588,
0.182,0.5,0.997545,
0.183,0.5,0.997501,
0.184,0.5,0.997456,
0.185,0.5,0.997411,
0.186,0.5,0.997365,
0.187,0.5,0.997318,
0.188,0.5,0.997271,
0.189,0.5,0.997223,
0.19,0.5,0.997174,
0.191,0.5,0.997124,
0.192,0.5,0.997074,
0.193,0.5,0.997023,
0.194,0.5,0.996971,
0.195,0.5,0.996919,
0.196,0.5,0.996866,
0.197,0.5,0.996812,
0.198,0.5,0.996757,
0.199,0.5,0.996702,
0.2,0.5,0.996646,
0.201,0.5,0.996589,
0.202,0.5,0.996531,
0.203,0.5,0.996473,
0.204,0.5,0.996413,
0.205,0.5,0.996353,
0.206,0.5,0.996292,
0.207,0.5,0.996231,
0.208,0.5,0.996168,
0.209,0.5,0.996105,
0.21,0.5,0.996041,
0.211,0.5,0.995976,
0.212,0.5,0.99591,
0.213,0.5,0.995843,
0.214,0.5,0.995775,
0.215,0.5,0.995707,
0.216,0.5,0.995638,
0.217,0.5,0.995567,
0.218,0.5,0.995496,
0.219,0.5,0.995424,
0.22,0.5,0.995351,
0.221,0.5,0.995278,
0.222,0.5,0.995203,
0.223,0.5,0.995127,
0.224,0.5,0.995051,
0.225,0.5,0.994974,
0.226,0.5,0.994895,
0.227,0.5,0.994816,
0.228,0.5,0.994736,
0.229,0.5,0.994654,
0.23,0.5,0.994572,
0.231,0.5,0.994489,
0.232,0.5,0.994405,
0.233,0.5,0.99432,
0.234,0.5,0.994234,
0.235,0.5,0.994147,
0.236,0.5,0.994059,
0.237,0.5,0.99397,
0.238,0.5,0.99388,
0.239,0.5,0.993788,
0.24,0.5,0.993696,
0.241,0.5,0.993603,
0.242,0.5,0.993509,
0.243,0.5,0.993414,
0.244,0.5,0.993318,
0.245,0.5,0.99322,
0.246,0.5,0.993122,
0.247,0.5,0.993022,
0.248,0.5,0.992922,
0.249,0.5,0.99282,
0.25,0.5,0.992718,
0.251,0.5,0.992614,
0.252,0.5,0.992509,
0.253,0.5,0.992403,
0.254,0.5,0.992296,
0.255,0.5,0.992188,
0.256,0.5,0.992078,
0.257,0.5,0.991968,
0.258,0.5,0.991856,
0.259,0.5,0.991744,
0.26,0.5,0.99163,
0.261,0.5,0.991515,
0.262,0.5,0.991399,
0.263,0.5,0.991281,
0.264,0.5,0.991163,
0.265,0.5,0.991043,
0.266,0.5,0.990922,
0.267,0.5,0.9908,
0.268,0.5,0.990677,
0.269,0.5,0.990552,
0.27,0.5,0.990427,
0.271,0.5,0.9903,
0.272,0.5,0.990171,
0.273,0.5,0.990042,
0.274,0.5,0.989911,
0.275,0.5,0.989779,
0.276,0.5,0.989646,
0.277,0.5,0.989512,
0.278,0.5,0.989376,
0.279,0.5,0.989239,
0.28,0.5,0.989101,
0.281,0.5,0.988961,
0.282,0.5,0.988821,
0.283,0.5,0.988678,
0.284,0.5,0.988535,
0.285,0.5,0.98839,
0.286,0.5,0.988244,
0.287,0.5,0.988097,
0.288,0.5,0.987948,
0.289,0.5,0.987798,
0.29,0.5,0.987646,
0.291,0.5,0.987493,
0.292,0.5,0.987339,
0.293,0.5,0.987183,
0.294,0.5,0.987026,
0.295,0.5,0.986868,
0.296,0.5,0.986708,
0.297,0.5,0.986546,
0.298,0.5,0.986384,
0.299,0.5,0.986219,
0.3,0.5,0.986054,
0.301,0.5,0.985887,
0.302,0.5,0.985718,
0.303,0.5,0.985548,
0.304,0.5,0.985376,
0.305,0.5,0.985203,
0.306,0.5,0.985029,
0.307,0.5,0.984853,
0.308,0.5,0.984675,
0.309,0.5,0.984496,
0.31,0.5,0.984315,
0.311,0.5,0.984133,
0.312,0.5,0.983949,
0.313,0.5,0.983764,
0.314,0.5,0.983577,
0.315,0.5,0.983388,
0.316,0.5,0.983198,
0.317,0.5,0.983006,
0.318,0.5,0.982812,
0.319,0.5,0.982617,
0.32,0.5,0.98242,
0.321,0.5,0.982222,
0.322,0.5,0.982021,
0.323,0.5,0.98182,
0.324,0.5,0.981616,
0.325,0.5,0.98141,
0.326,0.5,0.981203,
0.327,0.5,0.980994,
0.328,0.5,0.980784,
0.329,0.5,0.980571,
0.33,0.5,0.980357,
0.331,0.5,0.980141,
0.332,0.5,0.979923,
0.333,0.5,0.979703,
0.334,0.5,0.979482,
0.335,0.5,0.979258,
0.336,0.5,0.979033,
0.337,0.5,0.978805,
0.338,0.5,0.978576,
0.339,0.5,0.978345,
0.34,0.5,0.978112,
0.341,0.5,0.977876,
0.342,0.5,0.977639,
0.343,0.5,0.9774,
0.344,0.5,0.977159,
0.345,0.5,0.976916,
0.346,0.5,0.97667,
0.347,0.5,0.976423,
0.348,0.5,0.976173,
0.349,0.5,0.975921,
0.35,0.5,0.975668,
0.351,0.5,0.975411,
0.352,0.5,0.975153,
0.353,0.5,0.974893,
0.354,0.5,0.97463,
0.355,0.5,0.974365,
0.356,0.5,0.974098,
0.357,0.5,0.973828,
0.358,0.5,0.973556,
0.359,0.5,0.973282,
0.36,0.5,0.973005,
0.361,0.5,0.972726,
0.362,0.5,0.972444,
0.363,0.5,0.97216,
0.364,0.5,0.971873,
0.365,0.5,0.971584,
0.366,0.5,0.971292,
0.367,0.5,0.970998,
0.368,0.5,0.970701,
0.369,0.5,0.970402,
0.37,0.5,0.970099,
0.371,0.5,0.969795,
0.372,0.5,0.969487,
0.373,0.5,0.969176,
0.374,0.5,0.968863,
