6:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:06:03 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.5,0.999876,
0.001,0.5,0.999873,
0.002,0.5,0.99987,
0.003,0.5,0.999867,
0.004,0.5,0.999864,
0.005,0.5,0.999861,
0.006,0.5,0.999858,
0.007,0.5,0.999855,
0.008,0.5,0.999851,
0.009,0.5,0.999848,
0.01,0.5,0.999845,
0.011,0.5,0.999841,
0.012,0.5,0.999838,
0.013,0.5,0.999834,
0.014,0.5,0.999831,
0.015,0.5,0.999827,
0.016,0.5,0.999823,
0.017,0.5,0.999819,
0.018,0.5,0.999815,
0.019,0.5,0.999811,
0.02,0.5,0.999807,
0.021,0.5,0.999802,
0.022,0.5,0.999798,
0.023,0.5,0.999794,
0.024,0.5,0.999789,
0.025,0.5,0.999784,
0.026,0.5,0.99978,
0.027,0.5,0.999775,
0.028,0.5,0.99977,
0.029,0.5,0.999765,
0.03,0.5,0.999759,
0.031,0.5,0.999754,
0.032,0.5,0.999749,
0.033,0.5,0.999743,
0.034,0.5,0.999737,
0.035,0.5,0.999732,
0.036,0.5,0.999726,
0.037,0.5,0.99972,
0.038,0.5,0.999714,
0.039,0.5,0.999707,
0.04,0.5,0.999701,
0.041,0.5,0.999694,
0.042,0.5,0.999688,
0.043,0.5,0.999681,
0.044,0.5,0.999674,
0.045,0.5,0.999667,
0.046,0.5,0.999659,
0.047,0.5,0.999652,
0.048,0.5,0.999644,
0.049,0.5,0.999637,
0.05,0.5,0.999629,
0.051,0.5,0.99962,
0.052,0.5,0.999612,
0.053,0.5,0.999604,
0.054,0.5,0.999595,
0.055,0.5,0.999586,
0.056,0.5,0.999577,
0.057,0.5,0.999568,
0.058,0.5,0.999559,
0.059,0.5,0.999549,
0.06,0.5,0.999539,
0.061,0.5,0.999529,
0.062,0.5,0.999519,
0.063,0.5,0.999509,
0.064,0.5,0.999498,
0.065,0.5,0.999487,
0.066,0.5,0.999476,
0.067,0.5,0.999465,
0.068,0.5,0.999453,
0.069,0.5,0.999441,
0.07,0.5,0.999429,
0.071,0.5,0.999417,
0.072,0.5,0.999404,
0.073,0.5,0.999391,
0.074,0.5,0.999378,
0.075,0.5,0.999365,
0.076,0.5,0.999351,
0.077,0.5,0.999337,
0.078,0.5,0.999323,
0.079,0.5,0.999308,
0.08,0.5,0.999294,
0.081,0.5,0.999278,
0.082,0.5,0.999263,
0.083,0.5,0.999247,
0.084,0.5,0.999231,
0.085,0.5,0.999215,
0.086,0.5,0.999198,
0.087,0.5,0.999181,
0.088,0.5,0.999163,
0.089,0.5,0.999145,
0.09,0.5,0.999127,
0.091,0.5,0.999108,
0.092,0.5,0.99909,
0.093,0.5,0.99907,
0.094,0.5,0.99905,
0.095,0.5,0.99903,
0.096,0.5,0.99901,
0.097,0.5,0.998989,
0.098,0.5,0.998967,
0.099,0.5,0.998946,
0.1,0.5,0.998923,
0.101,0.5,0.998901,
0.102,0.5,0.998877,
0.103,0.5,0.998854,
0.104,0.5,0.99883,
0.105,0.5,0.998805,
0.106,0.5,0.99878,
0.107,0.5,0.998754,
0.108,0.5,0.998728,
0.109,0.5,0.998702,
0.11,0.5,0.998675,
0.111,0.5,0.998647,
0.112,0.5,0.998619,
0.113,0.5,0.99859,
0.114,0.5,0.998561,
0.115,0.5,0.998531,
0.116,0.5,0.9985,
0.117,0.5,0.998469,
0.118,0.5,0.998438,
0.119,0.5,0.998405,
0.12,0.5,0.998372,
0.121,0.5,0.998339,
0.122,0.5,0.998305,
0.123,0.5,0.99827,
0.124,0.5,0.998234,
0.125,0.5,0.998198,
0.126,0.5,0.998161,
0.127,0.5,0.998124,
0.128,0.5,0.998086,
0.129,0.5,0.998047,
0.13,0.5,0.998007,
0.131,0.5,0.997966,
0.132,0.5,0.997925,
0.133,0.5,0.997883,
0.134,0.5,0.997841,
0.135,0.5,0.997797,
0.136,0.5,0.997753,
0.137,0.5,0.997708,
0.138,0.5,0.997662,
0.139,0.5,0.997615,
0.14,0.5,0.997567,
0.141,0.5,0.997519,
0.142,0.5,0.997469,
0.143,0.5,0.997419,
0.144,0.5,0.997368,
0.145,0.5,0.997316,
0.146,0.5,0.997263,
0.147,0.5,0.997209,
0.148,0.5,0.997154,
0.149,0.5,0.997098,
0.15,0.5,0.997041,
0.151,0.5,0.996983,
0.152,0.5,0.996924,
0.153,0.5,0.996865,
0.154,0.5,0.996804,
0.155,0.5,0.996742,
0.156,0.5,0.996679,
0.157,0.5,0.996615,
0.158,0.5,0.99655,
0.159,0.5,0.996483,
0.16,0.5,0.996416,
0.161,0.5,0.996347,
0.162,0.5,0.996278,
0.163,0.5,0.996207,
0.164,0.5,0.996135,
0.165,0.5,0.996062,
0.166,0.5,0.995987,
0.167,0.5,0.995912,
0.168,0.5,0.995835,
0.169,0.5,0.995757,
0.17,0.5,0.995678,
0.171,0.5,0.995597,
0.172,0.5,0.995515,
0.173,0.5,0.995432,
0.174,0.5,0.995348,
0.175,0.5,0.995262,
0.176,0.5,0.995175,
0.177,0.5,0.995086,
0.178,0.5,0.994996,
0.179,0.5,0.994905,
0.18,0.5,0.994812,
0.181,0.5,0.994718,
0.182,0.5,0.994622,
0.183,0.5,0.994525,
0.184,0.5,0.994427,
0.185,0.5,0.994327,
0.186,0.5,0.994225,
0.187,0.5,0.994122,
0.188,0.5,0.994018,
0.189,0.5,0.993912,
0.19,0.5,0.993804,
0.191,0.5,0.993695,
0.192,0.5,0.993584,
0.193,0.5,0.993472,
0.194,0.5,0.993358,
0.195,0.5,0.993242,
0.196,0.5,0.993125,
0.197,0.5,0.993006,
0.198,0.5,0.992885,
0.199,0.5,0.992763,
0.2,0.5,0.992639,
0.201,0.5,0.992513,
0.202,0.5,0.992386,
0.203,0.5,0.992256,
0.204,0.5,0.992125,
0.205,0.5,0.991992,
0.206,0.5,0.991858,
0.207,0.5,0.991721,
0.208,0.5,0.991583,
0.209,0.5,0.991443,
0.21,0.5,0.991301,
0.211,0.5,0.991157,
0.212,0.5,0.991011,
0.213,0.5,0.990863,
0.214,0.5,0.990714,
0.215,0.5,0.990562,
0.216,0.5,0.990409,
0.217,0.5,0.990253,
0.218,0.5,0.990096,
0.219,0.5,0.989936,
0.22,0.5,0.989775,
0.221,0.5,0.989611,
0.222,0.5,0.989445,
0.223,0.5,0.989278,
0.224,0.5,0.989108,
0.225,0.5,0.988936,
0.226,0.5,0.988762,
0.227,0.5,0.988586,
0.228,0.5,0.988408,
0.229,0.5,0.988227,
0.23,0.5,0.988045,
0.231,0.5,0.98786,
0.232,0.5,0.987673,
0.233,0.5,0.987484,
0.234,0.5,0.987293,
0.235,0.5,0.987099,
0.236,0.5,0.986903,
0.237,0.5,0.986705,
0.238,0.5,0.986504,
0.239,0.5,0.986301,
0.24,0.5,0.986096,
0.241,0.5,0.985889,
0.242,0.5,0.985679,
0.243,0.5,0.985466,
0.244,0.5,0.985252,
0.245,0.5,0.985035,
0.246,0.5,0.984815,
0.247,0.5,0.984593,
0.248,0.5,0.984369,
0.249,0.5,0.984142,
0.25,0.5,0.983912,
0.251,0.5,0.98368,
0.252,0.5,0.983446,
0.253,0.5,0.983209,
0.254,0.5,0.982969,
0.255,0.5,0.982727,
0.256,0.5,0.982483,
0.257,0.5,0.982235,
0.258,0.5,0.981985,
0.259,0.5,0.981733,
0.26,0.5,0.981477,
0.261,0.5,0.981219,
0.262,0.5,0.980958,
0.263,0.5,0.980695,
0.264,0.5,0.980429,
0.265,0.5,0.98016,
0.266,0.5,0.979888,
0.267,0.5,0.979614,
0.268,0.5,0.979336,
0.269,0.5,0.979056,
0.27,0.5,0.978773,
0.271,0.5,0.978487,
0.272,0.5,0.978198,
0.273,0.5,0.977907,
0.274,0.5,0.977612,
0.275,0.5,0.977314,
0.276,0.5,0.977014,
0.277,0.5,0.97671,
0.278,0.5,0.976403,
0.279,0.5,0.976094,
