46:*******************************************,
DC Transfer Curves,
Thu Nov 10 10:37:55 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.5,0.999845,
0.001,0.5,0.999841,
0.002,0.5,0.999837,
0.003,0.5,0.999834,
0.004,0.5,0.99983,
0.005,0.5,0.999826,
0.006,0.5,0.999822,
0.007,0.5,0.999818,
0.008,0.5,0.999814,
0.009,0.5,0.99981,
0.01,0.5,0.999806,
0.011,0.5,0.999801,
0.012,0.5,0.999797,
0.013,0.5,0.999792,
0.014,0.5,0.999788,
0.015,0.5,0.999783,
0.016,0.5,0.999778,
0.017,0.5,0.999773,
0.018,0.5,0.999768,
0.019,0.5,0.999763,
0.02,0.5,0.999758,
0.021,0.5,0.999752,
0.022,0.5,0.999747,
0.023,0.5,0.999741,
0.024,0.5,0.999735,
0.025,0.5,0.999729,
0.026,0.5,0.999723,
0.027,0.5,0.999717,
0.028,0.5,0.999711,
0.029,0.5,0.999704,
0.03,0.5,0.999698,
0.031,0.5,0.999691,
0.032,0.5,0.999684,
0.033,0.5,0.999677,
0.034,0.5,0.99967,
0.035,0.5,0.999663,
0.036,0.5,0.999656,
0.037,0.5,0.999648,
0.038,0.5,0.99964,
0.039,0.5,0.999632,
0.04,0.5,0.999624,
0.041,0.5,0.999616,
0.042,0.5,0.999607,
0.043,0.5,0.999599,
0.044,0.5,0.99959,
0.045,0.5,0.999581,
0.046,0.5,0.999572,
0.047,0.5,0.999562,
0.048,0.5,0.999553,
0.049,0.5,0.999543,
0.05,0.5,0.999533,
0.051,0.5,0.999523,
0.052,0.5,0.999512,
0.053,0.5,0.999501,
0.054,0.5,0.999491,
0.055,0.5,0.999479,
0.056,0.5,0.999468,
0.057,0.5,0.999456,
0.058,0.5,0.999445,
0.059,0.5,0.999433,
0.06,0.5,0.99942,
0.061,0.5,0.999408,
0.062,0.5,0.999395,
0.063,0.5,0.999382,
0.064,0.5,0.999368,
0.065,0.5,0.999355,
0.066,0.5,0.999341,
0.067,0.5,0.999326,
0.068,0.5,0.999312,
0.069,0.5,0.999297,
0.07,0.5,0.999282,
0.071,0.5,0.999266,
0.072,0.5,0.99925,
0.073,0.5,0.999234,
0.074,0.5,0.999218,
0.075,0.5,0.999201,
0.076,0.5,0.999184,
0.077,0.5,0.999166,
0.078,0.5,0.999149,
0.079,0.5,0.99913,
0.08,0.5,0.999112,
0.081,0.5,0.999093,
0.082,0.5,0.999073,
0.083,0.5,0.999054,
0.084,0.5,0.999033,
0.085,0.5,0.999013,
0.086,0.5,0.998992,
0.087,0.5,0.998971,
0.088,0.5,0.998949,
0.089,0.5,0.998926,
0.09,0.5,0.998904,
0.091,0.5,0.998881,
0.092,0.5,0.998857,
0.093,0.5,0.998833,
0.094,0.5,0.998808,
0.095,0.5,0.998783,
0.096,0.5,0.998758,
0.097,0.5,0.998731,
0.098,0.5,0.998705,
0.099,0.5,0.998678,
0.1,0.5,0.99865,
0.101,0.5,0.998622,
0.102,0.5,0.998593,
0.103,0.5,0.998564,
0.104,0.5,0.998534,
0.105,0.5,0.998504,
0.106,0.5,0.998473,
0.107,0.5,0.998441,
0.108,0.5,0.998409,
0.109,0.5,0.998376,
0.11,0.5,0.998342,
0.111,0.5,0.998308,
0.112,0.5,0.998273,
0.113,0.5,0.998238,
0.114,0.5,0.998202,
0.115,0.5,0.998165,
0.116,0.5,0.998128,
0.117,0.5,0.998089,
0.118,0.5,0.998051,
0.119,0.5,0.998011,
0.12,0.5,0.997971,
0.121,0.5,0.99793,
0.122,0.5,0.997888,
0.123,0.5,0.997845,
0.124,0.5,0.997802,
0.125,0.5,0.997757,
0.126,0.5,0.997712,
0.127,0.5,0.997667,
