14:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:11:44 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.5,0.999887,
0.001,0.5,0.999884,
0.002,0.5,0.999881,
0.003,0.5,0.999878,
0.004,0.5,0.999875,
0.005,0.5,0.999872,
0.006,0.5,0.999869,
0.007,0.5,0.999865,
0.008,0.5,0.999862,
0.009,0.5,0.999859,
0.01,0.5,0.999855,
0.011,0.5,0.999852,
0.012,0.5,0.999848,
0.013,0.5,0.999844,
0.014,0.5,0.99984,
0.015,0.5,0.999836,
0.016,0.5,0.999832,
0.017,0.5,0.999828,
0.018,0.5,0.999824,
0.019,0.5,0.99982,
0.02,0.5,0.999815,
0.021,0.5,0.999811,
0.022,0.5,0.999806,
0.023,0.5,0.999801,
0.024,0.5,0.999797,
0.025,0.5,0.999792,
0.026,0.5,0.999787,
0.027,0.5,0.999781,
0.028,0.5,0.999776,
0.029,0.5,0.999771,
0.03,0.5,0.999765,
0.031,0.5,0.999759,
0.032,0.5,0.999753,
0.033,0.5,0.999747,
0.034,0.5,0.999741,
0.035,0.5,0.999735,
0.036,0.5,0.999729,
0.037,0.5,0.999722,
0.038,0.5,0.999715,
0.039,0.5,0.999708,
0.04,0.5,0.999701,
0.041,0.5,0.999694,
0.042,0.5,0.999687,
0.043,0.5,0.999679,
0.044,0.5,0.999671,
0.045,0.5,0.999664,
0.046,0.5,0.999655,
0.047,0.5,0.999647,
0.048,0.5,0.999639,
0.049,0.5,0.99963,
0.05,0.5,0.999621,
0.051,0.5,0.999612,
0.052,0.5,0.999603,
0.053,0.5,0.999593,
0.054,0.5,0.999584,
0.055,0.5,0.999574,
0.056,0.5,0.999563,
0.057,0.5,0.999553,
0.058,0.5,0.999542,
0.059,0.5,0.999532,
0.06,0.5,0.99952,
0.061,0.5,0.999509,
0.062,0.5,0.999497,
0.063,0.5,0.999485,
0.064,0.5,0.999473,
0.065,0.5,0.999461,
0.066,0.5,0.999448,
0.067,0.5,0.999435,
0.068,0.5,0.999422,
0.069,0.5,0.999408,
0.07,0.5,0.999394,
0.071,0.5,0.99938,
0.072,0.5,0.999365,
0.073,0.5,0.99935,
0.074,0.5,0.999335,
0.075,0.5,0.99932,
0.076,0.5,0.999304,
0.077,0.5,0.999287,
0.078,0.5,0.999271,
0.079,0.5,0.999254,
0.08,0.5,0.999236,
0.081,0.5,0.999219,
0.082,0.5,0.999201,
0.083,0.5,0.999182,
0.084,0.5,0.999163,
0.085,0.5,0.999144,
0.086,0.5,0.999124,
0.087,0.5,0.999104,
0.088,0.5,0.999083,
0.089,0.5,0.999062,
0.09,0.5,0.99904,
0.091,0.5,0.999018,
0.092,0.5,0.998996,
0.093,0.5,0.998973,
0.094,0.5,0.998949,
0.095,0.5,0.998925,
0.096,0.5,0.998901,
0.097,0.5,0.998875,
0.098,0.5,0.99885,
0.099,0.5,0.998824,
0.1,0.5,0.998797,
0.101,0.5,0.99877,
0.102,0.5,0.998742,
0.103,0.5,0.998714,
0.104,0.5,0.998685,
0.105,0.5,0.998655,
0.106,0.5,0.998625,
0.107,0.5,0.998594,
0.108,0.5,0.998562,
0.109,0.5,0.99853,
0.11,0.5,0.998497,
0.111,0.5,0.998464,
0.112,0.5,0.99843,
0.113,0.5,0.998395,
0.114,0.5,0.998359,
0.115,0.5,0.998323,
0.116,0.5,0.998286,
0.117,0.5,0.998248,
0.118,0.5,0.99821,
0.119,0.5,0.998171,
0.12,0.5,0.998131,
0.121,0.5,0.99809,
0.122,0.5,0.998048,
0.123,0.5,0.998006,
0.124,0.5,0.997962,
0.125,0.5,0.997918,
0.126,0.5,0.997873,
0.127,0.5,0.997827,
0.128,0.5,0.99778,
0.129,0.5,0.997733,
0.13,0.5,0.997684,
0.131,0.5,0.997635,
0.132,0.5,0.997584,
0.133,0.5,0.997533,
0.134,0.5,0.997481,
0.135,0.5,0.997427,
0.136,0.5,0.997373,
0.137,0.5,0.997318,
0.138,0.5,0.997261,
0.139,0.5,0.997204,
0.14,0.5,0.997145,
0.141,0.5,0.997086,
0.142,0.5,0.997025,
0.143,0.5,0.996964,
0.144,0.5,0.996901,
0.145,0.5,0.996837,
0.146,0.5,0.996772,
0.147,0.5,0.996706,
0.148,0.5,0.996638,
0.149,0.5,0.99657,
0.15,0.5,0.9965,
0.151,0.5,0.996429,
0.152,0.5,0.996357,
0.153,0.5,0.996284,
0.154,0.5,0.996209,
0.155,0.5,0.996133,
0.156,0.5,0.996056,
0.157,0.5,0.995978,
0.158,0.5,0.995898,
0.159,0.5,0.995817,
0.16,0.5,0.995734,
0.161,0.5,0.995651,
0.162,0.5,0.995565,
0.163,0.5,0.995479,
0.164,0.5,0.995391,
0.165,0.5,0.995301,
0.166,0.5,0.995211,
0.167,0.5,0.995118,
0.168,0.5,0.995025,
0.169,0.5,0.99493,
0.17,0.5,0.994833,
0.171,0.5,0.994735,
0.172,0.5,0.994635,
0.173,0.5,0.994534,
0.174,0.5,0.994431,
0.175,0.5,0.994327,
0.176,0.5,0.994221,
0.177,0.5,0.994114,
0.178,0.5,0.994005,
0.179,0.5,0.993894,
0.18,0.5,0.993782,
0.181,0.5,0.993668,
0.182,0.5,0.993552,
0.183,0.5,0.993435,
0.184,0.5,0.993316,
0.185,0.5,0.993195,
0.186,0.5,0.993073,
0.187,0.5,0.992949,
0.188,0.5,0.992823,
0.189,0.5,0.992696,
0.19,0.5,0.992566,
0.191,0.5,0.992435,
0.192,0.5,0.992302,
0.193,0.5,0.992168,
0.194,0.5,0.992031,
0.195,0.5,0.991893,
0.196,0.5,0.991752,
0.197,0.5,0.99161,
0.198,0.5,0.991466,
0.199,0.5,0.991321,
0.2,0.5,0.991173,
0.201,0.5,0.991023,
0.202,0.5,0.990872,
0.203,0.5,0.990718,
0.204,0.5,0.990563,
0.205,0.5,0.990405,
0.206,0.5,0.990246,
0.207,0.5,0.990084,
0.208,0.5,0.989921,
0.209,0.5,0.989756,
0.21,0.5,0.989588,
0.211,0.5,0.989419,
0.212,0.5,0.989247,
0.213,0.5,0.989074,
0.214,0.5,0.988898,
0.215,0.5,0.98872,
0.216,0.5,0.98854,
0.217,0.5,0.988358,
0.218,0.5,0.988174,
0.219,0.5,0.987988,
0.22,0.5,0.987799,
0.221,0.5,0.987609,
0.222,0.5,0.987416,
0.223,0.5,0.987221,
0.224,0.5,0.987024,
0.225,0.5,0.986825,
0.226,0.5,0.986623,
0.227,0.5,0.986419,
0.228,0.5,0.986213,
0.229,0.5,0.986005,
0.23,0.5,0.985794,
0.231,0.5,0.985581,
0.232,0.5,0.985366,
0.233,0.5,0.985149,
0.234,0.5,0.984929,
0.235,0.5,0.984707,
0.236,0.5,0.984482,
0.237,0.5,0.984255,
0.238,0.5,0.984026,
0.239,0.5,0.983794,
0.24,0.5,0.98356,
0.241,0.5,0.983323,
0.242,0.5,0.983085,
0.243,0.5,0.982843,
0.244,0.5,0.982599,
0.245,0.5,0.982353,
0.246,0.5,0.982104,
0.247,0.5,0.981853,
0.248,0.5,0.981599,
0.249,0.5,0.981343,
0.25,0.5,0.981084,
0.251,0.5,0.980822,
0.252,0.5,0.980558,
0.253,0.5,0.980292,
0.254,0.5,0.980022,
0.255,0.5,0.97975,
0.256,0.5,0.979476,
0.257,0.5,0.979199,
0.258,0.5,0.978919,
0.259,0.5,0.978636,
0.26,0.5,0.978351,
