3:*******************************************,
DC Transfer Curves,
Mon Nov 14 19:34:55 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.225,0.449997,
0.001,0.225,0.449997,
0.002,0.225,0.449997,
0.003,0.225,0.449997,
0.004,0.225,0.449996,
0.005,0.225,0.449996,
0.006,0.225,0.449996,
0.007,0.225,0.449996,
0.008,0.225,0.449996,
0.009,0.225,0.449996,
0.01,0.225,0.449996,
0.011,0.225,0.449995,
0.012,0.225,0.449995,
0.013,0.225,0.449995,
0.014,0.225,0.449995,
0.015,0.225,0.449995,
0.016,0.225,0.449994,
0.017,0.225,0.449994,
0.018,0.225,0.449994,
0.019,0.225,0.449994,
0.02,0.225,0.449993,
0.021,0.225,0.449993,
0.022,0.225,0.449993,
0.023,0.225,0.449993,
0.024,0.225,0.449992,
0.025,0.225,0.449992,
0.026,0.225,0.449992,
0.027,0.225,0.449991,
0.028,0.225,0.449991,
0.029,0.225,0.449991,
0.03,0.225,0.44999,
0.031,0.225,0.44999,
0.032,0.225,0.449989,
0.033,0.225,0.449989,
0.034,0.225,0.449989,
0.035,0.225,0.449988,
0.036,0.225,0.449988,
0.037,0.225,0.449987,
0.038,0.225,0.449987,
0.039,0.225,0.449986,
0.04,0.225,0.449986,
0.041,0.225,0.449985,
0.042,0.225,0.449984,
0.043,0.225,0.449984,
0.044,0.225,0.449983,
0.045,0.225,0.449982,
0.046,0.225,0.449982,
0.047,0.225,0.449981,
0.048,0.225,0.44998,
0.049,0.225,0.449979,
0.05,0.225,0.449978,
0.051,0.225,0.449977,
0.052,0.225,0.449977,
0.053,0.225,0.449976,
0.054,0.225,0.449975,
0.055,0.225,0.449974,
0.056,0.225,0.449972,
0.057,0.225,0.449971,
0.058,0.225,0.44997,
0.059,0.225,0.449969,
0.06,0.225,0.449968,
0.061,0.225,0.449966,
0.062,0.225,0.449965,
0.063,0.225,0.449963,
0.064,0.225,0.449962,
0.065,0.225,0.44996,
0.066,0.225,0.449959,
0.067,0.225,0.449957,
0.068,0.225,0.449955,
0.069,0.225,0.449953,
0.07,0.225,0.449951,
0.071,0.225,0.449949,
