1:*******************************************,
DC Transfer Curves,
Mon Nov 14 19:33:09 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.225,0.44999,
0.001,0.225,0.449989,
0.002,0.225,0.449989,
0.003,0.225,0.449988,
0.004,0.225,0.449988,
0.005,0.225,0.449987,
0.006,0.225,0.449987,
0.007,0.225,0.449986,
0.008,0.225,0.449986,
0.009,0.225,0.449985,
0.01,0.225,0.449985,
0.011,0.225,0.449984,
0.012,0.225,0.449983,
0.013,0.225,0.449983,
0.014,0.225,0.449982,
0.015,0.225,0.449981,
0.016,0.225,0.44998,
0.017,0.225,0.44998,
0.018,0.225,0.449979,
0.019,0.225,0.449978,
0.02,0.225,0.449977,
0.021,0.225,0.449976,
0.022,0.225,0.449975,
0.023,0.225,0.449974,
0.024,0.225,0.449973,
0.025,0.225,0.449972,
0.026,0.225,0.449971,
0.027,0.225,0.44997,
0.028,0.225,0.449968,
0.029,0.225,0.449967,
0.03,0.225,0.449966,
0.031,0.225,0.449964,
0.032,0.225,0.449963,
0.033,0.225,0.449961,
0.034,0.225,0.44996,
0.035,0.225,0.449958,
0.036,0.225,0.449956,
0.037,0.225,0.449954,
0.038,0.225,0.449952,
0.039,0.225,0.449951,
0.04,0.225,0.449948,
0.041,0.225,0.449946,
0.042,0.225,0.449944,
0.043,0.225,0.449942,
0.044,0.225,0.449939,
0.045,0.225,0.449937,
0.046,0.225,0.449934,
0.047,0.225,0.449931,
0.048,0.225,0.449928,
0.049,0.225,0.449925,
0.05,0.225,0.449922,
0.051,0.225,0.449919,
0.052,0.225,0.449916,
0.053,0.225,0.449912,
0.054,0.225,0.449908,
0.055,0.225,0.449905,
0.056,0.225,0.449901,
0.057,0.225,0.449896,
0.058,0.225,0.449892,
0.059,0.225,0.449887,
0.06,0.225,0.449883,
0.061,0.225,0.449878,
0.062,0.225,0.449872,
0.063,0.225,0.449867,
0.064,0.225,0.449861,
0.065,0.225,0.449855,
0.066,0.225,0.449849,
0.067,0.225,0.449843,
0.068,0.225,0.449836,
0.069,0.225,0.449829,
0.07,0.225,0.449822,
0.071,0.225,0.449814,
0.072,0.225,0.449806,
0.073,0.225,0.449798,
0.074,0.225,0.449789,
0.075,0.225,0.44978,
0.076,0.225,0.449771,
0.077,0.225,0.449761,
0.078,0.225,0.44975,
0.079,0.225,0.44974,
0.08,0.225,0.449728,
0.081,0.225,0.449716,
0.082,0.225,0.449704,
0.083,0.225,0.449691,
0.084,0.225,0.449678,
0.085,0.225,0.449664,
0.086,0.225,0.449649,
0.087,0.225,0.449634,
0.088,0.225,0.449618,
0.089,0.225,0.449601,
0.09,0.225,0.449584,
0.091,0.225,0.449566,
0.092,0.225,0.449547,
0.093,0.225,0.449527,
0.094,0.225,0.449506,
0.095,0.225,0.449484,
0.096,0.225,0.449461,
0.097,0.225,0.449438,
0.098,0.225,0.449413,
0.099,0.225,0.449387,
0.1,0.225,0.449359,
0.101,0.225,0.449331,
0.102,0.225,0.449301,
0.103,0.225,0.44927,
0.104,0.225,0.449238,
0.105,0.225,0.449204,
0.106,0.225,0.449168,
