4:*******************************************,
DC Transfer Curves,
Mon Nov 14 19:36:06 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.225,0.449996,
0.001,0.225,0.449996,
0.002,0.225,0.449996,
0.003,0.225,0.449996,
0.004,0.225,0.449996,
0.005,0.225,0.449996,
0.006,0.225,0.449995,
0.007,0.225,0.449995,
0.008,0.225,0.449995,
0.009,0.225,0.449995,
0.01,0.225,0.449995,
0.011,0.225,0.449995,
0.012,0.225,0.449994,
0.013,0.225,0.449994,
0.014,0.225,0.449994,
0.015,0.225,0.449994,
0.016,0.225,0.449993,
0.017,0.225,0.449993,
0.018,0.225,0.449993,
0.019,0.225,0.449993,
0.02,0.225,0.449992,
0.021,0.225,0.449992,
0.022,0.225,0.449992,
0.023,0.225,0.449991,
0.024,0.225,0.449991,
0.025,0.225,0.449991,
0.026,0.225,0.44999,
0.027,0.225,0.44999,
0.028,0.225,0.449989,
0.029,0.225,0.449989,
0.03,0.225,0.449988,
0.031,0.225,0.449988,
0.032,0.225,0.449987,
0.033,0.225,0.449987,
0.034,0.225,0.449986,
0.035,0.225,0.449986,
0.036,0.225,0.449985,
0.037,0.225,0.449985,
0.038,0.225,0.449984,
0.039,0.225,0.449983,
0.04,0.225,0.449983,
0.041,0.225,0.449982,
0.042,0.225,0.449981,
0.043,0.225,0.449981,
0.044,0.225,0.44998,
0.045,0.225,0.449979,
0.046,0.225,0.449978,
0.047,0.225,0.449977,
0.048,0.225,0.449976,
0.049,0.225,0.449975,
0.05,0.225,0.449974,
0.051,0.225,0.449973,
0.052,0.225,0.449972,
0.053,0.225,0.449971,
0.054,0.225,0.44997,
0.055,0.225,0.449969,
0.056,0.225,0.449967,
0.057,0.225,0.449966,
0.058,0.225,0.449965,
0.059,0.225,0.449963,
0.06,0.225,0.449962,
0.061,0.225,0.44996,
0.062,0.225,0.449958,
0.063,0.225,0.449957,
0.064,0.225,0.449955,
0.065,0.225,0.449953,
0.066,0.225,0.449951,
0.067,0.225,0.449949,
0.068,0.225,0.449947,
0.069,0.225,0.449944,
0.07,0.225,0.449942,
0.071,0.225,0.44994,
0.072,0.225,0.449937,
0.073,0.225,0.449935,
0.074,0.225,0.449932,
0.075,0.225,0.449929,
0.076,0.225,0.449926,
0.077,0.225,0.449923,
0.078,0.225,0.44992,
0.079,0.225,0.449916,
0.08,0.225,0.449913,
0.081,0.225,0.449909,
0.082,0.225,0.449905,
0.083,0.225,0.449901,
0.084,0.225,0.449897,
0.085,0.225,0.449893,
0.086,0.225,0.449888,
0.087,0.225,0.449883,
0.088,0.225,0.449878,
0.089,0.225,0.449873,
0.09,0.225,0.449868,
0.091,0.225,0.449862,
0.092,0.225,0.449856,
0.093,0.225,0.44985,
0.094,0.225,0.449843,
0.095,0.225,0.449837,
0.096,0.225,0.44983,
0.097,0.225,0.449822,
0.098,0.225,0.449815,
0.099,0.225,0.449807,
0.1,0.225,0.449798,
0.101,0.225,0.44979,
0.102,0.225,0.44978,
0.103,0.225,0.449771,
0.104,0.225,0.449761,
0.105,0.225,0.449751,
0.106,0.225,0.44974,
0.107,0.225,0.449728,
0.108,0.225,0.449716,
0.109,0.225,0.449704,
0.11,0.225,0.449691,
0.111,0.225,0.449678,
0.112,0.225,0.449663,
0.113,0.225,0.449649,
0.114,0.225,0.449633,
0.115,0.225,0.449617,
0.116,0.225,0.4496,
0.117,0.225,0.449582,
0.118,0.225,0.449564,
0.119,0.225,0.449544,
0.12,0.225,0.449524,
0.121,0.225,0.449503,
0.122,0.225,0.449481,
0.123,0.225,0.449458,
0.124,0.225,0.449433,
0.125,0.225,0.449408,
0.126,0.225,0.449381,
0.127,0.225,0.449354,
0.128,0.225,0.449325,
0.129,0.225,0.449294,
0.13,0.225,0.449262,
0.131,0.225,0.449229,
0.132,0.225,0.449194,
0.133,0.225,0.449157,
0.134,0.225,0.449119,
0.135,0.225,0.449079,
0.136,0.225,0.449037,
0.137,0.225,0.448993,
0.138,0.225,0.448947,
0.139,0.225,0.448899,
0.14,0.225,0.448848,
0.141,0.225,0.448795,
0.142,0.225,0.448739,
0.143,0.225,0.448681,
0.144,0.225,0.44862,
0.145,0.225,0.448556,
0.146,0.225,0.448489,
0.147,0.225,0.448419,
0.148,0.225,0.448345,
0.149,0.225,0.448267,
0.15,0.225,0.448186,
0.151,0.225,0.448101,
0.152,0.225,0.448012,
0.153,0.225,0.447918,
0.154,0.225,0.447819,
0.155,0.225,0.447716,
0.156,0.225,0.447608,
0.157,0.225,0.447494,
0.158,0.225,0.447374,
0.159,0.225,0.447248,
0.16,0.225,0.447116,
0.161,0.225,0.446978,
0.162,0.225,0.446832,
0.163,0.225,0.446678,
0.164,0.225,0.446517,
0.165,0.225,0.446348,
0.166,0.225,0.446169,
0.167,0.225,0.445982,
0.168,0.225,0.445784,
0.169,0.225,0.445576,
0.17,0.225,0.445357,
0.171,0.225,0.445127,
0.172,0.225,0.444884,
0.173,0.225,0.444628,
0.174,0.225,0.444358,
0.175,0.225,0.444073,
0.176,0.225,0.443772,
0.177,0.225,0.443455,
0.178,0.225,0.44312,
0.179,0.225,0.442765,
0.18,0.225,0.442391,
0.181,0.225,0.441995,
0.182,0.225,0.441576,
0.183,0.225,0.441132,
0.184,0.225,0.440661,
0.185,0.225,0.440162,
0.186,0.225,0.439632,
0.187,0.225,0.439069,
0.188,0.225,0.43847,
0.189,0.225,0.437833,
0.19,0.225,0.437153,
0.191,0.225,0.436428,
0.192,0.225,0.435653,
0.193,0.225,0.434823,
0.194,0.225,0.433933,
0.195,0.225,0.432977,
0.196,0.225,0.431947,
0.197,0.225,0.430836,
0.198,0.225,0.429632,
0.199,0.225,0.428324,
